search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Peso
1, Afeitadora Eléctrica Fading Shaving Teknikpro ,1790,2750,367,63,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,76,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=100,https://articulo.mercadolibre.com.ar/MLA-684054385-afeitadora-electrica-fading-shaving-teknikpro-_JM,46,19,5,3,3,#684054385,Teknikpro,Fading & Shaving,NA,NA,NA,NA,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1927,73,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,295,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,218,71,4,1,1,#687451947,Philips,MG5730/15,Multigroom series 5000,MG5730/15,220v,Planos,80,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2199,NA,2352,109,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,182,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,134,43,4,0,1,#729119308,Philips,MG5730/15,Series 5000,MG5730/15,220v,Planos,80,NA,NA
4, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,3799,NA,614,23,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,208,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,137,55,13,0,3,#728426848,Philips,S5070/02,AquaTouch,S5070/02,220v,NA,40 M,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,609,78,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,36,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,26,10,0,0,0,#740807251,Philips,Multigroom,Series 3000,MG3730,220v,Planos,60 M,NA,NA
6, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1389,NA,3963,2,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,440,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,276,123,29,6,6,#618507579,GA.MA,GC 545,NA,NA,NA,NA,NA,NA,NA
7, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3059,NA,63,43,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,29,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,20,8,1,0,0,#624059346,GA.MA Italy,GCX 685,AFEITADORA,NA,NA,NA,NA,NA,NA
8, Gillette Afeitadora Electrica Fusion Proglide Styler 3 En 1 ,1064,NA,4,6,12 cuotas,NA,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/FARMA365,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=hzEoLk5g8Rb23Pf4fHJoEqUYqwgtb6jW1rf7QB7AxJwkvAJ26QpkUDI%2BP%2F0d9zHtNzYk3FH%2B2ExlLfMcss%2B3W3DxMIn3BSw3%2FsOxZ8eGu070Zv5Zzz2seDZAyagpBiQBX64vomab3B8qCYa40UbsUqkrT06%2BxEBVfstoSMebXHYNEMxwVYzR7KHE9aJ6fNf57%2FBGHPVFsqGwL%2FDYVecUKqwpi7vzDOj0R8kJYvTeDv4QH8Ug%2BSvHjwJRQYm%2FXXA98783la3PM56Sw1RYU34Mzpv63l8Tn%2FfWEN9NfPo1hQ2uuCw97dt6YB%2FYe%2FVK4Hhaejuu6CIMsShJ4%2Fd5IMmlKUfCY0WGr39kgpdeQ98KxD6bI%2BjCBKnaD%2BlQUftxwh7H7hJcaec08%2FlKM1gfm2qbAngQ0Ii%2BP%2B0KoIJ1z9AuTM1vIN03E5jyz7JYx1q9uBuMnGIYc3RyuCDl%2FX4Butz1X3jS6rVLqh78l2dRjNY11QWl3Z9O%2FqrOG5cRlr59P%2FW0%2BvDq2v0O8mfCS8KxOQoVT%2FgB8elqr4rg4wIpuj%2B7dmk4BKClHKDLZnMkE24QOFkPTvxW28CR73ZP3scKBPt%2BlS9sf9UzUNZocMFdNuOsqAFccsLDLah8alr0PVQdBVK8IU%2B0No%2FAF61wo4ykuRzq5m48bTWNOhqPedRAiqtC6Xe98kyL2BhYxHRhzD8VHjfJJzGqnOtpnsi6vpb%2FLutsLr%2BcpVs9s8FSSitAybR1OTsf6Sfup7KbSt8Xbfq7AlUVOhuTERRbU9nPxi754o8TI7Co3KpvlEW3kpdx2ifdBI8XPc3piPODSFmLqZ3gWzhi2X%2F%2FYXBPogfQfjgov5ArfW%2FOMQSwKSKM8Tqbr1Ln1qIhSGuqNPUTHr5cCzqUWPGDUasje5ST9UmNUQTocJwI5xPh%2BWSGAqUuVa%2B68Gus2TQrku5o0g0l68wg5frv%2FlY83miWiOUvzIAtJCKQGiSR76zZLMIDoh08ZnHJeR6uIPEd%2FnwnzI%2B5Cxkl8T2Iu2EiRNNMtqwsZJ2oYjazef6HckdXqV82gs%2FIkYGQU7jQCGfZkd7RYNdhjTR%2BIuvClNbD5a%2F0n5Ha4TqptdC9of0ACgJAYqN%2FQSrgWm17uWBBm22z7C38TujUK4SJRzQwZICe0gvpdRl0f2WBSoKmmLCu2jBNdKhZdN%2F3bjp3sdLpeVtMr1NWrfb8%2Fs8c%2Fs5REHcOGa6oY0p6Y2VtozWTp8k%2BnLMm5kYSPCHScDsqNswKR3dwe6E3%2Frqs3C8%2BveX3baexPbubVAwJOADgCsxtTVHSvxIjHf65xOu6OJfOKDGtaJPN24uGRf%2F7vfvhk8ynFQVvd3Ql6PQNc011t9QyXRpAt%2Fo4gmM6o5ZuqRv5xNbbEzBScpKTuWfNwWX46OQXVQC1pjX3aow4tRzSskxqp1yQ0CKRhAi5kfsx98yHs6pDLkJwad4Af%2F7l1A0cpViejPpHqY%2FtVt8Qw1Nq4yAVpKeDwAtET160VPh3iULzSRDw%2FkwoUGXdqmUjbSXCCb0WHOg4GYvKvW82JT37JmoFyxNXLAYFanIUmQk0SyrExyfv0RMZXE2%2B1GKhXYeL39RR0ygbdI%2BtXz8oGg%3D%3D,NA,NA,NA,NA,NA,#788831986,GILLETE,NA,NA,NA,NA,NA,NA,NA,NA
9, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2299,NA,361,39,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,67,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,39,22,5,1,0,#739507858,Philips,BG3005/15,Series 3000,BG3005/15,220v,Planos,40M,NA,NA
10, Afeitadora Recortador De Barba Phillips One Blade ,1199,NA,618,29,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,63,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,50,8,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,NA,NA,30 minutos,NA,NA
11, Afeitadora Electrica Cortadora Barba Philips One Blade 2510 ,1900,NA,47,16,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-594545386-afeitadora-electrica-cortadora-barba-philips-one-blade-2510-_JM,1,0,0,0,0,#594545386,Philips,QP2510/10,Afeitadora,NA,NA,NA,NA,NA,NA
12, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,828,41,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,533,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,357,120,35,13,8,#729696881,Philips,S1030/04,AquaTouch,S1030/04,220v,Flexibles,45 M,NA,NA
13, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,1790,2740,393,53,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,29,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,21,7,1,0,0,#741917410,Teknikpro,Fading & Shaving,Barber,NA,Batería,NA,40 minutos,NA,NA
