search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Afeitadora Electrica Philips S5070/04 Ideal Piel Sensible ,118,139,"
			
			
				
				87
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 22715
		
		 sin interés
		
	

	
		",15,NA,Envío a todo el país,NA,NA,4.9,15,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-449012315-afeitadora-electrica-philips-s507004-ideal-piel-sensible-_JM,14,1,0,0,0,#449012315,Philips,S5070/04
2, Rasuradora Afeitadora Electrica Corporal Y Corta Pelo Barba ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(67 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1939
		
		 sin interés
		
	

	
		",39,NA,Envío a todo el país,NA,NA,4.0,2,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259418-rasuradora-afeitadora-electrica-corporal-y-corta-pelo-barba-_JM,NA,NA,NA,NA,NA,#458259418,Nova,NA
3, Afeitadora Electrica Philips De 8 Movimientos S9031/12 ,329,375,"
			
			
				
				18
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 63333
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444959858-afeitadora-electrica-philips-de-8-movimientos-s903112-_JM,4,0,0,0,0,#444959858,Philips,S9031/12
4, Afeitadora Eléctrica Resistente Al Agua Punktal Pk-ms733 Oy ,38,NA,"
			
				Nuevo
			
			
				
					 - 
				
				133
				vendidos
			
		",(25 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7506
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,4.6,24,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://articulo.mercadolibre.com.uy/MLU-448668993-afeitadora-electrica-resistente-al-agua-punktal-pk-ms733-oy-_JM,16,6,2,0,0,#448668993,NA,NA
5, Rasuradora Afeitadora Electrica Maquina Afeitar + Accesorios ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(52 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2494
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259395-rasuradora-afeitadora-electrica-maquina-afeitar-accesorios-_JM,NA,NA,NA,NA,NA,#458259395,Nova,NA
6, Maquina Afeitadora Electrica 3 Cabezales Inalambrica - El Re ,634,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(21 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3522
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/ELREGALON.COM.UY,https://articulo.mercadolibre.com.uy/MLU-454728133-maquina-afeitadora-electrica-3-cabezales-inalambrica-el-re-_JM,NA,NA,NA,NA,NA,#454728133,NA,NA
7, Afeitadora Eléctrica Braun Series 3 310s ,120,NA,"
			
			
				
				17
				vendidos
			
		",(6 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 23100
		
		 sin interés
		
	

	
		",00,NA,Envío gratis a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/BRANDLINK?brandId=539,https://articulo.mercadolibre.com.uy/MLU-462071079-afeitadora-electrica-braun-series-3-310s-_JM,3,1,0,0,0,#462071079,Braun,310S
8, Afeitadora Philips Electricas S1030 Seco Y Humedo Goex ,53,65,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(9 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10393
		
		 sin interés
		
	

	
		",93,NA,Envío gratis a todo el país,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/GOEX+UY,https://articulo.mercadolibre.com.uy/MLU-454371033-afeitadora-philips-electricas-s1030-seco-y-humedo-goex-_JM,4,0,0,0,0,#454371033,NA,NA
9, Afeitadora Eléctrica Philips S1070 Aquatouch Recargable Loi ,59,79,"
			
			
				
				6
				vendidos
			
		",(2991 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11357
		
		 sin interés
		
	

	
		",57,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464595257-afeitadora-electrica-philips-s1070-aquatouch-recargable-loi-_JM,NA,NA,NA,NA,NA,#464595257,NA,NA
10, Afeitadora Eléctrica Philips S5070 Aquatouch Recargable Loi ,117,139,"
			
			
				
				5
				vendidos
			
		",(994 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 22522
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461180977-afeitadora-electrica-philips-s5070-aquatouch-recargable-loi-_JM,NA,NA,NA,NA,NA,#461180977,NA,NA
11, Afeitadora Philips Electricas S1030 Con + Regalo 408 ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				13
				vendidos
			
		",(9 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11548
		
		 sin interés
		
	

	
		",48,NA,Envío gratis a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/GOEX+UY,https://articulo.mercadolibre.com.uy/MLU-455783028-afeitadora-philips-electricas-s1030-con-regalo-408-_JM,3,0,0,0,0,#455783028,NA,NA
12, Máquina De Afeitar Eléctrica Inalámbrica Recargable Afeitado ,1810,NA,"
			
			
				
				2
				vendidos
			
		",(98 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10056
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,https://articulo.mercadolibre.com.uy/MLU-454247877-maquina-de-afeitar-electrica-inalambrica-recargable-afeitado-_JM,NA,NA,NA,NA,NA,#454247877,NA,NA
13, Afeitadora Philips Electricas S1070 Recargable Nuevas Goex ,64,79,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(94 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 12511
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/GOEX+UY,https://articulo.mercadolibre.com.uy/MLU-454243809-afeitadora-philips-electricas-s1070-recargable-nuevas-goex-_JM,NA,NA,NA,NA,NA,#454243809,NA,NA
14, Afeitadora Eléctrica Braun Series 3 310s ,120,NA,"
			
			
				
				17
				vendidos
			
		",(6 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 23100
		
		 sin interés
		
	

	
		",00,NA,Envío gratis a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/BRANDLINK?brandId=539,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=H8SyTRbLX%2B2sDdjhl1e47YqFXw5%2ByQwcg%2B4oxsXLdPNU01c%2Faez%2FDMzrT5BGYEqD2paa3J%2FZ37bHkSzBoApsGfziaO3uWyA4bfsg83B5TiqLLjM218BgY9ECKijDQR9msSI%2FCk08YIPUZ8QKj33TmbRiKSgYwOAy7YR0YEsy80OzqItDf%2FkRYPbrs5AcTCkLbPS0wSVGCpfojZkn5%2FBL6bxfspOzbSAUFmQmvtBlGOx1U8Mn71O34RpIKRgVpmTJi48pHF5AVzoZ2SQx7TgCYWWKfb6tUBFg7zo2Vhz4mG4kg%2FpMbgggjO2tMlZhehQWObOX2vjSITx%2BTvNkxkwdMOl0yfXS3YXolf1e2f6PuWpuqBle6E3ubyQYJdYaXPYn0jp40Yv%2FIVkvbxyb70mbD5GyU1%2FnxgVSshW8IUBWbcOdNnqyYBgl14UqjH7QxxxwBrbh%2Fv8ZPhQCutPG4Gpjk6HipbClAlrIds3H8k4JezJbzrJvNhuBh%2BqwqayRQ5CgN4wjRcMAj%2F2OXFnWMs5f3aW4Z7OJ9y4B4x7acnucDzcKNygFutnO9v0KpHbMsz9JN2io2q9nuCWAVmcKIYRZLe0eiMMt0%2FFouiPGDK6pW1Oq0G580e%2B2dqJfsrrANRDVH%2F4Dzr4iDZMKWsggSiC%2Br0DKcshBLrIAbs09sDTxPcCaxtxclSMuOY0ZuFWwViIpkjOFy%2FGqC1QkqNsaYUPLtCDu81DCSG914MYd0L21Zv1Vdeju4cbaomRYi4sFkcR0MfoUraelf1XHzP6wiO%2F8rPVetjnpqi3sPjTa69PtLDsYQaTFP4E5VBK3AMxUcKJjDY95lrwyVVkc1W44Je9TW%2FSrbfmu0ObQT37OWFbDhlaPQzJwGG%2BgOfdfWilcv8z0CryuQJGhfSARq3lzprsVwG%2Fk1sOXFUiZDBgUVaJbTFp4aLVdzjZd5GQaDT3u8s%2FM8Vy6rCqDQTewWG5F7RP6chrmpV0LvnKEBP6wLOsmaejNhFJQrv4tuy2mi48q1Ju1vM8adc8qiPW%2FjwcIx0Y8NEXRUwg7n3cYaBfihHZ6PRj4s4w6tuYb8CsPe4Gv0QNfr8488R5GLx6usKzsu8YdSu75HCbylR9Pb4r7kUrn91IqtrwdrRHgxe7u1YAbF0jQtgjbzF%2BA8lhNrZEjzPn01CVP25W3yGymdFA1dIIvpbreAVDLE2hs0aj52Csir42swEiFVY7Jjb3gwLPmPnFjAY%2BWs3DHLhqxxi%2B2qL0J3fDG5dUGTOmfl0DX4ZDhIqZPUch%2FHIkMMyAxcuRcqfbjZr3HzmUW1YjMhHcsSXta%2BQlXnvkBIwxR%2FSX1rrFLmdIM2uP8z8riLrzN4Nn24Mw15beixOpHRR%2BQ79kswFuq57taRBKt12j43rDGA8c5954kE%2FyqcvotAug8ZoiSKfzcRYSr87mBNIgl6MhCx%2B7uY%2FhVaQLCW0cigWMQsgaRwvpE9A349Kboaxgux3Jw5%2F%2BETQIIuMJ88TdeYb2ZJRk%2BWyAmaOGLTpAtMUZlaxs9j7dkvBpyGDVxV3nG4HIMiwTwIQ2Tdz5PDNYP1q5GHMGqy5PmZrWeCev1Bu1pofcHOyPoEfHAfdalrGXpbxwgBz6ez8QoxOwxjsPYYQD1EzXpjoHkp0UF86Y6rsVR74g%3D,3,1,0,0,0,#462071079,Braun,310S
15, Afeitadora Eléctrica Cooltec Braun Ct4s Para Piel Sensible ,320,NA,"
			
			
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 61600
		
		 sin interés
		
	

	
		",00,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/BRANDLINK?brandId=539,https://articulo.mercadolibre.com.uy/MLU-463112001-afeitadora-electrica-cooltec-braun-ct4s-para-piel-sensible-_JM,NA,NA,NA,NA,NA,#463112001,Braun,NA
16, Afeitadora Eléctrica Philips Seco Húmedo S9031 -la Tentación ,375,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 72188
		
		 sin interés
		
	

	
		",88,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LATENTACIONSRL,https://articulo.mercadolibre.com.uy/MLU-447258360-afeitadora-electrica-philips-seco-humedo-s9031-la-tentacion-_JM,NA,NA,NA,NA,NA,#447258360,Philips,Shaver
17, Máquina De Cortar Pelo Eléctrica Happy King Amarilla ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(182 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2772
		
		 sin interés
		
	

	
		",72,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-449726956-maquina-de-cortar-pelo-electrica-happy-king-amarilla-_JM,NA,NA,NA,NA,NA,#449726956,NA,NA
