seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Philips Tienda oficial,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,3,3 años vendiendo en Mercado Libre,2317,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,367,Mala (1),Regular (1),Buena (365),"Providencia, RM (Metropolitana).",2317 ventas en los últimos 4 meses
GARCIASKARLETH,https://perfil.mercadolibre.cl/GARCIASKARLETH,2,2 años vendiendo en Mercado Libre,361,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,58,Mala (2),Regular (4),Buena (52),"Estacion Central, RM (Metropolitana).",361 ventas en los últimos 4 meses
MULTISHOPVIRTUAL23,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,8,8 meses vendiendo en Mercado Libre,848,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,134,Mala (6),Regular (3),Buena (125),"Independencia, RM (Metropolitana).",848 ventas en los últimos 4 meses
COSMETICAVAL,https://perfil.mercadolibre.cl/COSMETICAVAL,8,8 años vendiendo en Mercado Libre,2808,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,324,Mala (4),Regular (12),Buena (308),"Providencia, RM (Metropolitana).",2808 ventas en los últimos 4 meses
TECHNO SOULESS,https://perfil.mercadolibre.cl/TECHNO+SOULESS,2,2 años vendiendo en Mercado Libre,2152,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,237,Mala (14),Regular (9),Buena (214),"Estacion Central, RM (Metropolitana).",2152 ventas en los últimos 4 meses
PUNTOSTORECHILE,https://perfil.mercadolibre.cl/PUNTOSTORECHILE,4,4 años vendiendo en Mercado Libre,486,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,70,Mala (4),Regular (1),Buena (65),"Valparaiso, Valparaíso.",486 ventas en los últimos 4 meses
AROMATIZANTES CHILE,https://perfil.mercadolibre.cl/AROMATIZANTES+CHILE,2,2 años vendiendo en Mercado Libre,1060,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,209,Mala (18),Regular (5),Buena (186),"Viña Del Mar, Valparaíso.",1060 ventas en los últimos 4 meses
MISNOVEDADES2,https://perfil.mercadolibre.cl/MISNOVEDADES2,2,2 años vendiendo en Mercado Libre,1419,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,225,Mala (26),Regular (22),Buena (177),"Santiago, RM (Metropolitana).",1419 ventas en los últimos 4 meses
IMPORTADORATECNOPRO,https://perfil.mercadolibre.cl/IMPORTADORATECNOPRO,2,2 años vendiendo en Mercado Libre,16353,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2158,Mala (123),Regular (121),Buena (1914),"Estacion Central, RM (Metropolitana).",16353 ventas en los últimos 4 meses
P&G Tienda oficial,https://perfil.mercadolibre.cl/ONLINECLUB.TO?brandId=194,2,2 años vendiendo en Mercado Libre,5427,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,938,Mala (49),Regular (33),Buena (856),"La Florida, RM (Metropolitana).",5427 ventas en los últimos 4 meses
PROVIDENCIA HOGAR,https://perfil.mercadolibre.cl/PROVIDENCIA+HOGAR,3,3 años vendiendo en Mercado Libre,204,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,52,Mala (1),Regular (1),Buena (50),"Providencia, RM (Metropolitana).",204 ventas en los últimos 4 meses
DISPAROTIENDACL,https://perfil.mercadolibre.cl/DISPAROTIENDACL,2,2 años vendiendo en Mercado Libre,1079,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,184,Mala (5),Regular (7),Buena (172),"Santiago, RM (Metropolitana).",1079 ventas en los últimos 4 meses
RUIT1103431,https://perfil.mercadolibre.cl/RUIT1103431,1,1 año vendiendo en Mercado Libre,250,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,39,Mala (3),Regular (1),Buena (35),"Viña Del Mar, Valparaíso.",250 ventas en los últimos 4 meses
DACA CL,https://perfil.mercadolibre.cl/DACA+CL,1,1 año vendiendo en Mercado Libre,406,NA,Brinda buena atención,Entrega sus productos a tiempo,90,Mala (1),Regular (1),Buena (88),"Santiago, RM (Metropolitana).",406 ventas en los últimos 4 meses
LEO1171,https://perfil.mercadolibre.cl/LEO1171,15,15 años vendiendo en Mercado Libre,79,NA,Brinda buena atención,Entrega sus productos a tiempo,20,Mala (2),Regular (0),Buena (18),"La Hacienda, RM (Metropolitana).",79 ventas en los últimos 4 meses
COMPRATECHCL,https://perfil.mercadolibre.cl/COMPRATECHCL,1,1 año vendiendo en Mercado Libre,2284,NA,Brinda buena atención,Entrega sus productos a tiempo,368,Mala (37),Regular (15),Buena (316),China.,2284 ventas en los últimos 4 meses
