seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
DIRTSAC,http://perfil.mercadolibre.com.pe/DIRTSAC,4,4 años vendiendo en Mercado Libre,11719,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5199,Negativa (96),Neutral (320),Positiva (4783),"Lima, Lima.",NA
VMC SOLUCIONES,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,9,9 años vendiendo en Mercado Libre,3669,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1903,Negativa (17),Neutral (106),Positiva (1780),"Lima, Lima.",NA
JHOUNETHAQUISE,http://perfil.mercadolibre.com.pe/JHOUNETHAQUISE,2,2 años vendiendo en Mercado Libre,1449,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,855,Negativa (7),Neutral (24),Positiva (824),"Lima, Lima.",NA
GALY IMPORT,http://perfil.mercadolibre.com.pe/GALY+IMPORT,2,2 años vendiendo en Mercado Libre,3728,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1064,Negativa (26),Neutral (34),Positiva (1004),"Lima, Lima.",NA
VMC NETWORKS,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,1,1 año vendiendo en Mercado Libre,458,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,228,Negativa (1),Neutral (2),Positiva (225),"Lima, Lima.",NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,6 años vendiendo en Mercado Libre,7251,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4502,Negativa (8),Neutral (350),Positiva (4144),"Lima, Lima.",NA
DECOMPRAS50.COM,http://perfil.mercadolibre.com.pe/DECOMPRAS50.COM,1,1 año vendiendo en Mercado Libre,97,NA,NA,NA,51,Negativa (1),Neutral (3),Positiva (47),"Lima, Lima.",NA
VENTASONLINEFREDY.COM,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,7,7 años vendiendo en Mercado Libre,909,NA,NA,NA,589,Negativa (5),Neutral (54),Positiva (530),"Lima, Lima.",NA
VYKCAT,http://perfil.mercadolibre.com.pe/VYKCAT,5,5 años vendiendo en Mercado Libre,871,NA,NA,NA,512,Negativa (0),Neutral (12),Positiva (500),"Lima, Lima.",NA
IMPORTACIONES FLYTEC,http://perfil.mercadolibre.com.pe/IMPORTACIONES+FLYTEC,3,3 años vendiendo en Mercado Libre,2149,NA,NA,NA,1161,Negativa (24),Neutral (70),Positiva (1067),"Lima, Lima.",NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,4 años vendiendo en Mercado Libre,23877,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8531,Negativa (187),Neutral (704),Positiva (7640),"Lima, Lima.",NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,13 años vendiendo en Mercado Libre,132,NA,NA,NA,78,Negativa (0),Neutral (6),Positiva (72),"Lima, Lima.",NA
IMPORTACIONES LAKSHMI,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,2,2 años vendiendo en Mercado Libre,630,NA,NA,NA,340,Negativa (14),Neutral (38),Positiva (288),"Lima, Lima.",NA
MARKETLINCE,http://perfil.mercadolibre.com.pe/MARKETLINCE,2,2 años vendiendo en Mercado Libre,5820,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2272,Negativa (13),Neutral (113),Positiva (2146),"Lima, Lima.",NA
INNOVASYSTEMCORP,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,3,3 años vendiendo en Mercado Libre,11630,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5253,Negativa (18),Neutral (272),Positiva (4963),"Lima, Lima.",NA
GOBUY STORE,http://perfil.mercadolibre.com.pe/GOBUY+STORE,2,2 años vendiendo en Mercado Libre,825,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,320,Negativa (1),Neutral (20),Positiva (299),"Lima, Lima.",NA
LEMARCICLISMOYDEPORTES,http://perfil.mercadolibre.com.pe/LEMARCICLISMOYDEPORTES,14,14 años vendiendo en Mercado Libre,1084,NA,NA,NA,633,Negativa (22),Neutral (75),Positiva (536),"Lima, Lima.",NA
LATINO.,http://perfil.mercadolibre.com.pe/LATINO.,1,1 año vendiendo en Mercado Libre,600,NA,NA,NA,304,Negativa (2),Neutral (16),Positiva (286),"Lima, Lima.",NA
ANGIE LA,http://perfil.mercadolibre.com.pe/ANGIE+LA,5,5 años vendiendo en Mercado Libre,73,NA,NA,NA,48,Negativa (2),Neutral (2),Positiva (44),"Lima, Lima.",NA
PABLOFORCE123,http://perfil.mercadolibre.com.pe/PABLOFORCE123,13,13 años vendiendo en Mercado Libre,416,NA,NA,NA,160,Negativa (1),Neutral (12),Positiva (147),"Lima, Lima.",NA
DEKORTIME,http://perfil.mercadolibre.com.pe/DEKORTIME,1,1 año vendiendo en Mercado Libre,318,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,185,Negativa (0),Neutral (7),Positiva (178),"Lima, Lima.",NA
LIMBO PERU,http://perfil.mercadolibre.com.pe/LIMBO+PERU,1,1 año vendiendo en Mercado Libre,114,NA,NA,NA,54,Negativa (1),Neutral (1),Positiva (52),"Lima, Lima.",NA
USER316,http://perfil.mercadolibre.com.pe/USER316,3,3 años vendiendo en Mercado Libre,152,NA,NA,NA,47,Negativa (1),Neutral (2),Positiva (44),"Lima, Lima.",NA
PACHERRESJUAN,http://perfil.mercadolibre.com.pe/PACHERRESJUAN,6,6 años vendiendo en Mercado Libre,586,NA,NA,NA,370,Negativa (8),Neutral (26),Positiva (336),"Lima, Lima.",NA
OSRA6692680,http://perfil.mercadolibre.com.pe/OSRA6692680,1,1 año vendiendo en Mercado Libre,181,NA,NA,NA,127,Negativa (0),Neutral (4),Positiva (123),"Lima, Lima.",NA
JHON_EDWARD_123,http://perfil.mercadolibre.com.pe/JHON_EDWARD_123,1,1 año vendiendo en Mercado Libre,1601,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,802,Negativa (9),Neutral (31),Positiva (762),"Lima, Lima.",NA
JESUS_SANCHEZ_G,http://perfil.mercadolibre.com.pe/JESUS_SANCHEZ_G,10,10 años vendiendo en Mercado Libre,809,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,375,Negativa (0),Neutral (0),Positiva (375),"Lima, Lima.",NA
AKAESPERUSAC,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,10,10 meses vendiendo en Mercado Libre,1959,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,720,Negativa (35),Neutral (102),Positiva (583),"Lima, Lima.",NA
GOMAXPERUCOM,http://perfil.mercadolibre.com.pe/GOMAXPERUCOM,4,4 meses vendiendo en Mercado Libre,17,NA,NA,NA,17,Negativa (0),Neutral (1),Positiva (16),"Lima, Lima.",NA
QUETALCOMPRA,http://perfil.mercadolibre.com.pe/QUETALCOMPRA,2,2 años vendiendo en Mercado Libre,2426,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1397,Negativa (19),Neutral (65),Positiva (1313),"Lima, Lima.",NA
GRUPONATIC TIENDA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,3,3 años vendiendo en Mercado Libre,5318,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1862,Negativa (30),Neutral (132),Positiva (1700),"Lima, Lima.",NA
DIEGO ALIKE,http://perfil.mercadolibre.com.pe/DIEGO+ALIKE,1,1 año vendiendo en Mercado Libre,75,NA,NA,NA,42,Negativa (1),Neutral (0),Positiva (41),"Lima, Lima.",NA
