search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,124,NA,3540,1448,12x,11.94,NA,Frete grátis,NA,NA,4.7,352,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,279,46,16,5,5,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Barbeador Elétrico Philips Seco Molhado Aquatouch S1030/04 ,158,NA,174,78,12x,13.25,NA,Frete grátis,NA,NA,4.4,321,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1262444143-barbeador-eletrico-philips-seco-molhado-aquatouch-s103004-_JM,221,49,27,10,13,#1262444143,Philips,AquaTouch,S1030,NA,Recarregável,Flexíveis,NA,NA
3, Barbeador Elétrico Philips Seco Molhado Aquatouch S1030/04 ,157,NA,210,40,12x,15.01,NA,Frete grátis,NA,NA,4.4,321,https://perfil.mercadolivre.com.br/ELETROPRINTER,https://produto.mercadolivre.com.br/MLB-1229388641-barbeador-eletrico-philips-seco-molhado-aquatouch-s103004-_JM,221,49,27,10,13,#1229388641,Philips,AquaTouch,S1030/04,NA,Recarregável,Flexíveis,NA,225 g
4, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,120,NA,89,41,12x,10.00,NA,Frete grátis,NA,NA,4,2,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://produto.mercadolivre.com.br/MLB-1223500996-barbeador-eletrico-a-prova-dagua-relax-multi-groom-_JM,0,2,0,0,0,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
5, Aparador Barba Barbeador Acabamento Tipo Panasonic Ri01 ,31,NA,1755,1,6x,5.92,NA,Envio para todo o país,NA,NA,4.2,135,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-703435877-aparador-barba-barbeador-acabamento-tipo-panasonic-ri01-_JM,79,26,19,3,8,#703435877,Importado,Ri01,RI-01,NA,Recarregável,1,Eletrico,NA
6, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,44,NA,772,31,6x,7.50,NA,Envio para todo o país,NA,NA,4,151,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,https://produto.mercadolivre.com.br/MLB-957075883-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,73,34,22,10,11,#957075883,Goncon,Shaver,RSCW-2088,NA,Recarregável,Giratórios,30 min,240 g
7, Aparador Barbeador Elétrico Philips 6 Em 1 Mg3711 + Frete ,127,NA,160,340,12x,12.22,NA,Frete grátis,NA,NA,4.6,5,https://perfil.mercadolivre.com.br/WEB-MAPE,https://produto.mercadolivre.com.br/MLB-1133052102-aparador-barbeador-eletrico-philips-6-em-1-mg3711-frete-_JM,4,0,1,0,0,#1133052102,Philips,Multigroom,MG3711/15,NA,Recarregável,Removíveis,60 min,NA
8, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,120,NA,89,41,12x,10.00,NA,Frete grátis,NA,NA,4,2,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=DnNrO2%2F7n5LumyltDQVorl%2BqH3mA5699qQatcUYxmdunsXQWkJh8T8rRU%2Bcy1mTchmMcEbI%2FGzT%2FYpQrJI7Eiavtl1d0KTgG116Ds5DFM5KX9XRUD0UiDuOJwTIMVAuU9wilzL8rumYT7j5ViS3dQldNFdrIf19axiua%2FE8sAYYVsm%2BRBwUHniIcwAq4fS2bCvFT7CzPOCWCBSb8hR6uN5KnkQuV9Kft1oeiFsUhJPSc4ribhNZiiqj%2Fc9jg4o5XpO2QLDbQ1K0tP%2BE9Vt6IBqLAm5sMEMP0wPsge3p6XO9HAqIwF6MryqtlprrK6CojBD3PKlaju2ZKswIWtOCDrvrNmcRI57r7fULvAMBVWS8M1xnGQPJdLUT%2BBXoxyFPAxxFwk9s4ELhkb9rKjJI8b6FzxZRu5HGvcEKoypRcmlgmGu4hq%2BSPyQPh0wmIrei9FFFo6FGKJJswStEkIKl35YBC9XQL1Fi2Ml4JW22Zvf4T9ItqbLM7TCrdBas4tDK4iyEWX%2FbSwEWNbtXJP4RJch6hb9DnYkkvVbLOHUnrnoUCEVQkjecTkzOEVC1%2BTn2PKH4tivb4gyAMlcMtEt8o6EGAsKM9XDUOP5Jld6MHd3JGqWzbFUil78cXQ4kzoMNuJHqXbhixk%2Fx8msNLq%2BSfIAImDAMW3dKvc2szvqJ02FkMAUqF0B9V9FwFKnlDZAg5PhfoNnhhPhcrRNLaCgJg34ne8A6nA4Fd0gQnm2e%2F5MawMwsBPnwKJUmMlmkTw2qQST%2F7JCPadLVfq1Y3HSLQwmZFsB5CGDua8QYBTzcJCjlIzp7f6t2SCnxeO3zskw2NyRT0wgBNeDWaUM%2BFJbFgcOHmeFV0ey7P5pOSKJIhZ7g%2BF2aJtaeD9C3XgQfH8E8Lt1SoLRueQpfvIhKtSKLbo16czVyOhS%2FnXfh54nM4uOWxxOOWxgmY14Qd3P1%2FBQC8j1MwidCzAF3Xk%2FChqc%2B53ZscbQI7EdLI%2BW1onN1APG%2F6Ps%2B7qherj9PP6xJu4Ok9nJ6gNAG5QY6EVhhSomUlH91ZN1q55aGJDt4iRMN5fBNnLpf72BL1qe1h2wSg9sS3J0gAsrojEozOwnkBU0JDaKXULO4MnIA4yNmPOBBXbNSbWSU0Dln9kwI71V1u0AC7oMAZr%2BvekTv2i2iZMac4God99jc7bCsb82chnYb7j0rKR1YiOZqqlSYEpnbIg5B0e3ZWHXaGDvLjntTVJt7pggOgGYTnZJcIpGHH6t5gvvWDEYuSVwQML66Xbuuut9k9nJ3XOZKX3FrAwbV1%2FPtKUnIl%2BZ0CtCvm%2FafKPOcoMp1cfjxzNhzju2eis1YxjM8Jkjag5dtVMb2aP5%2BGT%2FMstAh7tKUAEKOD9ofNa%2BsF0n3DzGVbp%2FTdctXWCEc%2F3dVVcy9GxDPPm%2FnlcBUh%2BxlF4yfgFL2Y%2FDAk7VL%2BEnD%2FrfZoAbkDFKETjBL1NKiF45NTinfdsIq90%2FyIe9pnGMLiPhonqDXqqixzjGsM8ITS2%2FBShgLKNQPZuTBgLN%2FCJMXUv%2FLdEy4rTHdsh7qRM%2F3fGWCDhy3nFUxGPB1tvz40al5NuUKpPRWPqRKNbO2SW1hB%2FGk1594N5ovP3YZSgk43Ko7zfG5iWc7zHXYkc9r7gf6W%2BAKODxwtKyU8Hln5Ja1odtkrWik%2Fq8K5zI4CwSDkw%2FBt8EpvZidJLDUsuUJc%2BF2TVn0d7CG%2BsiG6XYI46HygxT8%3D,0,2,0,0,0,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
9, Barbeador Philips Seco/molhado Aquatouch S1030/04 Bivolt ,164,NA,191,6,12x,13.74,NA,Frete grátis,NA,NA,4.4,321,https://perfil.mercadolivre.com.br/LOJA+MEGASTORE?brandId=1868,https://produto.mercadolivre.com.br/MLB-1197309895-barbeador-philips-secomolhado-aquatouch-s103004-bivolt-_JM,221,49,27,10,13,#1197309895,Philips,AquaTouch,S1030/04,NA,Recarregável,Flexíveis,45 minutos,225 g
10, Aparador Barba Barbeador Refing Acabamento ,31,NA,957,12,6x,5.92,NA,Envio para todo o país,NA,NA,4.4,97,https://perfil.mercadolivre.com.br/JSA+VENDAS,https://produto.mercadolivre.com.br/MLB-856878027-aparador-barba-barbeador-refing-acabamento-_JM,59,27,7,2,2,#856878027,X Zhang,Aparador,XZ389C,NA,Recarregável,1,Recarregavel,NA
