search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Modelo alfanumérico
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,1636,39,12 meses,39.42,NA,Envío gratis a todo el país,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,265,284,1012,46,12 meses,26.18,NA,Envío gratis a todo el país,NA,NA,4.3,63,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,35,14,9,2,2,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,NA
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,299,331,89,18 meses,13.61,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,2,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA,NA
4, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,1487,101,18 meses,33.28,NA,Envío gratis a todo el país,NA,NA,4.8,90,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,76,11,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,QG3330/42
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,415,339,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.5,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,7,3,1,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,NA
6, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,599,799,696,334,12 meses,59.18,NA,Envío gratis a todo el país,NA,NA,4.9,19,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,17,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,QP2510/10
7, Rasuradora Recargable Portatil 4 Cabezales Pelo Y Barba Kit ,279,NA,256,8,12 meses,27.56,NA,Envío gratis a todo el país,NA,NA,4.4,8,https://perfil.mercadolibre.com.mx/IMPORTACIONES+ACAPULCO,https://articulo.mercadolibre.com.mx/MLM-657933483-rasuradora-recargable-portatil-4-cabezales-pelo-y-barba-kit-_JM,5,2,0,1,0,#657933483,etceo,rasuradora,etceo,Planos,4,Láminas,Recargable,40 min,8 h,NA
8, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,415,339,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.5,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=FMSlDEQVOAPl3e16q43HsVUKcMH%2BcUgmCgTk%2FtxqewHjgpO%2FLGKeFYeWxCmseH%2Bp8536kW4nCnzfPxIDSesX7A2aOMmH7VcQEjNCjnoa6GBqvaVqHoqexYQTaSEgbvi7U7Gz22NhCqC3ZiPzKjNu4HDnZdkX4f8N1x5m1lRJZTSfbpVKajcBi3SecXPrQ5UkaPSOP1xe3rksipzLWapfXP%2Fa%2F%2FQQQsWLvLyuThOzh3EX8MxCC%2FdLESkWyLE4gH96ZmOyIBR93c3W4hwrG4b0HMwIpyOwEejVuXemu%2FhBBZ0hTabZQSSBU67lMq%2FHmSG3krWjWEGvi7QOCI252h58U6qjqE56L95kRuhtFoLOAPl05yQFSV%2BQUKH4RtN%2BRJU396KjpUAD3YS37pq4M%2FPEUIGe47Ao6wbjp%2BZ%2FRQcRXQOAt5iWAyA7oFR21SroCphGg%2F6T7i3FoaevG79oirELjU7Mc0ZmZEAyKme78g%2BCdUhHQetHLdSYDVDp%2BezptVDa6DeZ6isdm2XnIinBn6ZAU%2FksWBKIX9BD5ZZu3nX3gWFxCTvXAPmk%2Fn%2BD7XZbIMfDTQirdQE6pm0zTLWvk7ynfpQHxgs%2FCHjjWEJWBxWVnww%2BON435wSBKJyh7s%2FXwMxSEJlJbYhPf69aQ8eBGXqO8oyQtP63wgXJFOw5wpV7B2pgGEE7MuBh1yxrwS5dB6WVPT34aT6W3rRACj0pIiFtwpHYxlbirw%2Fk9kFVGWhzT%2BMnwcW8Z28V8yB6i2%2F2cOf7%2BDNiONE%2FptJVYF8EN3EQ%2FZd0khEaCB3EofNC55VabjqnIiog3KNBtnirfEJb8fuPa6l%2FS1XbBdkJCCPb4CqGz%2Fyp0l4%2BgLYNmijqvtxWntbS4MTfrRegLC5USW36rLwXir5FpQ9udTpoMYbjbhTnrzsXUG1OAA8U7e3kRB2GMlU3xPBQQ6lSS6QRcCSgr8qIRcuJj3ISH%2BP%2FdjtFs8aziMZTBwbXhrYjyntSdZ1DvXNWZeaioT3gdVZ3fORjEtmTCXMGqOk9sd8WZzX5Ej%2BkvhesaEDC7B99iGeNb3Aw1%2BmsAc%2B2SQrvLuwz0bL9H09sXrgmWzfMr8Gbr7t9ebeje238CBk2sSsmjcTpJ70s1LMlMaYou1ambUWEAtgMZ%2BxPQURZdlPrdKy5arzlSE9fqB1uliNL9V4MaP6tVKMovV9aeiKdIx35GdzGN65cw%2BEs2dVQY75g1sDh0SgaL%2Fm9Mcxs59j8bbjWQtmR%2BxFZSDuIc0kxgoYvjCo%2FGLF4wNRL7r4Yw%2BFLtIt2oTkCiVIsa7kllUBlzLeQJmAM2KfRzlghw%2FjLWMwyGWpMLVpGAYkKGUoyi69DrQBGMDCs9EGgh0pB1TYKdXo8B5eFx3UpoOotNc4%2FgYHVqf0p8L9aXIOyKbhfvaHUQked%2FAUvLgKuJZc1kbb7pqGZ5nyQE0d7lXUS2sctqajChxkAU9D8xt02FihJwnusOBjhx%2BsfAeOwhDNdAoNlZ3RL3zWnF0muU8MsAY61jvSpsZS9kdZnGLrV2cFTI%2Fd9td4Dgm66ZYAeXhr4756o7jK3kUseINjmp2gM0AEVjQqS6%2BCRkHUoDVKeyJW%2FBCg0TrRvcmLbZNWzHc4AwEKc%2F7BZOXdzBzpqcIppnxeWIF%2FFlgAHUGhZTTPuVpL2mMB7c8ztlbp9reHhy50D6z3j%2FYPTe4g5Zy3FyNLXL%2F8soAy4%2FOFe1uGIUx9CBsokSKyrDM3QNYDbxoulbhTMMff3Vn3aQyH5fE05iffh2D7gQSP8n4cjSDKtkSO3bQ3Zzsy6lZi5wKs9O08gTCXs4wy%2BJfFgRUE%2FY7m0nw%3D%3D,7,3,1,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,NA
9, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,997,NA,101,2,12 meses,98.50,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,1,0,0,0,0,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h,NA
10, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,780,NA,121,28,12 meses,77.06,NA,Envío gratis a todo el país,NA,NA,4.7,11,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,8,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,SW175
