search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Afeitadora Eléctrica Philips Aquatouch S5050/04 Uso Humedo ,37.990,51.990,"
			
			
				
				172
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.332
			
		
		 sin interés
		
	

	
		","
				$ 6.332
			",NA,Envío gratis a todo el país,NA,NA,4.6,11,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626159-afeitadora-electrica-philips-aquatouch-s505004-uso-humedo-_JM,7,4,0,0,0,#437626159,NA,NA
2, Afeitadora Eléctrica Philips Pt860/14 Uso En Seco C/s Cable ,30.990,41.990,"
			
			
				
				86
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.165
			
		
		 sin interés
		
	

	
		","
				$ 5.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437624808-afeitadora-electrica-philips-pt86014-uso-en-seco-cs-cable-_JM,4,0,0,0,0,#437624808,NA,NA
3, Afeitadora Eléctrica Philips S1070/04 Humedo Seco Recargable ,25.990,31.990,"
			
			
				
				101
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.332
			
		
		 sin interés
		
	

	
		","
				$ 4.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,5,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-461031377-afeitadora-electrica-philips-s107004-humedo-seco-recargable-_JM,4,1,0,0,0,#461031377,Philips,S1070/04
4, Afeitadora Eléctrica Philips Shaver 7000 S7310/12 Uso Humedo ,79.990,112.990,"
			
			
				
				33
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 13.332
			
		
		 sin interés
		
	

	
		","
				$ 13.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626987-afeitadora-electrica-philips-shaver-7000-s731012-uso-humedo-_JM,3,0,0,0,0,#437626987,NA,NA
5, Afeitadora Eléctrica Philips Shaver Series 3000 /3gmarket ,21.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.665
			
		
		 sin interés
		
	

	
		","
				$ 3.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GARCIASKARLETH,https://articulo.mercadolibre.cl/MLC-479859322-afeitadora-electrica-philips-shaver-series-3000-3gmarket-_JM,NA,NA,NA,NA,NA,#479859322,NA,NA
6, Afeitadora Eléctrica Philips Shaver 9000 S9161/41 Uso Humedo ,129.990,179.990,"
			
			
				
				6
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 21.665
			
		
		 sin interés
		
	

	
		","
				$ 21.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437627489-afeitadora-electrica-philips-shaver-9000-s916141-uso-humedo-_JM,NA,NA,NA,NA,NA,#437627489,NA,NA
7, Afeitadora Eléctrica Philips S1030/04 Humedo Seco Recargable ,26.990,NA,"
			
			
				
				25
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.498
			
		
		 sin interés
		
	

	
		","
				$ 4.498
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-484825685-afeitadora-electrica-philips-s103004-humedo-seco-recargable-_JM,3,0,0,0,0,#484825685,Philips,S1030/04
8, Maquina De Afeitar Electrica Depiladora Corta Vello ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(99999 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-479673735-maquina-de-afeitar-electrica-depiladora-corta-vello-_JM,NA,NA,NA,NA,NA,#479673735,NA,NA
9, Afeitadora Eléctrica Philips Aquatouch S5070/04 Uso Humedo ,39.990,54.990,"
			
			
				
				19
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626489-afeitadora-electrica-philips-aquatouch-s507004-uso-humedo-_JM,NA,NA,NA,NA,NA,#437626489,NA,NA
10, Maquina De Afeitar Eléctrica Recargable Puntostore G311 ,8.600,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.433
			
		
		 sin interés
		
	

	
		","
				$ 1.433
			",NA,Envío a todo el país,NA,NA,4.0,1,https://perfil.mercadolibre.cl/PUNTOSTORECHILE,https://articulo.mercadolibre.cl/MLC-483669577-maquina-de-afeitar-electrica-recargable-puntostore-g311-_JM,NA,NA,NA,NA,NA,#483669577,NA,NA
