seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
VIVE NUEVO,https://perfil.mercadolibre.com.co/VIVE+NUEVO,13,13 años vendiendo en Mercado Libre,1412,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,347,Mala (0),Regular (2),Buena (345),"Bogotá, Bogotá D.C..",1412 ventas en los últimos 4 meses
SHOPINGLINE CC,https://perfil.mercadolibre.com.co/SHOPINGLINE+CC,11,11 meses vendiendo en Mercado Libre,3057,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,443,Mala (9),Regular (2),Buena (432),"Bogotá, Bogotá D.C..",3057 ventas en los últimos 4 meses
JHORAMIREZPERES,https://perfil.mercadolibre.com.co/JHORAMIREZPERES,7,7 años vendiendo en Mercado Libre,1550,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,362,Mala (7),Regular (9),Buena (346),"Fontibón, Bogotá D.C..",1550 ventas en los últimos 4 meses
VIVIANA MORERAS,https://perfil.mercadolibre.com.co/VIVIANA+MORERAS,2,2 años vendiendo en Mercado Libre,1430,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,212,Mala (9),Regular (6),Buena (197),"Bogotá, Bogotá D.C..",1430 ventas en los últimos 4 meses
MERKADOYA,https://perfil.mercadolibre.com.co/MERKADOYA,13,13 años vendiendo en Mercado Libre,4810,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1234,Mala (59),Regular (51),Buena (1124),"Bogotá, Bogotá D.C..",4810 ventas en los últimos 4 meses
BRANDPORT SAS,https://perfil.mercadolibre.com.co/BRANDPORT+SAS,3,3 años vendiendo en Mercado Libre,11129,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1883,Mala (94),Regular (107),Buena (1682),"Bogotá, Bogotá D.C..",11129 ventas en los últimos 4 meses
COMPRALOENCASA.COM,https://perfil.mercadolibre.com.co/COMPRALOENCASA.COM,7,7 años vendiendo en Mercado Libre,3853,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,811,Mala (26),Regular (25),Buena (760),"Medellín, Antioquia.",3853 ventas en los últimos 4 meses
EASY_TRADING,https://perfil.mercadolibre.com.co/EASY_TRADING,2,2 años vendiendo en Mercado Libre,265,NA,Brinda buena atención,Entrega sus productos a tiempo,62,Mala (0),Regular (0),Buena (62),"Bogotá, Bogotá D.C..",265 ventas en los últimos 4 meses
COLMETECNO,https://perfil.mercadolibre.com.co/COLMETECNO,10,10 meses vendiendo en Mercado Libre,275,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,43,Mala (0),Regular (0),Buena (43),"Bogotá, Bogotá D.C..",275 ventas en los últimos 4 meses
ALI-BAG,https://perfil.mercadolibre.com.co/ALI-BAG,14,14 años vendiendo en Mercado Libre,462,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,87,Mala (1),Regular (3),Buena (83),"Bogotá, Bogotá D.C..",462 ventas en los últimos 4 meses
BETHMARC,https://perfil.mercadolibre.com.co/BETHMARC,8,8 años vendiendo en Mercado Libre,3090,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,789,Mala (26),Regular (31),Buena (732),"Bogotá, Bogotá D.C..",3090 ventas en los últimos 4 meses
