seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
JHOUNETHAQUISE,http://perfil.mercadolibre.com.pe/JHOUNETHAQUISE,2,años,1459,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,864,7,25,832,"Lima, Lima.",NA,NA
VMC SOLUCIONES,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,9,años,3690,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1912,17,106,1789,"Lima, Lima.",NA,NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,años,7234,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4506,8,350,4148,"Lima, Lima.",NA,NA
GALY IMPORT,http://perfil.mercadolibre.com.pe/GALY+IMPORT,2,años,3733,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1086,27,36,1023,"Lima, Lima.",NA,NA
VENTASONLINEFREDY.COM,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,7,años,909,NA,NA,NA,589,5,54,530,"Lima, Lima.",NA,NA
IMPORTACIONES FLYTEC,http://perfil.mercadolibre.com.pe/IMPORTACIONES+FLYTEC,3,años,2150,NA,NA,NA,1161,24,70,1067,"Lima, Lima.",NA,NA
DECOMPRAS50.COM,http://perfil.mercadolibre.com.pe/DECOMPRAS50.COM,1,año,100,NA,NA,NA,51,1,3,47,"Lima, Lima.",NA,NA
VMC NETWORKS,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,1,año,464,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,231,1,3,227,"Lima, Lima.",NA,NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,años,137,NA,NA,NA,82,0,8,74,"Lima, Lima.",NA,NA
IMPORTACIONES LAKSHMI,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,2,años,634,NA,NA,NA,344,14,38,292,"Lima, Lima.",NA,NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,años,23902,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8560,187,704,7669,"Lima, Lima.",NA,NA
MARKETLINCE,http://perfil.mercadolibre.com.pe/MARKETLINCE,2,años,5836,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2283,13,114,2156,"Lima, Lima.",NA,NA
INNOVASYSTEMCORP,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,3,años,11655,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5261,18,275,4968,"Lima, Lima.",NA,NA
LEMARCICLISMOYDEPORTES,http://perfil.mercadolibre.com.pe/LEMARCICLISMOYDEPORTES,14,años,1084,NA,NA,NA,633,22,75,536,"Lima, Lima.",NA,NA
ANGIE LA,http://perfil.mercadolibre.com.pe/ANGIE+LA,5,años,73,NA,NA,NA,48,2,2,44,"Lima, Lima.",NA,NA
PACHERRESJUAN,http://perfil.mercadolibre.com.pe/PACHERRESJUAN,6,años,587,NA,NA,NA,377,8,27,342,"Lima, Lima.",NA,NA
GOBUY STORE,http://perfil.mercadolibre.com.pe/GOBUY+STORE,2,años,828,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,320,1,20,299,"Lima, Lima.",NA,NA
PABLOFORCE123,http://perfil.mercadolibre.com.pe/PABLOFORCE123,13,años,416,NA,NA,NA,161,1,12,148,"Lima, Lima.",NA,NA
DEKORTIME,http://perfil.mercadolibre.com.pe/DEKORTIME,1,año,325,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,193,1,7,185,"Lima, Lima.",NA,NA
LIMBO PERU,http://perfil.mercadolibre.com.pe/LIMBO+PERU,1,año,115,NA,NA,NA,54,1,1,52,"Lima, Lima.",NA,NA
JHON_EDWARD_123,http://perfil.mercadolibre.com.pe/JHON_EDWARD_123,1,año,1614,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,814,10,31,773,"Lima, Lima.",NA,NA
USER316,http://perfil.mercadolibre.com.pe/USER316,3,años,152,NA,NA,NA,47,1,2,44,"Lima, Lima.",NA,NA
OSRA6692680,http://perfil.mercadolibre.com.pe/OSRA6692680,1,año,184,NA,NA,NA,129,0,4,125,"Lima, Lima.",NA,NA
LATINO.PE,http://perfil.mercadolibre.com.pe/LATINO.PE,1,año,601,NA,NA,NA,304,2,16,286,"Lima, Lima.",NA,NA
MASTER TEC18,http://perfil.mercadolibre.com.pe/MASTER+TEC18,4,años,1041,NA,NA,NA,1258,1,14,1243,"Lima, Lima.",NA,NA
JESUS_SANCHEZ_G,http://perfil.mercadolibre.com.pe/JESUS_SANCHEZ_G,10,años,818,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,379,0,0,379,"Lima, Lima.",NA,NA
GOMAXPERUCOM,http://perfil.mercadolibre.com.pe/GOMAXPERUCOM,4,meses,23,NA,NA,NA,21,0,1,20,"Lima, Lima.",NA,NA
QUETALCOMPRA,http://perfil.mercadolibre.com.pe/QUETALCOMPRA,2,años,2429,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1400,19,66,1315,"Lima, Lima.",NA,NA
AKAESPERUSAC,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,10,meses,1995,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,732,38,105,589,"Lima, Lima.",NA,NA
GRUPONATIC TIENDA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,3,años,5322,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1868,30,132,1706,"Lima, Lima.",NA,NA
DIEGO ALIKE,http://perfil.mercadolibre.com.pe/DIEGO+ALIKE,1,año,75,NA,NA,NA,42,1,0,41,"Lima, Lima.",NA,NA
LIJOV_EIRL,http://perfil.mercadolibre.com.pe/LIJOV_EIRL,8,años,295,NA,NA,NA,149,4,7,138,"Lima, Lima.",NA,NA
J5R,http://perfil.mercadolibre.com.pe/J5R,7,años,18,NA,NA,NA,10,0,1,9,"Huancayo, Junin.",NA,NA
KECHVR.COM,http://perfil.mercadolibre.com.pe/KECHVR.COM,5,años,579,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,318,2,9,307,"Lima, Lima.",NA,NA
MAIRYEXPRESS,http://perfil.mercadolibre.com.pe/MAIRYEXPRESS,2,años,51,NA,NA,NA,10,0,5,5,"Lima, Lima.",NA,NA
ALEXSANDER LLANCO,http://perfil.mercadolibre.com.pe/ALEXSANDER+LLANCO,1,año,250,NA,NA,NA,127,4,12,111,"Lima, Lima.",NA,NA
CUBANO SERIEDAD,http://perfil.mercadolibre.com.pe/CUBANO+SERIEDAD,7,años,1130,NA,NA,NA,453,6,80,367,"La Victoria, Lima.",NA,NA
CAAR676375,http://perfil.mercadolibre.com.pe/CAAR676375,8,meses,33,NA,NA,NA,33,1,0,32,"Miraflores, Lima.",NA,NA
ANALULOZANO,http://perfil.mercadolibre.com.pe/ANALULOZANO,5,años,478,NA,NA,NA,310,3,24,283,"Lima, Lima.",NA,NA
ALVAMAT,http://perfil.mercadolibre.com.pe/ALVAMAT,10,años,21,NA,NA,NA,17,0,0,17,"Lima, Lima.",NA,NA
JUANCABALLERO12,http://perfil.mercadolibre.com.pe/JUANCABALLERO12,NA,NA,NA,NA,NA,NA,533,24,65,444,"Lima, Lima.",NA,NA
CARLOSAVENDANO15,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,6,meses,56,NA,NA,NA,37,0,2,35,"Lima, Lima.",NA,NA
JESSICAJUOBONIFACIO,http://perfil.mercadolibre.com.pe/JESSICAJUOBONIFACIO,5,años,358,NA,NA,NA,211,3,17,191,"Lima, Lima.",NA,NA
Metabo Tienda oficial,http://perfil.mercadolibre.com.pe/GRUPOCAHEMATO?brandId=136,6,meses,55,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23,0,2,21,"Lima, Lima.",NA,NA
Bosch Tienda oficial,http://perfil.mercadolibre.com.pe/TIENDAS+OFICALESPERU?brandId=13,2,años,1188,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,528,15,53,460,"Lima, Lima.",NA,NA
SPORT FITNESS-PERU,http://perfil.mercadolibre.com.pe/SPORT+FITNESS-PERU,NA,NA,NA,NA,NA,NA,289,15,46,228,"Lima, Lima.",NA,NA
DALTHRON S.A.C.,http://perfil.mercadolibre.com.pe/DALTHRON+S.A.C.,3,años,627,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,419,7,35,377,"Lima, Lima.",NA,NA
ASILVA28,http://perfil.mercadolibre.com.pe/ASILVA28,NA,NA,NA,NA,NA,NA,282,5,80,197,"Lima, Lima.",NA,NA
FBB_2013,http://perfil.mercadolibre.com.pe/FBB_2013,11,años,15,NA,NA,NA,7,0,1,6,"Lima, Lima.",NA,NA
