search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,2199,2999,1077,279,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,103,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,73,23,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
2, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,274,25,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2199,NA,2459,66,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,189,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,141,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
4, Corta Pelo Y Barba Afeitadora Gama Electrica Inalambrica ,1389,NA,3964,2,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-electrica-inalambrica-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,667,84,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,41,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,29,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA
6, Afeitadora Recortador De Barba Phillips One Blade ,1199,NA,679,106,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,67,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,53,9,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,30 minutos,NA,NA,NA
7, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1392,NA,4,69,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIASAILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA
8, Maquina Afeitadora Rasuradora Vellos Facial Recargable Usb ,345,NA,65,934,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,2,https://perfil.mercadolibre.com.ar/01ENLINEA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=RnkVZ%2FweDTQnEBa9sqE8hkG%2B4TqRjJFsbBzpjpJ1Sh3wnpqlos%2F57H%2FoAWLOXiW1xQnAAhDD7r8w2%2B9iXcFhF59MImzLH4djfGiVa7aThA8B%2FJHCfcYGMBp8J%2BrO1FGjUZB%2FS2rFoCBC9kzV76Ua6%2Bei73QoTU%2Byhjnjm9mofP7vntH5o7Jp1OUG5ibsagxX1KXy9O7tWkOInveM2o8Xn0ofhRHhUGoHJnWN13fXyQ8mKV%2B8R1pdG22B4jxuWFa%2FuhA83PQzbff1sB2vMJKnDReZUCzYl%2FiiVNQZpjqjvWv4nCbDAl1y4RZdQ2DeT9%2B0jQ830GRaeh79BIHRFCs4%2ByzOt8wHyfQ5t7l%2FNK9Rs%2BauXqgW%2FClGNR2u65iamWzrZ2neLj%2BznkFz70sy2hUhT1%2F9hfg10zPp%2Fc%2F0T0hd4htbRAdZAkNu1pbHelovQGaV3yUsWax%2Bm%2F%2BXWCDkmy3xVRoUlx6jyLzJ%2F4dD67dCxVpv1MiXzhKpJtOypngn2QT%2BR%2B%2BCeYrAflmYwJhEjm4MVCUGC%2Byg69%2FvA0tpsmgF%2FdMIL5qMUsynIp0cOESkY7BOlUIUMTCuiQfiShYAdxJK%2BeejXUk0DASYTRg0dMEXVIYPYy45aCwPaECts86LE%2B0iPbugqOcf6bJ2oyb1ZDxffNr%2BtCBIHkNrdmgrUYGfmmKRYlox9Bscv01VC3UAJbQYD3yp%2FINsNM9Gw8%2BUEgqls5rrUXJ%2BrnMEXVPg14cOC4YXKiStlsDBq%2F9zXym2QpKAF829cQoyk9zSuMFJ3TwgtM76TsOWPuHj0%2FdstrCW11JgV3rgTdzsxVwWYJHH0%2FhQZkgwifPjVdrJCTnUdSonzMKCB9phyE%2BTIJlI3%2F20A9GDy%2BdnvRgpbbwhLsMxMWtifrEOngHa4I%2B372EWVLqRakjHd7BdOWShBbiFNMoTDpjr4NQW2B7jEinaO1lIqVOoBducol53lw7j9%2B8Fj8Ean77ioi%2Bdnl1TXHHygEQro%2Fex%2FgOUtvgS3dx8agbRqPNQ2YT9uBlp3DHuK9XFLsj4UCiddEqhX5nF0GuvodS83192xkxg3vb5kuyxGI4XCs4utbe26wcRDE0gKOmoBPXSzB2yTnLJdxKCJt2AoTlH1ZLxYU3F%2BOYNSpP1QLYTWqArZ1JSs5binbcRPSSma1PZB09ycfNTxeB9WhAcBnB38wRLyu4ixRD9VGPPylylUjkdf2gsgpOrbSSoQK0jt7UwP9PvJyl3OIS%2F9LmVvDEp1h3xUBwt3ilSVXopA7S39edbzJiqRsoulw07BoaAxw6oJemfKF9FHbDthXr6nzlp60x3FJ8zzAfn14OWpsD5h4CUFX8MxvHBUrm5QW5UB9m1h4YXOmKYGS1Uj9DSw82pZyRQoqx0EGCgqEyUqn9dWgparfmYEl2HIcfqv3OQKUFX3FePZbe%2Fidh57%2BQF%2Fs0Qvw0Znp66h3qCKSJ53vtmp8QeON4PGht%2FJnM%2BMNL4l5Rj5k42aO%2BcR38pxBOC7cYQ1rm8TBoNVtbgA9XJFdnczD0ZUeZ4p1QoFAXrcy1N2LV8fOJcq3YRljbbCPGrTRM87GlFyIABk7%2B9Pd2TKCaNSR5%2FQxOBnRy2af5L5lsZfGWYFc%2B%2BIp2cAqfQWPXtBlgUmSALHIcg1f8ztlYAc4GaekVoCukhPoZk%2B2Vgy7oez%2B3fBXyKlWnuYc9C1NiaX6K0J9aqXavuJbFpCAR6SGMwSO38b12tLL8fBzNZTfyfgm2I8GweWnPk8Bqmuh7Ls4%2Bo45RDhPRY%2FSI84Deudw%3D%3D,2,0,0,0,0,#783178998,Nanzhong,"NA",NZ-203,NA,NA,USB,Giratorios,NA
9, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,3999,NA,636,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,219,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,145,57,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 M,220v,NA,NA
10, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1946,54,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,296,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,218,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
