seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
PONTOCERTOELETRO,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,2,anos,71853,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,6229,129,115,5985,"Maringá, Paraná.",meses,4
CLASSIC VENDAS,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,3,anos,2697,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,244,4,2,238,"São Paulo, São Paulo.",meses,4
Megastore  Loja oficial,https://perfil.mercadolivre.com.br/LOJA+MEGASTORE?brandId=1868,10,anos,20780,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,2312,121,62,2129,"Mogi Mirim, São Paulo.",meses,4
JOK_ANDRADE,https://perfil.mercadolivre.com.br/JOK_ANDRADE,12,anos,228,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,38,0,0,38,"São Paulo, São Paulo.",anos,5
EDUELETRO OFICIAL,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,7,anos,8408,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1099,40,19,1040,"São Paulo, São Paulo.",meses,4
ARS NET,https://perfil.mercadolivre.com.br/ARS+NET,3,anos,4580,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,523,15,12,496,"São Paulo, São Paulo.",meses,4
We Market  Loja oficial,https://perfil.mercadolivre.com.br/WE+MARKET?brandId=1869,3,anos,6143,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,714,53,19,642,"São Paulo, São Paulo.",meses,4
WEB-MAPE,https://perfil.mercadolivre.com.br/WEB-MAPE,3,anos,267,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,27,3,1,23,"São Paulo, São Paulo.",meses,4
LILI OFICIAL,https://perfil.mercadolivre.com.br/LILI+OFICIAL,1,ano,6163,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,895,46,23,826,"São Paulo, São Paulo.",meses,4
HAIBRASIL,https://perfil.mercadolivre.com.br/HAIBRASIL,1,ano,4632,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,430,23,20,387,"São Paulo, São Paulo.",meses,4
