search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,124,NA,4021,973,12x,11.94,NA,Frete grátis,NA,NA,4.7,375,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,295,51,17,5,6,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Maquina De Barbear Kemei Km-1102 ,188,NA,22,110,12x,15.75,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1262451927-barbeador-eletrico-philips-multigroom-seco-e-molhado-s1070-_JM,NA,NA,NA,NA,NA,#1262451927,Philips,AquaTouch,qp2510,NA,Recarregável,Giratórios,NA,280 g
3, Barbeador Elétrico Maquina De Barbear Aparelho Barba Promo ,44,NA,800,28,6x,7.50,NA,Envio para todo o país,NA,NA,4,155,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,https://produto.mercadolivre.com.br/MLB-957075883-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,74,36,23,11,11,#957075883,Goncon,Shaver,RSCW-2088,NA,Recarregável,Giratórios,30 min,240 g
4, Barbeador Eletrico Maquina Philips 6 Em1 Multigroom Nacional ,164,NA,199,182,12x,13.74,NA,Frete grátis,NA,NA,4.4,332,https://perfil.mercadolivre.com.br/LOJA+MEGASTORE?brandId=1868,https://produto.mercadolivre.com.br/MLB-1197309895-barbeador-philips-secomolhado-aquatouch-s103004-bivolt-_JM,227,52,29,10,13,#1197309895,Philips,AquaTouch,S1030/04,NA,Recarregável,Flexíveis,45 minutos,225 g
5, Barbeador E Aparador Philips Mg1100/16 2em1 À Prova D'água ,29,NA,238,7,5x,6.00,NA,Envio para todo o país,NA,NA,4.7,14,https://perfil.mercadolivre.com.br/JOK_ANDRADE,https://produto.mercadolivre.com.br/MLB-1011376592-pente-reposico-philips-qc5115-qc5130-_JM,10,4,0,0,0,#1011376592,Philips,QC5105 QC5115 QC5120 QC5130 QC5125 QC5135,Compatível Família QC51,NA,Elétrica,Removíveis,Ilimitado,15 g
6, Barbeador Aparador Oneblade Philips 2 Qp2510/10 Original ,129,NA,519,203,12x,12.33,NA,Frete grátis,NA,NA,4.5,30,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,https://produto.mercadolivre.com.br/MLB-822191599-barbeador-e-aparador-philips-mg110016-2em1-prova-dagua-_JM,22,5,1,1,1,#822191599,Philips,Series 1000,Mg1100/16,MG1100/16,NA,NA,NA,128 g
7, Máquina De Barbear Aparador Barbeador Elétrico Barba Philips ,43,NA,623,71,6x,7.33,NA,Envio para todo o país,NA,NA,4.1,247,https://perfil.mercadolivre.com.br/ARS+NET,https://produto.mercadolivre.com.br/MLB-984457685-barbeador-eletrico-maquina-shaver-kemei-bivolt-recarregavel-_JM,132,57,28,11,19,#984457685,Kemei,Shaver,RSCW5500,NA,Recarregável,Removíveis,30 MINUTOS,124 g
8, Barbeador Aparador Oneblade Philips 2 Qp2510/10 Original ,148,NA,220,9,12x,12.41,NA,Frete grátis,NA,NA,4.4,1483,https://perfil.mercadolivre.com.br/WE+MARKET?brandId=1869,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=m6s9QItuVOITBGGDdInCY%2FcoGQwe0kXucBri0RUXVAD4S9NqQ9QO19akOFRzE%2FcNG0Ok3Og%2BqcMkM6WTI7qlncRBy6IeC0R%2BvaveqA8bpNF6qjFZuug7mbkE%2BLoCXEdDcAr0vP98wKwqqtzNhjDabRujH3TJ%2FipFR2lOP3WMKyuY19DvaLCijhDieqqYMSYrBUFh0IIVwfEYGAX334EQyge%2Fwf%2BOfTIr0iW5WXWLLTCXs2uLsrDA3NbPF0OllrnNfr535CSrAF6AhVOZdbJXzuCnJ7zbtujkwQDVOywxHQEF4Wwhu%2B3%2Ff03yDqFdhX480BNVyAoghXlM%2Br5HqwPaKwqVy4NXdj1LAV2Ett2s2EdC1DAM4hM5bNiyL4Yf7nbtGzCtGFNqpF5VP6jqW1ZZKRv8KE%2BN0GcsuDaeFZjxJpfOVVrIlB%2FWb500JVLMV6xzN8swAr%2FjLChJl1RS7oh2QcGM2mXHWwibo7BcI5KRz%2FKInQ9dqhArRKIJJDrUbBexpaI8suFIWJWIa5r3PMgRqgqnqYZWC2UkN07t9czgA9mYm5zRWaTNihxbxVUZue5E3GuEszzbD0h5sHhm5n1Aei%2FUV%2BK3ODlKgvifwi2vgYamvXlsTQF8%2B3V3uGqsSMdyXztcmQBaJNZeoCPHis4b%2BdgOmLzHBZe5idKc%2FjpxO4mN3%2Bi9F79zn59uQt0Mkt%2FpyNQgmiPj%2FZaHAJz3zdYMPgQHI29J8fInhntFS6KxmoXUliVGThakrLJ8nRRJM4u3qC8uiLVgCykPQrZJuRxFLYdXHLLdHo3Epm6PhZfNfsCMaRjkTy1OqJgtQpmlCtVerXtHXco0bws7f1v2cYxJNi6lkdE9bEMbA7VCgiRi5AkcTxh35LTmInvcUBaBuMRe78pIsUo%2BvWH4uePA2XOL4vQJngOmlCAnNtiJJigj04XXVVpaqicrufXU3rfRp7%2BFaSZJe4X9mwjTFGvhHlMWwymUZMzb4BfGMg%2BMoMAWmraOIealcr0ehORmrCW273abXGVfUduVpYcoriuKVfiiBSX0duFHxMxT%2BZEaIwOEi9PrOVZb6nECNd59q0VSUCqgzBkyb9%2FI%2ByIeCLBgG%2FT8f0u0VT7KNgkas1dtI7XqMmDMQFadKDHV%2B1lEm8YTUOhM1tQLwsrsO80Y9DPQGtUkQFC3s99bpVd4PWF862UygAWDyr6Eu9GbicmPsiDXL2K4EA0VnSRkuMJZuCIjBpVUNtkVrVNRTUf17Qs4wVo%2BjPFSsx9PgtGOEjW3Sl3zzJMi%2Fz%2FR%2FzZbwju1aaQ4J70Sceap%2F5%2B0Yqd2eYFprvgGG2jXf7mgJW4GbCILG4k9h0Ji1yoToosJ%2BzJEV%2FTieQOiitFSrsYt3m5nVEiZjfuGGGX4ewtwBPHdQpDPj0AkEJgAb8pJnxxISbZZgYDJ8Bj4InTpikLANcL1tK0cB3GQiqpAq8fUo31sa%2BI3AQ2Rqvik504DyeW12bDyAq9lWa0nDZmwmyBLVTDBEajUm2W8EWm0vF%2BzEH0r%2BA88By%2BiSwra9qfhcZv7Zm0VUNvdJt%2FEUTOdSFJBgINAGD9yf73Lvj0XRebivY3ZsTmSVQ0OsPUwmAtzFXddRve%2Bnm3eHVTeGcahcHOtiHTyJPZmYyPCmJBxxkJ%2BI9jkYHQEk4mYqqDAUWbWdl8rCWYfcQAHyzI%2BKnBlr6jzR4FLPaElAKE5KESuaAXoaRzxV5qblOiXe7Z19nO0%2F76qcIfcA0Q%3D,1018,260,99,39,66,#1193894109,Philips,OneBlade,QP2510/10,NA,Elétrica,Flexíveis,30 Minutos,NA
9, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,127,NA,173,327,12x,12.22,NA,Frete grátis,NA,NA,4.6,5,https://perfil.mercadolivre.com.br/WEB-MAPE,https://produto.mercadolivre.com.br/MLB-1133052102-aparador-barbeador-eletrico-philips-6-em-1-mg3711-frete-_JM,4,0,1,0,0,#1133052102,Philips,Multigroom,MG3711/15,NA,Recarregável,Removíveis,60 min,NA
10, Aparador Barbeador Elétrico Nova Nhc Bivolt Barba Perna ,138,NA,35,45,12x,11.57,NA,Frete grátis,NA,NA,4.7,159,https://perfil.mercadolivre.com.br/LILI+OFICIAL,https://produto.mercadolivre.com.br/MLB-1092740592-barbeador-aparador-gillette-gilete-fusion-proglider-3x1-_JM,121,30,5,1,2,#1092740592,Gillette,Fusion ProGlide,Styler 3 em 1,NA,NA,NA,aprox 2 horas,NA
