value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío a todo el país,,
3,días,días,Llega mañana,,
4,,,Llega hoy,,
5,,,Envío gratis a todo el país,,
6,,,Retiro gratis en local de Frávega,,
7,,,Retiro gratis en local de Megatone,,
8,,,Retiro gratis en local de Garbarino,,
9,,,Llega gratis hoy,,
10,,,Retiro gratis en local de Ribeiro,,
11,,,Retiro gratis en local del vendedor,,
12,,,Envío gratis,,
13,,,Entrega a acordar con el vendedor,,
14,,,Chegará amanhã,,
15,,,Envío,,
16,,,Retiro gratis en tienda de Geant,,
