search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales
1, Cortabarba Multigroom Philips Mg7715/15 ,2199,2999,1154,202,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,108,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,77,24,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA
2, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,308,3,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2499,NA,2483,42,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,192,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,144,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos
4, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1632,NA,13,60,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,1999,NA,672,79,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,43,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,31,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos
6, Cortabarba Multigroom Philips Mg5730/15 ,2499,NA,1948,52,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos
7, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3059,NA,64,42,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,33,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,22,8,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,345,NA,69,930,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/01ENLINEA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MNlsa4%2BQh94gXOlSsSGiILoimmbVQQ6l6l8pWO8f7pASfUJ%2FhgSKIoETVKPj6LqCkmlwP55nQeh0Nrlmd9PU%2FtZWjxb3hjHpcJyhPX%2F51di7KXnHAYU%2BRVTMYjl3HVs9DITK3zedl601PpvDwlhumnUNtqXixlO0xebtoH1Rd92raB9p4iAlyyDsWFkUFEmWKXV7%2F%2BnP7sN9xJ4RhYQSkCYR9shuWQDYbbYcuyXAKERNURnwiLVfELaKTK2X0rODpyaeHM4RrROsAOSlzw2e5z5JGnhNPGvfCdyc2w8t%2F78sVkgjflDzd85Jo%2Bg%2FjYa4uJk6h59Ym8d1wSl3utxW2uVBN9RP%2BzGUQ7Oq94AWecCYS4JDlmbKyX0MVKgyUQYKQrG%2Fe1o9iBhVEwsg84tpJ9FDUh78eBqoUlutdwwR1fyjIrmb7mCyjOVmIgpFqHU6o%2BNWL%2Fg7KJlzp3weeg0ig49FHLv5A2pWegGzHf%2BY8wFmo9dQXjgDoasXQCwInccR0MINLZIqceJj0tGt1G8zVs3zXtKXqhI4V%2BOXDUav0DLKCWAF7yaUH0wX5xNj2m%2BZ8LPIyRYViPfcK1SSgJZ2Ggyfw9BqPlH3m7rayIXzsdPsdbQpPLhKkupwmD4RPpJ9h8NU%2BQa2mpaZEmaaQkrZluW6FLhYjTus%2ByugO%2F2GU%2FHef3UmIVk%2BHrB6wX708Nvv%2FZxY2X8dBLySFDWa%2BKcnpBlVd%2FMN3CFpUNY4q8EZkPaBxRgqCpaELXYiMjgxlaZEPwHXsxdZQp0zRjuMvtUma%2FwGxD1wQAEO47IgI1Hrr5ViqJm4PrIWPXjFKiVm6R9pNA3aj3ILMqyLgKI73taBZufDe3KK4QH1WdQGcRfMv%2B2cocR2PvHWAxrc%2BMqhdU2cyGImEzjiRLf9uTm7CaVJgZY0exn573VMNh8IrwhUq8IA8KAbYFApBLjIkNBysaf8MujNFu5Zo7z4LT5Qq5dycvJa5Ww0GCP4fXXBsYIU0eEhhlYSZGz3lRsEjgMKjFtbKtLWQY5gOGWMZMHQ5zd%2BLY%2F3IXBujPXqUYWVu7RGi4HOUUCQgH6Om%2FME8v2Hg8A7aR14NmpZMOJTmraS69SPNopC8r9qCHcmptx%2BX8h5sHPaI49mh3GRxnadyifTgjVUxD6sbrUzXwaTDQ86xQ8oxkLEaLh18sRAXS0YUdtSf1eE%2Fa7iHmhJjNGTYh7akSVySswk7itf54sHDdrzUhvgxQiDP0Knniet8vfDl0ZUESb9fa%2BBBnvCQnY71qXwHcpwav5xj7oCIkxVzMRxupa5wxMuYdE%2FIy%2BkvOFw9nJH9NeifbRW2mEgdrS3Iy4uKZI73M74%2FxyoSPXSZKIpnWTREKf3lBRFjMhKsMfMKmwkNHHsYkFzYkEcz2to6D9d1ed73gFrWSRf267EYicl8YGDLmv5LueYuvhZWWnFBKPaVSypuREmPMgQwyEs6osd0quEz2HFo0HPiBK2zLD%2F4mFnT33A2y4ZnxqxN8y9qYyE5cw7mGSoXdCAVCsaX984VrqoXSEGgiMbLGBsy6YAaQbWw1EwRY%2F1sReU3X1%2BZkN2MFwWZiHz2ULrfVWMGaFYmZm8Ui5dz81JoOqu%2BrFmt3ROCkyhXhopyHMrJmRsg0vhdmmA3B4iPtyqQkvXHfX2DaF8sdGJxJ044%2BRklEpmuL7KiKkCUTliQPxjUTrntJ6l5733Rk0BWzFEAplN21VGeQsQO4gQdrYD6Az2GUAK6K57xWL0MGGl0Y7TEnsYi4j0NzMF1nM9WG2GZxQ%3D,3,0,0,0,0,#783178998,Nanzhong,"NA",NZ-203,NA,NA,USB,Giratorios
9, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,1790,2740,452,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,39,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,26,12,1,0,0,#741917410,Teknik Pro,Barber,Fading & Shaving,NA,40 minutos,Batería,NA
10, Afeitadora Philips Aquatouch S1030/04 ,1799,NA,884,34,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,553,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,371,122,37,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 M,220v,Flexibles
