search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,124,NA,"
			
				Novo
			
			
				
					 - 
				
				4242
				vendidos
			
		",(752 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1194
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,NA,NA,4.7,384,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,303,51,19,5,6,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Barbeador Elétrico Philips Aquatouch At756/16 ,269,309,"
			
			
				
				1
				vendido
			
		",(133 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,NA,NA,4.7,384,https://perfil.mercadolivre.com.br/LOJAS+BENOIT?brandId=1539,https://produto.mercadolivre.com.br/MLB-1164220706-barbeador-eletrico-philips-aquatouch-at75616-_JM,303,51,19,5,6,#1164220706,Philips,AquaTouch,AT756/16,NA,Recarregável,NA,NA,0.29 kg
3, Barbeador Elétrico Maquina De Barbear Aparelho Barba Promo ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				1389
				vendidos
			
		",(9611 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,1495,https://perfil.mercadolivre.com.br/FGK+VENDAS,https://produto.mercadolivre.com.br/MLB-1120282284-barbeador-eletrico-maquina-de-barbear-aparelho-barba-promo-_JM,1025,263,101,39,67,#1120282284,Philips,3 cabeças,QP2510/10,QP2510/10,Recarregável,Removíveis,NA,NA
4, Barbeador Elétrico Philips Seco Molhado Aquatouch S1030/04 ,157,NA,"
			
				Novo
			
			
				
					 - 
				
				272
				vendidos
			
		",(30 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1501
		
		 sem juros
		
	

	
		",01,NA,Frete grátis,NA,NA,4.4,336,https://perfil.mercadolivre.com.br/ELETROPRINTER,https://produto.mercadolivre.com.br/MLB-1229388641-barbeador-eletrico-philips-seco-molhado-aquatouch-s103004-_JM,230,54,29,10,13,#1229388641,Philips,AquaTouch,S1030/04,NA,Recarregável,Flexíveis,NA,225 g
5, Barbeador Eletrico Maquina Philips 6 Em1 Multigroom Nacional ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				1614
				vendidos
			
		",(144 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.7,79,https://perfil.mercadolivre.com.br/SWA+MOBILE,https://produto.mercadolivre.com.br/MLB-1045425793-barbeador-eletrico-maquina-philips-6-em1-multigroom-nacional-_JM,64,9,5,0,1,#1045425793,Philips,Multigroom,MG3711,NA,Recarregável,Removíveis,60min,NA
6, Máquina De Barbear Aparador Barbeador Elétrico Barba Philips ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				1459
				vendidos
			
		",(239 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1521
		
		 sem juros
		
	

	
		",21,NA,Frete grátis,NA,NA,4.6,81,https://perfil.mercadolivre.com.br/REDE_BH_ELETRO,https://produto.mercadolivre.com.br/MLB-695062089-maquina-de-barbear-aparador-barbeador-eletrico-barba-philips-_JM,59,12,8,1,1,#695062089,Philips,NA,S1030/04,NA,Recarregável,Giratórios,45 min,0.29 kg
7, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				809
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,4.0,157,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,https://produto.mercadolivre.com.br/MLB-957075883-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,74,37,23,11,11,#957075883,Goncon,Shaver,RSCW-2088,NA,Recarregável,Giratórios,30 min,240 g
8, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,139,NA,"
			
			
				
				148
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,NA,NA,4.3,3,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6W6y0%2BkRSGrTO7UOllhPCa40Orhu%2BRA3Z62jj%2FJbYUTIkyjqGl%2BE9DjratztZj%2FBicTeueDEvPtVlq26EY%2BW0X7Ccn263wiETMkBNvUFkhu68SPktFjBQftF1T1WZXRqJjFg8gwfeP3teH4yR5fmEY3bjInXFimAqk3p2mGjtTv5YEaf6KFWKnhG5%2FISM7tVEIRWi37%2BzTcXoeCfj4QX0Q6C%2B1hVFL09e7cOSb8b4b81tili4jOb%2FOe9LktMVgeTZT8AQvAdGqdlYfWHf8I7nIi07eYxIkhaVKMz8893dWmW52LMhTonsCu3NP6lQVfa92KcR9cFDirMdPKfqm5ER3NNNNni%2BlW7YRjw5MK7As%2F7aEkFljdRFfjafOuBbBIB7RGNoHXFqQPxe3JQO0f3zYUrVKPv2dXvLQar5sARoG1x8%2BYQ%2BjZ4rpeyFTD%2FTtEzMUfdtJk%2Bt1GFuit%2BSkjeDtDLTwzdRyG%2FwzWrridACKDrSPb8SUMMIb1oNSAGH2HgGiKawYETD2krdv803sFbF5TGsiNq2ChDOg%2B2y1%2BY0lJVCe1h5PV9HdIUSScRJKP%2FV%2FhsmVtxuUVMJthQgXu0VPZa3fTYmB019vWy6S4xhGrL6VXFFZ%2BkoAOu30KQd6HjDLSbY%2FDSMFfX52MHODvL1gXwbs%2FNOXKdRgGYjCGL7DDGniFAz1g1ZcBndzbeieABAfZoFhL09dCQj1SfcYcuwwh0GdPipXh6FLPfFLYQQjH9BEYXe4WOA1Gvv3D57xUCuXhbdycT%2BGkNEQ%2FJIPUCp6a5WcyRLXorsM5OWC9CbRs5rQukrLJfIDkkW7TUqKJzSV6xI7gXTcHjqRXUJwh9oq4R6XjNU0eUZiqobY%2BA1m9REKF5NudYyeI8e7%2FB1HV4zrwPpBT9V9MmFyG%2BWIbt4hPZj1IFBrvbcZzlvcBRQFnCg70s3PPKvrYbfoOKGMhA76ucRS3hK3syXYuAwsaRPEilDT6cQ8pnmTxn2G5icyBFC5%2BdlaMLlRTdXQl3ZPFb5ZaOUljIUusIK%2FgB%2BDYwPFnVNM4%2F26RM4cV6QhklCgnTYHleIhHaBEAh5KsUX0Tlir2Gw3kNuO6h3p7D888XcSWeOImd3xkbXZ4rFcgmDu9%2FM4KaKOuiFPwmfJMnIK3YM2b7Z7MJaSpyi3t3a5xk4wBKifhVsPK4mz6VGlCCRgnVQQm0l76dcN6RfzmJlM4I6mzzMbuNleM1%2BYpypUvRSMGsy6lY5MbD7c33JU8ZV4lb1E2nCU70l736ruo6QOaJCKoYwYjkth19KHCtNRL0oO8ya8UyC0AWT7tl7VDFYxspWZrhBRhHScwC3AlO7p8SbF4hogoN%2BEEQI567%2BfDZ3FZibGHWi45zWt2s4NjQLMfh%2FdStviZDtH2vm%2B38V8r9GmDelLg0WKSAOHDdMvtltFvjkJ2LB4gApvhEvK879tSEbjCF3FKCa0YHh6cBPLuJOQiroan75a6FftKNw%2BrhHRzEiKuhbQMAU0WQzBlIZHT0%2FkQcXybs8uCoiTTAelwrnQobhWLJAfNjJknmSoJt3Co4EfQENdUN9nLBaQM%2FkyMB0YJFx32XYLg%2B7qLMcwwjSYoosldMy1DUQBoKZXAhJpaQsHBRT2tojywPzH2ogwSv5HIc38XsAPqWfPHIslZ4QA1CqLlUgZFF%2FY09XIhNtCKk7lke3QBXNX0BpmxcWJJuAPIfTnZRnmvIwuqOdTAL%2Fd0%3D,2,0,1,0,0,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
9, Aparador Barba Barbeador Acabamento Tipo Panasonic Ri01 ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				1761
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 592
		
		 sem juros
		
	

	
		",92,NA,Envio para todo o país,NA,NA,4.2,136,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-703435877-aparador-barba-barbeador-acabamento-tipo-panasonic-ri01-_JM,80,26,19,3,8,#703435877,Importado,Ri01,RI-01,NA,Recarregável,1,Eletrico,NA
10, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,139,NA,"
			
			
				
				148
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,NA,NA,4.3,3,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://produto.mercadolivre.com.br/MLB-1223500996-barbeador-eletrico-a-prova-dagua-relax-multi-groom-_JM,2,0,1,0,0,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
