search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
1, Cortabarba Y Cortacabello Philips Mg3730/15 Kit 8 En 1 ,44,55,504,34,18 cuotas,87.51,NA,Envío a todo el país,NA,NA,4.9,17,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-460600506-cortabarba-y-cortacabello-philips-mg373015-kit-8-en-1-_JM,16,1,0,0,0,#460600506,Philips
2, Afeitadora Corporal Masculina Philips Apta Ducha Bg3005/15 ,50,59,129,20,18 cuotas,99.44,NA,Envío a todo el país,NA,NA,4.6,10,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-458232589-afeitadora-corporal-masculina-philips-apta-ducha-bg300515-_JM,7,2,1,0,0,#458232589,NA
3, Afeitadora De Hombre Recargable Barba Bigote Mvdsport ,455,499,107,46,18 cuotas,25.28,NA,Envío a todo el país,NA,NA,4,10,http://perfil.mercadolibre.com.uy/MVDSPORT,https://articulo.mercadolibre.com.uy/MLU-445033896-afeitadora-de-hombre-recargable-barba-bigote-mvdsport-_JM,5,3,0,1,1,#445033896,NA
4, Afeitadora Electrica Philips S5070/04 Ideal Piel Sensible ,118,139,89,13,18 cuotas,234.69,NA,Envío a todo el país,NA,NA,4.9,16,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-449012315-afeitadora-electrica-philips-s507004-ideal-piel-sensible-_JM,15,1,0,0,0,#449012315,Philips
5, Afeitadora Eléctrica Resistente Al Agua Punktal Pk-ms733 Oy ,38,NA,134,24,18 cuotas,77.55,NA,Envío a todo el país,NA,NA,4.6,26,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://articulo.mercadolibre.com.uy/MLU-448668993-afeitadora-electrica-resistente-al-agua-punktal-pk-ms733-oy-_JM,17,7,2,0,0,#448668993,NA
6, Afeitadora Electrica Philips Recargabable 5070 Patilla Dimm ,119,NA,55,96,18 cuotas,236.68,NA,Envío a todo el país,NA,NA,4.9,11,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448370701-afeitadora-electrica-philips-recargabable-5070-patilla-dimm-_JM,10,1,0,0,0,#448370701,NA
7, Máquina De Afeitar Sitaier Doble Cuchilla Super Oferta ,550,NA,26,174,18 cuotas,30.56,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-459620009-maquina-de-afeitar-sitaier-doble-cuchilla-super-oferta-_JM,1,0,0,0,0,#459620009,Sitaier
8, Afeitadora Recargable Philips Uso En Seco Y Humedo S1030 ,55,65,105,29,18 cuotas,109.39,NA,Envío a todo el país,NA,NA,4.8,14,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444960118-afeitadora-recargable-philips-uso-en-seco-y-humedo-s1030-_JM,11,3,0,0,0,#444960118,NA
9, Afeitadora Philips Mg5730 11 En 1 Rostro Cabello Cuerpo Loi ,62,79,33,2964,18 cuotas,125.28,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461181873-afeitadora-philips-mg5730-11-en-1-rostro-cabello-cuerpo-loi-_JM,1,0,0,0,0,#461181873,NA
10, Rasuradora Afeitadora Electrica Corporal Y Corta Pelo Barba ,349,NA,23,65,18 cuotas,19.39,NA,Envío a todo el país,NA,NA,4,2,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259418-rasuradora-afeitadora-electrica-corporal-y-corta-pelo-barba-_JM,0,2,0,0,0,#458259418,Nova
