search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Afeitadora Eléctrica Philips Aquatouch S5050/04 Uso Humedo ,51.99,NA,183,14,6,8.665,NA,Envío gratis a todo el país,NA,NA,4.6,12,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626159-afeitadora-electrica-philips-aquatouch-s505004-uso-humedo-_JM,7,5,0,0,0,#437626159,NA,NA
2, Afeitadora Eléctrica Philips Pt860/14 Uso En Seco C/s Cable ,41.99,NA,89,18,6,6.998,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437624808-afeitadora-electrica-philips-pt86014-uso-en-seco-cs-cable-_JM,4,0,0,0,0,#437624808,NA,NA
3, Afeitadora Eléctrica Philips S1070/04 Humedo Seco Recargable ,31.99,NA,109,2,6,5.332,NA,Envío gratis a todo el país,NA,NA,4.8,5,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-461031377-afeitadora-electrica-philips-s107004-humedo-seco-recargable-_JM,4,1,0,0,0,#461031377,Philips,S1070/04
4, Afeitadora Eléctrica Philips Shaver 9000 S9161/42 Uso Humedo ,129.99,179.990,9,9,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437627489-afeitadora-electrica-philips-shaver-9000-s916142-uso-humedo-_JM,1,0,0,0,0,#437627489,NA,NA
5, Maquina De Afeitar Electrica Depiladora Corta Vello ,7.99,NA,24,99993,12,666,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-479673735-maquina-de-afeitar-electrica-depiladora-corta-vello-_JM,1,0,0,0,0,#479673735,NA,NA
6, Afeitadora Eléctrica Philips Shaver 7000 S7310/12 Uso Humedo ,112.99,NA,38,4,6,18.832,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626987-afeitadora-electrica-philips-shaver-7000-s731012-uso-humedo-_JM,3,0,0,0,0,#437626987,NA,NA
7, Afeitadora Eléctrica Philips S1030/04 Humedo Seco Recargable ,26.99,NA,25,11,6,4.498,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-484825685-afeitadora-electrica-philips-s103004-humedo-seco-recargable-_JM,3,0,0,0,0,#484825685,Philips,S1030/04
8, Maquina De Afeitar Eléctrica Recargable Puntostore G311 ,8.6,NA,18,2,6,1.433,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/PUNTOSTORECHILE,https://articulo.mercadolibre.cl/MLC-483669577-maquina-de-afeitar-electrica-recargable-puntostore-g311-_JM,0,1,0,0,0,#483669577,NA,NA
9, Maquina De Afeitar Portátil Recargable Eléctrica ,14.99,NA,27,8,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COSMETICAVAL,https://articulo.mercadolibre.cl/MLC-466729445-maquina-de-afeitar-portatil-recargable-electrica-_JM,NA,NA,NA,NA,NA,#466729445,NA,NA
10, Maquina De Afeitar Eléctrica ,12.99,NA,47,153,6,2.165,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MISNOVEDADES2,https://articulo.mercadolibre.cl/MLC-475494849-maquina-de-afeitar-electrica-_JM,NA,NA,NA,NA,NA,#475494849,NA,NA
11, Afeitadora Philips Eléctrica Shaver 3000 Hq6904 ,25.99,NA,15,2,12,2.166,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/AROMATIZANTES+CHILE,https://articulo.mercadolibre.cl/MLC-472989478-afeitadora-philips-electrica-shaver-3000-hq6904-_JM,2,0,0,0,0,#472989478,NA,NA
12, Afeitadora Eléctrica Nikai Trimmer Cortadora De Pelo / Soul ,8.59,NA,11,99988,6,1.432,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECHNO+SOULESS,https://articulo.mercadolibre.cl/MLC-462723995-afeitadora-electrica-nikai-trimmer-cortadora-de-pelo-soul-_JM,NA,NA,NA,NA,NA,#462723995,NA,NA
13, Pack 2 Máquina De Afeitar Eléctrica Envio Gratis ,26.99,NA,20,180,6,4.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MISNOVEDADES2,https://articulo.mercadolibre.cl/MLC-474246398-pack-2-maquina-de-afeitar-electrica-envio-gratis-_JM,NA,NA,NA,NA,NA,#474246398,NA,NA
14, Maquina De Afeitar Electrica Depiladora Corta Vello ,7.99,NA,24,99993,12,666,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=7DxQE2qVRe7IdfytD7LCeywKmabwXvIUUyIFe95bf6fUKRzvxHrti0WiSaIVr4Gutuo5khytnMQWfNaTjS%2B5w7u%2F2IKLn7rqFYEoJvjCjIOeKRr7r9wJAi37uq4U5X9eF%2FC4XTzSZD9EAIWGhlawMFSg4ekysnKlABB%2B2Y3HZ3ka3zUGxywq3mutcmPy9OSUTSsMyoGqhbgAHohxH4L5JCNzCzfQRe0r2BYi79m3Jt%2FP8x9k0q2YXUztldqOfrc%2FOLUw9j%2BmZFcevy9Di7oXkko35v%2BB9n4Bq9s7rA44OsNq4HtIKd6Li1VlMTKlWPcjHgPHX9SxlALxRxSJFublucvBWyJj3myX98620SA2lH%2FUl%2FxirNpLZa5sYwL%2B6OrJP5hrvBuCaIeXJI8CA%2B2pr1BD3r3p81EI4f8kWOgfMW2NU3BdtGxYZLZdFPHcpqjM8cZWyZFmPHlmW375tkbX2OGi5oc1jlY4uHRuWLnJLRKUCrH0Qmku%2FGhKJBJykqyCpI7f%2F2dq5nVYS7W48%2F4gre8B2tEcGL7EeKeW1TLlrefmRTOL1ot%2FM6f9uPRj%2FY8xxOInXBHViSpbC9x8CuDeudrFQMqQYUwuCRiNxFGDL45CKHeYu5eKWHpxmTMkiLTS64YoHR%2FOt0d6DRyFe%2BusSxACrqXlWsm25iS6P%2BPyHFaDVvnqSyiFxeTVYXIcjN9xsTLuOTRnOB%2FuaMhy9Ef1QA9%2FBFsl8ZG0S6DM9vYWp1AwdXS3zJlubzDU6Pb3BI3TstJldkzpNk0EJFlFZQlMd%2FkWPfoB8U%2BPuedOSi%2B9ngv1OORpeIiIurFz0PZZOW6TTnAntZ7S%2B6DpPNo4ZXPUJnQK1S0wXiUTFYz2r98jsl8PwpF41%2FV9R%2B7Aw95%2BnjM5xGjIBRjwCSc%2FWw5QsEMTeZkv5d3%2F3%2FgRquDZb4cwcoS2raPTHCztpX4GPN%2F61%2BAIdDLZT9rTRJZXuPrd2JmgusYCqZ5C436H3Co3l%2BFZHxd7sRXB1VgQ1%2FkHendXeX%2FuJquh3MxtTJrCLfOkndqcA0wJmyIixHJIXDHDJCq8tisTtZoREsJppzh3An0kDy1%2BxfDE6mUncKUnjhDeIALI8WhU%2F77iGOZRBu18kV1xqI2HLzN9RTCLfdpwwIU%2FCKTDf0cJlS6TALAlce3QwYXCGSXmYy925kNSN3T1GR9ok06D%2BNYUOVoSaDzDTkHaSJGuCPYwq8rR%2FNF3LgFSBQP1iZ2SZcA52uAwYDJgy5Ci%2FHkIKhoLrnYTxCqrJ9ifFa6JV3IS%2B5srjv3Xe1bfkaxZCI%2FYuNwHWrUwiyDwUnJNPeUV%2BADy2bOJP%2FwYWEBW0jdFCg2lrdUnOfs%2BvSfxtKVfWpM%2B5ZhMm9gLVOAMjPTUlCULSXHTMp3hsVPA38GMtIzubtpojgqm1ZIvfRb6v49IDrEtklrsvOS8RK9GifWF3JawzhhcT%2FUm3pQjsN%2B4IQmV%2BiOyw%2FaldKV7%2BG4snL0hk6uRwpOm1OObS9DqIPIFaGsQdZunraEgwBfZXf11rfouKtiuVbLspyR2yw7qFwd0gDDROJpvNnIAz0sROx73Wtod%2BAv5DPAwddCyE4fYZeZhOty%2Fuhc6MmXhN0i9OZ4XFfb0dhktrOT%2FL7glo%2FBL4sjuYIG989LnDTp19v5PeQcWEnXwLvEfp18%3D,1,0,0,0,0,#479673735,NA,NA
15, Afeitadora Eléctrica Philips Aquatouch S5070/04 Uso Humedo ,54.99,NA,21,12,6,9.165,NA,Envío gratis a todo el país,NA,NA,3,1,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-437626489-afeitadora-electrica-philips-aquatouch-s507004-uso-humedo-_JM,0,0,1,0,0,#437626489,NA,NA
16, Pack 2 Afeitadora Eléctrica En Seco Mj-516 / Disparocl ,5.18,NA,2,98,12,432,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DISPAROTIENDACL,https://articulo.mercadolibre.cl/MLC-482943572-pack-2-afeitadora-electrica-en-seco-mj-516-disparocl-_JM,NA,NA,NA,NA,NA,#482943572,NA,NA
17, Afeitadora Philips Eléctrica Shaver 3000 Hq6904 ,24.99,NA,4,NA,6,4.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ESHOP+CHILE,https://articulo.mercadolibre.cl/MLC-479766236-afeitadora-philips-electrica-shaver-3000-hq6904-_JM,NA,NA,NA,NA,NA,#479766236,NA,NA
18, Afeitadora Philips Eléctrica Shaver 3000 Hq6904 ,25.99,NA,15,2,12,2.166,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/AROMATIZANTES+CHILE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=BuH6QOa5Jba64oTFUikmHQ%2BF7v4ESMXEMk9BrLUg8XLkSBm1QFxEo24clFfiz62Cr6itQW7b1CU0fZ0%2F%2B%2B0C1dn8LtBz38QbiMt%2FiBB9HXx5kOCLID%2FAVRcNpO95Y1fVkk5fX29%2FZSqFSApbIRKmaXJenI8BjYoYhfOmN7Q8BZlGjEfysq%2B9XtiTvRf9HmDSoblit%2BEwTeNX%2F6FWUHN%2F3aQsJL5B3DlwQHC9V6Iy2SEQca%2F4%2BPBjhV1m6NG2RhAJNVpDIvUmVJgKFxix9hHxZjQP13hQakji515bFEmyUFRdsMHBMXKwXHsEIl15f%2BQdsg0dq0L5%2FHWF4QPG5Gjpl4wWcpNcyTCei0DLHLYIcKqhIubXZfA00e5No3o1q0Nx%2BpLjAlMy1c73FSMTepY14NxwG7Kpx6dG0lCwuqocDzba%2FEz7ElcM4Fhi01AkaaVL%2F28AzpEdGPZMOYpmz9g%2BypXpso5XNSEj8jEVqLJPrIkWd4kZhj9B1%2BdOn6Tw417RRrLpgQNLGAo8tjalUpI6qCeHvwQ7emGWq9gp8BGyWQRF8lhES2mcSDu6IzLjy5F7qxx1ykyndFb8ndoRc7RERpFvgVfus47nkweY%2FxWMPGEIi5%2BY1EBCDtQx3NTg8GrV9PDF927CqJ3DBUke2M8AEXGUawLlFLl8VigvgIOjBVYJoUrRsE4Mla3aj57%2BHxBOanas%2BpjOoBWqPPnqsXgO%2BdOqxEiVh32qyryGbUsKB%2Ft%2BRSRgELcsnqTo%2Bfl0ifrP8gExsn7bROjpv03CCCd18BeF5CGL%2F1zPzsgJW1L1unj5cB%2FH6swx8NqqRimAqASqElygW%2Fw%2BcfioDp3g2nM08JGFlnsikPr2o18fHDQhPgq9mmaaLKA6g58%2FqxB%2F6GecUHNLoys1mqj7SROyUo%2FE0vE70%2FpiIOE3JbTmESbX5DJvqVRqS5sKbYOvNsgepIkMgbrjiotDY7uws9HDYstx8%2FYfBKBQBCfsZFeB2ur7ZvSTJNJvi%2B3YxvJVbmpcplUa09%2B5ZXZ6EwNyX1dHs8lAbe%2F4a%2F062AxvBFZWJMCCOi1C3L%2Bmig5K0NsZXoz4V8v42eWpkzpZ9%2FlX5JhqsdS2IJtYVfe7bC%2FcZLgrVnm9gljNNaOp%2B11xoNVSaRrb1av76t2VOvOqT9MNNmfdMDIt7V5zMwHTrA1DSg1lp8mvw6dlCiWvztg%2FL458Pwc0icmEN5ziUm3kjC0Va1DOK5Tt9%2B1ZdcY71UMqR0bBsGfK5WSPYNE0mmGpBXbn0GmzUgrMe%2B7WYAYemO90mVkygZymsqyzxWv1DicmpAHAF%2BKJVHayr6Ipt5b9uiIfbf3BWsXIb%2BaY13lqzi68dXQbavYil1NoZZhQmOSLKjSu8S07jQNi3Oysmfgxflhs0g06KNxvt8ss3im6u7Rsny%2FZ3cNEsTXNSzsnnyZ5wYBl4hZrx4WzQdwKVZH7sczIiOVhO6KJXzcZjESFi%2FzSVyvz%2FHr7GxnRDSeocQqhjmY0y0cfk%2FaOHSW3Ufv0BC9TikbTHHwkdEHztwuBOHl1Uh26yQLkqnAD7oSpgIBgm4sCCD4RfTbAs8EHUDbpA1vzaKpdB2H3n0FBv7P%2FV%2BkEqLdnBnZOYKo%2Fm9sDJL14xqT78A7h9oOmJjXY2%2FoUi%2FdWhtw6dDbg2ovOiQ%3D%3D,2,0,0,0,0,#472989478,NA,NA
19, Afeitadora Portatil Electrica Auto Cargador Usb 12v 24v ,8.99,NA,2,998,6,1.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPORTADORATECNOPRO,https://articulo.mercadolibre.cl/MLC-466269905-afeitadora-portatil-electrica-auto-cargador-usb-12v-24v-_JM,NA,NA,NA,NA,NA,#466269905,NA,NA
20, Afeitadora Rasuradora Electrica Portatil ,7.8,NA,15,22,12,650,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DACA+CL,https://articulo.mercadolibre.cl/MLC-458448769-afeitadora-rasuradora-electrica-portatil-_JM,NA,NA,NA,NA,NA,#458448769,NA,NA
21, Afeitadora Eléctrica En Seco Philips Shaver Pt860/14 Outlet ,31.99,NA,83,6,6,5.332,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/PROVIDENCIA+HOGAR,https://articulo.mercadolibre.cl/MLC-469714575-afeitadora-electrica-en-seco-philips-shaver-pt86014-outlet-_JM,5,0,0,0,0,#469714575,NA,NA
22, Maquina Afeitadora Rasuradora Eléctrica / Disparocl ,8.99,NA,1,99,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DISPAROTIENDACL,https://articulo.mercadolibre.cl/MLC-488005105-maquina-afeitadora-rasuradora-electrica-disparocl-_JM,NA,NA,NA,NA,NA,#488005105,NA,NA
23, Pack 2 Afeitadora Eléctrica Nikai Trimmer Cortadora De Pelo ,16.99,NA,0,10000,6,2.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECHNO+SOULESS,https://articulo.mercadolibre.cl/MLC-462724112-pack-2-afeitadora-electrica-nikai-trimmer-cortadora-de-pelo-_JM,NA,NA,NA,NA,NA,#462724112,NA,NA
24, 2 En 1 Depiladora Yes Eléctrica Removedor De Vello ,5.99,NA,5,NA,12,499,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HERIBVASQUEZ,https://articulo.mercadolibre.cl/MLC-488263042-2-en-1-depiladora-yes-electrica-removedor-de-vello-_JM,NA,NA,NA,NA,NA,#488263042,NA,NA
25, Afeitadora Eléctrica Philips S6640/44 Uso En Seco Y Humedo ,99.99,NA,NA,4,6,16.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TC-TIENDAS-CL?brandId=97,https://articulo.mercadolibre.cl/MLC-494219805-afeitadora-electrica-philips-s664044-uso-en-seco-y-humedo-_JM,NA,NA,NA,NA,NA,#494219805,NA,NA
26, Afeitadora Eléctrica Profesional Gm-6025 ,14.99,NA,3,7,12,1.249,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOLINAMENDOZAJOSEGREGORIO,https://articulo.mercadolibre.cl/MLC-478355684-afeitadora-electrica-profesional-gm-6025-_JM,NA,NA,NA,NA,NA,#478355684,NA,NA
27, Afeitadora Eléctrica En Seco Mj-516 / Disparocl ,3.59,NA,2,98,12,299,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DISPAROTIENDACL,https://articulo.mercadolibre.cl/MLC-481001713-afeitadora-electrica-en-seco-mj-516-disparocl-_JM,NA,NA,NA,NA,NA,#481001713,NA,NA
