seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Philips Tienda oficial,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,3,años,9881,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,6386,0,64,6322,"Pocitos Nuevo, Montevideo.",NA,NA
MVDSPORT,http://perfil.mercadolibre.com.uy/MVDSPORT,9,años,88564,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,52673,636,2580,49457,"Buceo, Montevideo.",NA,NA
OFERTAYA UY,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,1,año,3151,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2335,0,0,2335,"Centro, Montevideo.",NA,NA
MDEOFERTAS.UY,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,6,años,6045,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3992,29,214,3749,"Cordón, Montevideo.",NA,NA
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,años,253493,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,288459,5145,16783,266531,"Centro, Montevideo.",NA,NA
TODO ACA,http://perfil.mercadolibre.com.uy/TODO+ACA,3,años,6558,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3894,26,48,3820,"Centro, Montevideo.",NA,NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,años,91181,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,77035,1143,4393,71499,"Jacinto Vera, Montevideo.",NA,NA
Braun Tienda oficial,http://perfil.mercadolibre.com.uy/BRANDLINK?brandId=539,1,año,95,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,62,0,0,62,"Carrasco, Montevideo.",NA,NA
MUEBLES_WEB,http://perfil.mercadolibre.com.uy/MUEBLES_WEB,8,años,119355,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,65385,1244,4300,59841,"Aguada, Montevideo.",NA,NA
ENCONTRALO.SHOP,http://perfil.mercadolibre.com.uy/ENCONTRALO.SHOP,2,años,5716,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,4218,28,140,4050,"Ciudad Vieja, Montevideo.",NA,NA
BLACKDOGELECTRONICS,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,4,años,34298,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,27700,127,1082,26491,"Centro, Montevideo.",NA,NA
Farmashop Tienda oficial,http://perfil.mercadolibre.com.uy/FARMASHOPUY?brandId=176,3,años,11596,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7267,25,265,6977,"La Blanqueada, Montevideo.",NA,NA
MERCURY-URUGUAY,http://perfil.mercadolibre.com.uy/MERCURY-URUGUAY,8,años,5045,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,3634,6,133,3495,"Brazo Oriental, Montevideo.",NA,NA
PCM URUGUAY-SA,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,8,años,72893,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,48792,841,2879,45072,"Centro, Montevideo.",NA,NA
ELECTROVENTAS ONLINE,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,11,años,170816,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,97831,360,3317,94154,"Centro, Montevideo.",NA,NA
CENTRALSHOP01,http://perfil.mercadolibre.com.uy/CENTRALSHOP01,2,años,3394,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1896,48,125,1723,"Malvin, Montevideo.",NA,NA
GOEX UY,http://perfil.mercadolibre.com.uy/GOEX+UY,8,años,4368,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,3065,15,20,3030,"Parque Batlle, Montevideo.",NA,NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,años,18268,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13321,92,400,12829,"Centro, Montevideo.",NA,NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,año,5133,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2392,30,313,2049,"Ciudad Vieja, Montevideo.",NA,NA
URUGUAYKIDS,http://perfil.mercadolibre.com.uy/URUGUAYKIDS,15,años,16567,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9993,67,369,9557,"Centro, Montevideo.",NA,NA
FICO305,http://perfil.mercadolibre.com.uy/FICO305,9,años,635,NA,NA,NA,503,6,12,485,"Cordón, Montevideo.",NA,NA
UNIVERSO BINARIO,http://perfil.mercadolibre.com.uy/UNIVERSO+BINARIO,14,años,64196,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,59342,1090,4061,54191,"Centro, Montevideo.",NA,NA
El Túnel Tienda oficial,http://perfil.mercadolibre.com.uy/EL+T%C3%9ANEL?brandId=157,3,años,37533,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,23056,79,307,22670,"Centro, Montevideo.",NA,NA
ROKY-STORE,http://perfil.mercadolibre.com.uy/ROKY-STORE,7,años,460,NA,NA,NA,340,1,24,315,"Malvin, Montevideo.",NA,NA
FERRESERVI MACRO,http://perfil.mercadolibre.com.uy/FERRESERVI+MACRO,1,año,1073,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,680,2,5,673,"Paso de la Arena, Montevideo.",NA,NA
LATENTACIONSRL,http://perfil.mercadolibre.com.uy/LATENTACIONSRL,4,años,23617,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,14285,263,805,13217,"Colón, Montevideo.",NA,NA
ME GUSTAN,http://perfil.mercadolibre.com.uy/ME+GUSTAN,2,años,2461,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1449,10,33,1406,"Otras, Montevideo.",NA,NA
ELREGALON.COM.UY,http://perfil.mercadolibre.com.uy/ELREGALON.COM.UY,3,años,14092,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13854,248,521,13085,"Otras, Montevideo.",NA,NA
MFSHOPUY,http://perfil.mercadolibre.com.uy/MFSHOPUY,7,años,27891,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,26344,149,1368,24827,"TUxVQ0NPUjZmZjNm, Montevideo.",NA,NA
ML IMPORTACIONES,http://perfil.mercadolibre.com.uy/ML+IMPORTACIONES,7,años,16594,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10742,38,482,10222,"Pocitos Nuevo, Montevideo.",NA,NA
Geant Tienda oficial,http://perfil.mercadolibre.com.uy/ODALERSAODALERSA?brandId=522,1,año,2928,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1773,29,78,1666,"Barra de Carrasco, Canelones.",NA,NA
MILENIOMUEBLES,http://perfil.mercadolibre.com.uy/MILENIOMUEBLES,4,años,39449,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,21353,347,1337,19669,"Unión, Montevideo.",NA,NA
NNET URUGUAY,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,14,años,45973,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,50132,375,2780,46977,"Centro, Montevideo.",NA,NA
ELECTROSHOP_1964,http://perfil.mercadolibre.com.uy/ELECTROSHOP_1964,1,año,535,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,473,1,5,467,"Pocitos, Montevideo.",NA,NA
FERRETERIA KIRKOR,http://perfil.mercadolibre.com.uy/FERRETERIA+KIRKOR,8,años,739,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1173,13,247,913,"Pocitos, Montevideo.",NA,NA
KIRKORLTDAKIRKORLTDA,http://perfil.mercadolibre.com.uy/KIRKORLTDAKIRKORLTDA,1,año,293,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,179,1,1,177,"Otras, Montevideo.",NA,NA
LA SENSACIONLTDA,http://perfil.mercadolibre.com.uy/LA+SENSACIONLTDA,4,años,48766,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,27551,639,1556,25356,"La Teja, Montevideo.",NA,NA
CARRASCO IMPORT,http://perfil.mercadolibre.com.uy/CARRASCO+IMPORT,15,años,3303,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2367,0,50,2317,"Carrasco, Montevideo.",NA,NA
ZONA_OFERTA,http://perfil.mercadolibre.com.uy/ZONA_OFERTA,3,años,689,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,462,0,5,457,"Pocitos, Montevideo.",NA,NA
EXTERIORSATSRLARIJN,http://perfil.mercadolibre.com.uy/EXTERIORSATSRLARIJN,1,año,941,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,632,13,28,591,"Punta Gorda, Montevideo.",NA,NA
FAMAELECTRODOMESTICOS,http://perfil.mercadolibre.com.uy/FAMAELECTRODOMESTICOS,5,años,11121,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7271,40,179,7052,"Paso de la Arena, Montevideo.",NA,NA
NEXT UY,http://perfil.mercadolibre.com.uy/NEXT+UY,NA,NA,NA,NA,NA,NA,61,4,6,51,"Pocitos, Montevideo.",NA,NA
Perfumería Saúl Tienda oficial,http://perfil.mercadolibre.com.uy/PERFUMERIA+SAUL?brandId=585,3,años,15979,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9930,10,150,9770,"Centro, Montevideo.",NA,NA
