seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Philips Tienda oficial,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,3,3 años vendiendo en Mercado Libre,9881,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,6386,Negativa (0),Neutral (64),Positiva (6322),"Pocitos Nuevo, Montevideo.",NA
MVDSPORT,http://perfil.mercadolibre.com.uy/MVDSPORT,9,9 años vendiendo en Mercado Libre,88564,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,52673,Negativa (636),Neutral (2580),Positiva (49457),"Buceo, Montevideo.",NA
OFERTAYA UY,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,1,1 año vendiendo en Mercado Libre,3151,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2335,Negativa (0),Neutral (0),Positiva (2335),"Centro, Montevideo.",NA
MDEOFERTAS.UY,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,6,6 años vendiendo en Mercado Libre,6045,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3992,Negativa (29),Neutral (214),Positiva (3749),"Cordón, Montevideo.",NA
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,14 años vendiendo en Mercado Libre,253493,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,288459,Negativa (5145),Neutral (16783),Positiva (266531),"Centro, Montevideo.",NA
TODO ACA,http://perfil.mercadolibre.com.uy/TODO+ACA,3,3 años vendiendo en Mercado Libre,6558,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3894,Negativa (26),Neutral (48),Positiva (3820),"Centro, Montevideo.",NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,12 años vendiendo en Mercado Libre,91181,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,77035,Negativa (1143),Neutral (4393),Positiva (71499),"Jacinto Vera, Montevideo.",NA
Braun Tienda oficial,http://perfil.mercadolibre.com.uy/BRANDLINK?brandId=539,1,1 año vendiendo en Mercado Libre,95,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,62,Negativa (0),Neutral (0),Positiva (62),"Carrasco, Montevideo.",NA
MUEBLES_WEB,http://perfil.mercadolibre.com.uy/MUEBLES_WEB,8,8 años vendiendo en Mercado Libre,119355,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,65385,Negativa (1244),Neutral (4300),Positiva (59841),"Aguada, Montevideo.",NA
ENCONTRALO.SHOP,http://perfil.mercadolibre.com.uy/ENCONTRALO.SHOP,2,2 años vendiendo en Mercado Libre,5716,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,4218,Negativa (28),Neutral (140),Positiva (4050),"Ciudad Vieja, Montevideo.",NA
BLACKDOGELECTRONICS,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,4,4 años vendiendo en Mercado Libre,34298,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,27700,Negativa (127),Neutral (1082),Positiva (26491),"Centro, Montevideo.",NA
Farmashop Tienda oficial,http://perfil.mercadolibre.com.uy/FARMASHOPUY?brandId=176,3,3 años vendiendo en Mercado Libre,11596,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7267,Negativa (25),Neutral (265),Positiva (6977),"La Blanqueada, Montevideo.",NA
MERCURY-URUGUAY,http://perfil.mercadolibre.com.uy/MERCURY-URUGUAY,8,8 años vendiendo en Mercado Libre,5045,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,3634,Negativa (6),Neutral (133),Positiva (3495),"Brazo Oriental, Montevideo.",NA
