search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso,Tiempo de carga
1, Cortabarba Multigroom Philips Mg7715/15 ,3839,NA,1182,175,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,116,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,81,27,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,3199,NA,1957,43,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,4499,NA,646,15,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,212,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,141,55,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 m,220v,NA,NA,NA
4, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,2499,NA,403,21,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,15,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos,NA,NA
5, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1469,NA,19,54,6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA,NA
6, Afeitadora Philips Aquatouch S1030/04 ,1999,NA,700,53,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,43,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,31,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA,NA
7, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2499,NA,2502,103,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,193,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,144,44,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,3839,NA,1182,175,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,116,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=63roIvFauAXZOmLm6x85%2F2WdIP7CGpbT63ZUCIUvF8pHFK2Lm5aOSL%2Fj4sruSovKetRnXvsNm7x6rOBgULI%2Fy2WJStfuqzOE3MVH7OF3ksiF0LstVE8QqUJZtk9ht3EyUtFpWV1AzCdDISUkA1w4BWIaYhr8%2BLFa%2FicPi3iFD43KhXW6qWbd68Z5eav5DvIaVrC5L9ovUcOydlrKNj5qmhYU824sESy0NzPQPeZDiLmyw%2FDwuyW3dOKVcEOO9JAoib7LXeJe5svQvHQnIs10GnD7PVqJCaKxeML1H%2Fg%2Fu1XixrrXtxloGBtM4Mkre3%2BOAF1LrMf%2F%2FpiwBC%2B%2BCMu7Rv6pPT1o3QMdt1EcsVYJc8SKd%2Bl3lb8JP9R5h67K%2FWStK%2B4fo%2BMDTgny0ETnWopgLQwNqAqgvx7TOpYCXtJba%2FAYHWiMERIbM5Jtzse2QUcAemHvp2OA4Gf3hnXJS4XirFi8EVhAE%2F8sXJtkAKRCaQBcA68QndCFogqycY5APYE4nnjQWo7Lduk1c5CWY7WvEkxFFoLSGUfwnGU2LSluSI3a8zapkNijdlJackIgGS4APZLrn1I59MBLk5Frij2o5drXuN%2F%2BwtjnxdEaJF0PB5wusUvcSL26DJ0yy9KG1vEwfI3nHKwa5YE7aujyKTwb9gtxNeAeGWdRW3oCWAQ%2FrWg0IUrsGEaPqGrliht3WOwmQq0TIiqqeaygUz8lCildel8TNtvKd9%2F7vd%2BUIwYHGtvKuxxiv%2ByNjl4km2u8BYqM5WySR8RhcgGux2XYwe6bmnbriHCCW3ZlTMDFosE1STMaVL%2Bzjf5ALl0BSC1j4ArjudE5Mdgp1qbWLd7KOK2BEe1P0vjZqa4cGtjBZQBNYyjttbXlt9KFy3OoPK77u%2BkKLomWDizAUJWe1TGYsqKegsZNdxbjJ8jC1vmWM70aBO0%2BcSW9V00PkzYU2gy3x4pjJTTHyTPI9dwKCokKTCH9XF7Gqf6kgCG1CZLHrSTGt59Ktn9QrRO1ZVZkKaejj%2BpHTD49AKYy7kLPKIwGG45NFvjBqaHbE3oG4cpLG3yDmbRzC7%2B4eFsaOw6%2BPgxwa%2BHmRC2qyZJmKeU30LgXfjkR%2BEWnizMc3tR7pvw3DNciv7VMidfgmWuUE2dVhYcPkM%2B%2FEeYx3qfmOprdV7KWv8E44fNe247MkRVzxBs%2F%2BIbhofw9U39J1T0ebyWPNgpf5nbCfnAYRt6NQtIyw59NQUHYrnKZzG%2FwmF24KfF1Jj1FdjXMmXrdLUL2VLmwJBF5q8Z7wYGxJKmcz4W%2FUShFGO7DhFMvP3bRw6eeDxgItwYLWWj8XdA%2FEcV9Sf9mpwMwm9tVGIiE0Tz9mWKsYjLV%2Bp08DOMErKAmr6qEV4%2BCKXBp8dRXoqN6q2r45WGrB4ywZZVFwrm1REQafb0hN9r0%2FuniqxcZ%2Fe%2BeFkw1CnkXG7mW6orgTTMgqv11i3qJXDw1bKtiV32V1lktm7R8kRGqqELvpHBC7oG89srDl%2FkLGVT5C8j6SY8fCe2Tvps94NohuVNQR6z9AFOiqQeadEdCElm60xkxpC1o8%2Fe7Ix2Ap%2BniTuCm1PWAEIg3E35bjOmo4NfV9FYN5DkVcaRdaPMwUuJywKQrX6XxfnMKUGFESOeA%2F%2FKMriMnASybNEARGyuUh7S4g%2BrSN8k%2Fl7Ncm6Lwg7B7dZvZWxvEhO3fQTWRVgkW70DaIY754wVsX%2B5RjGzAEoV7Cz5PtaJPM89ezJAbSbUJZSt8BpdiSbNrLyE%3D,81,27,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA,NA
9, Afeitadora Recortador De Barba Phillips One Blade ,1799,NA,925,5,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,561,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,378,123,38,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 m,220v,Flexibles,NA,NA
10, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,1399,NA,710,76,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,52,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,30 minutos,NA,NA,NA,NA
11, Corta Pelo Y Barba Afeitadora Gama Inalambrica Y Electrica - Garantia Oficial - Incluye Accesorios ,1669,NA,3966,2,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-inalambrica-y-electrica-garantia-oficial-incluye-accesorios-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA
12, Afeitadora Gama Corta Patilla Inalambrica Gsh Sport - Luico ,1035,NA,125,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,28,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624061468-afeitadora-gama-corta-patilla-inalambrica-gsh-sport-luico-_JM,18,8,1,0,1,#624061468,GA.MA,GSH Sport,GSH Sport,NA,NA,A batería,3 Cuchillas de Acero,0.144 kg,NA
13, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3058,NA,393,76,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,50,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,46,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,NA,Flexibles,NA,NA
