seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Ev Productos Tienda oficial,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,9,años,9916,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,970,34,12,924,"Guadalajara, Jalisco.",meses,4
Taurus Tienda oficial,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,2,años,6060,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,548,14,13,521,"Naucalpan, Estado De México.",meses,4
PSACOMPUTOYPAPELERIA,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,14,años,19204,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,848,36,20,792,"Durango, Durango.",meses,4
GIMPORTACIONESMX,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,14,años,10008,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1868,24,15,1829,"Guadalajara, Jalisco.",meses,4
TC MEMORY.,https://perfil.mercadolibre.com.mx/TC+MEMORY.,1,año,13095,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,901,62,36,803,"Guadalajara, Jalisco.",meses,4
ELECTRONICS.MEXICO,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,4,años,3949,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,525,19,16,490,"Coyoacán, Distrito Federal.",meses,4
DIRECTISHOP OFICIAL,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,2,años,6594,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,790,21,27,742,"Miguel Hidalgo, Distrito Federal.",meses,4
Philips Tienda oficial,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,5,años,115722,NA,Brinda buena atención,Entrega sus productos a tiempo,16935,916,785,15234,"Cuautitlan Izcalli, Estado De México.",meses,4
Remington Tienda oficial,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,5,años,66390,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,6818,397,328,6093,"Benito juárez, Distrito Federal.",meses,4
TIMCO Tienda oficial,https://perfil.mercadolibre.com.mx/TIMCOWEB?brandId=1277,4,años,1598,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,159,3,10,146,"Cuauhtémoc, Distrito Federal.",meses,4
AUDIOLAND ELECTRONICS,https://perfil.mercadolibre.com.mx/AUDIOLAND+ELECTRONICS,13,años,3406,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,359,11,8,340,"Gustavo A. Madero, Distrito Federal.",meses,4
MALU8988452,https://perfil.mercadolibre.com.mx/MALU8988452,2,años,4895,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,467,26,26,415,"Coyoacán, Distrito Federal.",meses,4
