search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,1691,64,12 meses,39.42,NA,Llega gratis mañana,NA,NA,4.5,65,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,9,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,255,NA,1085,15,12 meses,25.19,NA,Llega gratis mañana,NA,NA,4.2,67,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,38,14,10,2,3,#591638162,Taurus,Minos,Minos,Planos,1,Láminas,Recargable,45,45 m
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,249,NA,435,136,18 meses,13.89,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,3,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA
4, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,1597,104,18 meses,33.28,NA,Llega gratis mañana,NA,NA,4.8,100,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,84,13,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,522,234,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
6, Rasuradora Afeitadora Wahl Recargable All In One 14pzs Nueva ,349,NA,145,152,18 meses,19.39,NA,Llega mañana,NA,NA,4.8,4,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,3,1,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA
7, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,995,NA,106,9,12 meses,98.30,NA,Llega gratis mañana,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,1,0,0,0,0,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h
8, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,522,234,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,15,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=WoskteBd8%2BPSzOeuViR%2FkXKzsTLbt7W44KnIiCCtF1GAdfYtfzmPk5bRDaO%2FKpi%2FvmKiQZ2s2IPi06w%2B4rcIyoYCIyZ1Hy9FIk8Si6zYxEGLJJdXgUV%2F3d4xPinJUJSR9V3iRlBLxtiqHkDnujdUiZ2k6lCBZ08PGqi4%2F6UgO%2BvW44tdOZTqDR3Sk%2F3HpIIJm5U2MqaIJptRKclBlTVdBVqw3N6UBcXIFplU85GAE9rIEiZHA2cMas%2BiLnY%2FZbu9aRSnwyE3gpD0%2BrrvBZgDWU%2FQkRvvxYpuhjTOSyqxHl4uk9tNwf844sx0taUlikBAsXg8HqTVYivnZP4zDsFEfLMe7dCQgEL1vf8xzmyQmtjm9j3QBaZO7Wc5RmEICYs6hMBhSeCILRTVtDFJc5fLn8b02wYpWM6pCN3DTolV%2BBKeBZkz25Aqaf2fg3gFzdD9V7Sb%2FTmDuE94L%2FgDk7Tf6%2B%2B7WK0L1rqrjTxsAoHdaVHKBCRNPutH6OT4m2QL4JV%2FyOnmmmI4uNJoCkPQHpTMqo8sBzZyxNdII3LzCh4ObOX94bMFQy9jv7fz6j%2FhWnIwX7qEwr9z2jr348We4obSNuoqjGI%2BBxDcmoctMz9RWYVtH%2BQ0ZuGlBDRGSGHIzBro5EAulr3CHD%2Fz7Njz33FA54aJPoG3Bd7hyNR3nehN8ZKNLSgU5hmyqUpKmYbvbdLGjgNMHLmGlYTtNAFQUgQTAdxVew%2Bg9gY5hB3IQLd6%2FqaFC0%2F68uLNDp1yojRWq%2B%2BD7%2FATqh4l1Mb1v9fAiQ0A1uSu9TdkwSEfKTwOrBER1pz8KIzsQMoCbIvkKSNRF90LvLgT%2FIcGNZYtp6Z03zw1Nb%2FGljpcGy%2BsOmyTD7MzT9Cs7a8MjzB%2BFERz3%2Fla4sAW2E8sBad%2F1ouOcoUDzeJTcQLG4ocgxmcWYWY1L%2BDbyauSGcycIMETn0fXtyT4bb%2BgORmYr9GesZnTWg5uI%2B8hhwK3nmU8iRm3uN%2BgtRwY30B9CRJlKZSGzX6Y6Ya76v0kItWbdOl%2FHoVdlarF4ksj4wS24dyHbAzDFWmoXA8C%2BfHX1HE0qBYoPyNzbv1piOYMEC5W0hyo7IVUg%2FbLCvdi7tAqC4nTIbtobDagD0LfDo7N7medElDy5L80Xc1CSBOUT8XEtQcEXetv%2B8diQAy%2BV2AuGAZc47a12j5tCda1wMzOnzjkHbQGB%2B892D5bGHZu9ua9OzV%2BGlE%2Fg243tY0BKJ9QHj86wFcJinz7IGm31ZcFrw34JHAVEkXT6U9J7HQDQt9Jk%2FYdvyA%2B9c%2FQW1MP%2BI30%2B3bUZx%2FqiOtuGumBGbUnI9VjQBQKo13ZC72kJz1lOUv156PI2ss8lVm%2FqUsc%2Fdaggoyek%2BrWZhmxD%2FKmeOuForMogAtY%2F0vyRbovxGus6F2RHX2SH7D1LS3bsdW3zh%2FlESP0tlu0yWSzUaA421q3YvbBPhWO7mIA%2FutaM3l4JIfhhL3qR%2Be5AUuUld%2F%2F2UjVvIbOFZPbKVF0WjVktpxCiHJAnkmjDIFNjYcbHn2ZjbjBF2D6S2P1k64bQI2BTiAcy6T8gAbfbkLsr29jRkxRTJ4bYBdDeoHc2O0wIG1F66hUqSMevERck80JWavvJBXUgBmEdNMGJtgoFo9vL0jruD6h5Qcc%2FVChuNsyjq4KGlqL6IdiIZVjxypWGL3dwAEfROU%2BY%2B6swzbS9TuiJ3fvkdl25%2FjmaRygSHITmOOFgkarQY1tEtJodxazIIQlnkcNMYBgeH5nn5QresCN4%2BTlrWH%2FLtKA23IsEewwrnevlig9XpLPmPRMfGomw7twvevsnh85Mi%2FDSNLdlUCPYXlEPg%3D%3D,9,3,3,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
9, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,899,NA,748,282,18 meses,49.94,NA,Llega gratis mañana,NA,NA,4.9,20,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,18,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h
10, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,780,NA,136,29,12 meses,77.06,NA,Llega gratis mañana,NA,NA,4.8,12,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,10,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h
