seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
PONTOCERTOELETRO,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,2,2 anos vendendo no Mercado Livre,81691,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,7382,Ruim (150),Regular (142),Bom (7090),"Maringá, Paraná.",81691 vendas nos últimos 4 meses
Lojas Benoit Loja oficial,https://perfil.mercadolivre.com.br/LOJAS+BENOIT?brandId=1539,2,2 anos vendendo no Mercado Livre,5266,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,2443,Ruim (59),Regular (95),Bom (2289),"Lajeado, Rio Grande do Sul.",5266 vendas nos últimos 4 meses
FGK VENDAS,https://perfil.mercadolivre.com.br/FGK+VENDAS,2,2 anos vendendo no Mercado Livre,18650,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1849,Ruim (177),Regular (82),Bom (1590),"Mauá, São Paulo.",18650 vendas nos últimos 4 meses
SWA MOBILE,https://perfil.mercadolivre.com.br/SWA+MOBILE,9,9 anos vendendo no Mercado Livre,1350,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,183,Ruim (1),Regular (3),Bom (179),"São Paulo, São Paulo.",1350 vendas nos últimos 4 meses
CLASSIC VENDAS,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,3,3 anos vendendo no Mercado Livre,3154,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,272,Ruim (4),Regular (3),Bom (265),"São Paulo, São Paulo.",3154 vendas nos últimos 4 meses
JOVAL INFORMATICA1,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,17,17 anos vendendo no Mercado Livre,5079,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,532,Ruim (31),Regular (20),Bom (481),"Bebedouro, São Paulo.",5079 vendas nos últimos 4 meses
JOVAL INFORMATICA3,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA3,1,1 ano vendendo no Mercado Livre,1394,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,154,Ruim (7),Regular (1),Bom (146),"Bebedouro, São Paulo.",1394 vendas nos últimos 4 meses
REDE_BH_ELETRO,https://perfil.mercadolivre.com.br/REDE_BH_ELETRO,4,4 anos vendendo no Mercado Livre,1494,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,181,Ruim (4),Regular (3),Bom (174),"Belo Horizonte, Minas Gerais.",1494 vendas nos últimos 4 meses
Deal Extreme Loja oficial,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,1,1 ano vendendo no Mercado Livre,14516,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,1579,Ruim (111),Regular (108),Bom (1360),China.,14516 vendas nos últimos 4 meses
Relax Medic Loja oficial,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,1,1 ano vendendo no Mercado Livre,3323,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,958,Ruim (28),Regular (41),Bom (889),"São Paulo, São Paulo.",3323 vendas nos últimos 4 meses
