search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,3839,NA,"
			
			
				
				1187
				vendidos
			
		",(170 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,123,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,87,28,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,Eléctrica,Planos,120,NA,NA
2, Afeitadora Eléctrica Fading Shaving Teknikpro ,3199,NA,"
			
			
				
				1957
				vendidos
			
		",(43 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA
3, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2520
				vendidos
			
		",(85 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,197,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,146,46,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA
4, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				718
				vendidos
			
		",(75 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,46,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,34,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,220v,Planos,60 M,NA,NA
5, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1396,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(42 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA,NA
6, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				726
				vendidos
			
		",(60 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,52,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,NA,NA,30 minutos,NA,NA
7, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				413
				vendidos
			
		",(23 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,15,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,220v,Planos,40M,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,4699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				649
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,215,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,142,56,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,220v,NA,40 m,NA,NA
9, Afeitadora Philips Aquatouch S1030/04 ,3617,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(42 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,34,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,23,9,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA,NA
10, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				941
				vendidos
			
		",(37 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,567,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,382,125,38,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,220v,Flexibles,45 m,NA,NA
