seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,6 años vendiendo en Mercado Libre,7253,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4523,Negativa (8),Neutral (352),Positiva (4163),"Lima, Lima.",NA
VMC SOLUCIONES,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,9,9 años vendiendo en Mercado Libre,3781,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1962,Negativa (15),Neutral (104),Positiva (1843),"Lima, Lima.",NA
IMPORTACIONES FLYTEC,http://perfil.mercadolibre.com.pe/IMPORTACIONES+FLYTEC,3,3 años vendiendo en Mercado Libre,2154,NA,NA,NA,1163,Negativa (24),Neutral (70),Positiva (1069),"Lima, Lima.",NA
VMC NETWORKS,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,1,1 año vendiendo en Mercado Libre,499,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,258,Negativa (1),Neutral (9),Positiva (248),"Lima, Lima.",NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,1 año vendiendo en Mercado Libre,207,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,114,Negativa (0),Neutral (2),Positiva (112),"Lima, Lima.",NA
GALY IMPORT,http://perfil.mercadolibre.com.pe/GALY+IMPORT,2,2 años vendiendo en Mercado Libre,3787,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1113,Negativa (28),Neutral (41),Positiva (1044),"Lima, Lima.",NA
DECOMPRAS50.COM,http://perfil.mercadolibre.com.pe/DECOMPRAS50.COM,1,1 año vendiendo en Mercado Libre,104,NA,NA,NA,55,Negativa (2),Neutral (3),Positiva (50),"Lima, Lima.",NA
VENTASONLINEFREDY.COM,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,7,7 años vendiendo en Mercado Libre,885,NA,NA,NA,589,Negativa (5),Neutral (54),Positiva (530),"Lima, Lima.",NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,13 años vendiendo en Mercado Libre,152,NA,NA,NA,90,Negativa (0),Neutral (6),Positiva (84),"Lima, Lima.",NA
IMPORTACIONES LAKSHMI,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,2,2 años vendiendo en Mercado Libre,649,NA,NA,NA,353,Negativa (16),Neutral (38),Positiva (299),"Lima, Lima.",NA
MARKETLINCE,http://perfil.mercadolibre.com.pe/MARKETLINCE,2,2 años vendiendo en Mercado Libre,5889,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2320,Negativa (13),Neutral (116),Positiva (2191),"Lima, Lima.",NA
PABLOFORCE123,http://perfil.mercadolibre.com.pe/PABLOFORCE123,13,13 años vendiendo en Mercado Libre,419,NA,NA,NA,163,Negativa (2),Neutral (12),Positiva (149),"Lima, Lima.",NA
INNOVASYSTEMCORP,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,3,3 años vendiendo en Mercado Libre,11744,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5308,Negativa (18),Neutral (278),Positiva (5012),"Lima, Lima.",NA
JHON_EDWARD_123,http://perfil.mercadolibre.com.pe/JHON_EDWARD_123,1,1 año vendiendo en Mercado Libre,1702,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,893,Negativa (13),Neutral (37),Positiva (843),"Lima, Lima.",NA
LEMARCICLISMOYDEPORTES,http://perfil.mercadolibre.com.pe/LEMARCICLISMOYDEPORTES,14,14 años vendiendo en Mercado Libre,1098,NA,NA,NA,645,Negativa (22),Neutral (76),Positiva (547),"Lima, Lima.",NA
ANGIE LA,http://perfil.mercadolibre.com.pe/ANGIE+LA,5,5 años vendiendo en Mercado Libre,73,NA,NA,NA,48,Negativa (2),Neutral (2),Positiva (44),"Lima, Lima.",NA
DIEGO ALIKE,http://perfil.mercadolibre.com.pe/DIEGO+ALIKE,1,1 año vendiendo en Mercado Libre,83,NA,NA,NA,44,Negativa (1),Neutral (0),Positiva (43),"Lima, Lima.",NA
USER316,http://perfil.mercadolibre.com.pe/USER316,4,4 años vendiendo en Mercado Libre,153,NA,NA,NA,48,Negativa (1),Neutral (2),Positiva (45),"Lima, Lima.",NA
