search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1, Afeitadora Eléctrica Trimmer Elimina Vello Nariz Oreja Alizz ,19.9,39.8,125,498,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.9,7,https://perfil.mercadolibre.com.co/COMERGAIN+OFICIALES?brandId=554,https://articulo.mercadolibre.com.co/MCO-481938583-afeitadora-electrica-trimmer-elimina-vello-nariz-oreja-alizz-_JM,6,1,0,0,0,#481938583,NA,NA
2, Maquina Afeitadora Philips Electrica 13 En1 Barba Nariz Oido ,99.9,NA,1999,147,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,204,https://perfil.mercadolibre.com.co/VIVE+NUEVO,https://articulo.mercadolibre.com.co/MCO-451670605-maquina-afeitadora-philips-electrica-13-en1-barba-nariz-oido-_JM,175,27,0,1,1,#451670605,Philips,MG3750
3, Máquina Afeitadora Eléctrica 3 En 1 ,27.9,NA,333,67,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,15,https://perfil.mercadolibre.com.co/SHOPINGLINE+CC,https://articulo.mercadolibre.com.co/MCO-488361395-maquina-afeitadora-electrica-3-en-1-_JM,10,3,2,0,0,#488361395,Gemei,NA
4, Maquina Afeitadora Eléctrica 3 En 1 Trimmer Recargable 6651 ,24.9,NA,30,70,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/COMPRALOENCASA.COM,https://articulo.mercadolibre.com.co/MCO-461208265-maquina-afeitadora-electrica-3-en-1-trimmer-recargable-6651-_JM,1,0,0,0,0,#461208265,NA,NA
5, Afeitadora Eléctrica Remington Todo En 1 Original Recargable ,79,NA,105,39,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,5,https://perfil.mercadolibre.com.co/JHORAMIREZPERES,https://articulo.mercadolibre.com.co/MCO-500669204-afeitadora-electrica-remington-todo-en-1-original-recargable-_JM,4,0,1,0,0,#500669204,Remington,NA
6, Afeitadora Electrica Recargable Philips 5050 Seco Y Humedo ,229.9,NA,54,80,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/VIVIANA+MORERAS,https://articulo.mercadolibre.com.co/MCO-478077806-afeitadora-electrica-recargable-philips-5050-seco-y-humedo-_JM,3,0,0,0,0,#478077806,Philips,NA
7," Afeitadora Eléctrica 3 En 1, Con Estuche ",27.9,NA,35,65,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3,2,https://perfil.mercadolibre.com.co/SHOPINGLINE+CC,https://articulo.mercadolibre.com.co/MCO-500979241-afeitadora-electrica-3-en-1-con-estuche-_JM,0,0,2,0,0,#500979241,NA,NA
8, Maquina Afeitadora Eléctrica Pq206 Portatil Viajera ,22.9,39.9,135,861,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,14,https://perfil.mercadolibre.com.co/BRANDPORT+SAS,https://articulo.mercadolibre.com.co/MCO-455697896-maquina-afeitadora-electrica-pq206-portatil-viajera-_JM,7,0,1,2,4,#455697896,NA,NA
9, Maquina Afeitadora Eléctrica 3 En 1 Trimmer Recargable ,23.9,NA,14,70,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRALOENCASATIENDA,https://articulo.mercadolibre.com.co/MCO-502627029-maquina-afeitadora-electrica-3-en-1-trimmer-recargable-_JM,NA,NA,NA,NA,NA,#502627029,NA,NA
10, Máquina Afeitadora Eléctrica Kalley Max Flex Garantía 2 Años ,47.9,NA,17,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/JD+MARKET,https://articulo.mercadolibre.com.co/MCO-516045118-maquina-afeitadora-electrica-kalley-max-flex-garantia-2-anos-_JM,1,1,0,0,0,#516045118,NA,NA
11, Afeitadora Eléctrica Sonivox 2 Cabezales Recargable Potente ,19.9,39.9,17,8,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VSHOP-INTERNATIONAL,https://articulo.mercadolibre.com.co/MCO-474920320-afeitadora-electrica-sonivox-2-cabezales-recargable-potente-_JM,NA,NA,NA,NA,NA,#474920320,NA,NA
12, Afeitadora Eléctrica Todo En 1 Gemei Gm581 Oferta!!! ,59.99,NA,254,94,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.7,23,https://perfil.mercadolibre.com.co/ALI-BAG,https://articulo.mercadolibre.com.co/MCO-449756788-afeitadora-electrica-todo-en-1-gemei-gm581-oferta-_JM,18,2,3,0,0,#449756788,Gemei,NA
