country,seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
BRA,PONTOCERTOELETRO,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,2,1,87427,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,8207,168,156,7883,"Maringá, Paraná.",4,2
BRA,Relax Medic Loja oficial,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,1,1,3536,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1025,28,42,955,"São Paulo, São Paulo.",4,2
BRA,ELETROPRINTER,https://perfil.mercadolivre.com.br/ELETROPRINTER,6,1,8435,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,696,13,10,673,"Campinas, São Paulo.",4,2
BRA,ALTIVA SHOP,https://perfil.mercadolivre.com.br/ALTIVA+SHOP,4,1,14505,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1485,31,32,1422,"Guarulhos, São Paulo.",4,2
BRA,EDUELETRO OFICIAL,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,7,1,10147,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1343,50,26,1267,"São Paulo, São Paulo.",4,2
BRA,ELETRONEW.,https://perfil.mercadolivre.com.br/ELETRONEW.,9,1,2064,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,234,0,5,229,"São Paulo, São Paulo.",4,2
BRA,CLASSIC VENDAS,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,3,1,3502,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,308,4,2,302,"São Paulo, São Paulo.",4,2
BRA,POCKETSTOREBRASIL,https://perfil.mercadolivre.com.br/POCKETSTOREBRASIL,1,2,653,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,9,0,0,9,"São Paulo, São Paulo.",1,2
BRA,SWA MOBILE,https://perfil.mercadolivre.com.br/SWA+MOBILE,9,1,1445,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,194,1,3,190,"São Paulo, São Paulo.",4,2
BRA,JOSEROBERTO.ML,https://perfil.mercadolivre.com.br/JOSEROBERTO.ML,10,2,2780,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,229,6,5,218,"Mogi Guaçu, São Paulo.",4,2
BRA,SISTEMA NOVO.COM,https://perfil.mercadolivre.com.br/SISTEMA+NOVO.COM,6,1,644,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,85,0,0,85,"Santos, São Paulo.",4,2
BRA,WEB-MAPE,https://perfil.mercadolivre.com.br/WEB-MAPE,3,1,295,NA,Suas vendas tiveram problemas,Entrega os produtos dentro do prazo,31,3,1,27,"São Paulo, São Paulo.",4,2
BRA,LILI OFICIAL,https://perfil.mercadolivre.com.br/LILI+OFICIAL,1,1,7093,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1046,49,29,968,"São Paulo, São Paulo.",4,2
BRA,SHOPLÂNDIA,https://perfil.mercadolivre.com.br/SHOPL%C3%82NDIA,12,1,3547,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,376,6,5,365,"São Paulo, São Paulo.",4,2
BRA,ARS NET,https://perfil.mercadolivre.com.br/ARS+NET,4,1,5325,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,621,17,13,591,"São Paulo, São Paulo.",4,2
BRA,JOVAL INFORMATICA1,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,17,1,5473,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,584,33,22,529,"Bebedouro, São Paulo.",4,2
BRA,HAIBRASIL,https://perfil.mercadolivre.com.br/HAIBRASIL,1,1,6067,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,560,31,28,501,"São Paulo, São Paulo.",4,2
BRA,GH SHOP,https://perfil.mercadolivre.com.br/GH+SHOP,15,1,144,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,22,0,1,21,"Curitiba, Paraná.",4,2
BRA,MX IMPORTADOS,https://perfil.mercadolivre.com.br/MX+IMPORTADOS,5,1,4542,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,362,20,8,334,"Jundiaí, São Paulo.",4,2
BRA,COMPRA_TUDO_TDA,https://perfil.mercadolivre.com.br/COMPRA_TUDO_TDA,14,1,3270,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,340,10,4,326,"Ouro Fino, Minas Gerais.",4,2
BRA,HAIR MACHINE,https://perfil.mercadolivre.com.br/HAIR+MACHINE,8,1,142,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,14,0,1,13,"Santos, São Paulo.",4,2
BRA,FGK VENDAS,https://perfil.mercadolivre.com.br/FGK+VENDAS,2,1,19943,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1967,193,89,1685,"Mauá, São Paulo.",4,2
BRA,JOVAL INFORMATICA3,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA3,1,1,1715,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,171,9,2,160,"Bebedouro, São Paulo.",4,2
BRA,MARIO SHOP,https://perfil.mercadolivre.com.br/MARIO+SHOP,12,1,4365,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,632,10,8,614,"Araraquara, São Paulo.",4,2
BRA,JOK_ANDRADE,https://perfil.mercadolivre.com.br/JOK_ANDRADE,12,1,80,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,6,0,0,6,"São Paulo, São Paulo.",4,2
BRA,VIEIRA.ELETRO,https://perfil.mercadolivre.com.br/VIEIRA.ELETRO,11,1,721,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,98,2,1,95,"Hortolândia, São Paulo.",4,2
BRA,ALISSONFERREIRAVENCESLAU,https://perfil.mercadolivre.com.br/ALISSONFERREIRAVENCESLAU,1,1,1133,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,154,10,6,138,"Presidente Prudente, São Paulo.",4,2
BRA,STARGATE UNIVERSO-VIRTUAL,https://perfil.mercadolivre.com.br/STARGATE+UNIVERSO-VIRTUAL,3,2,786,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,51,0,0,51,"São Paulo, São Paulo.",3,2
BRA,O IMPERIO,https://perfil.mercadolivre.com.br/O+IMPERIO,3,1,3441,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,369,14,13,342,"São Paulo, São Paulo.",4,2
BRA,RRFONTES-SP,https://perfil.mercadolivre.com.br/RRFONTES-SP,4,1,700,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,67,5,3,59,"São Paulo, São Paulo.",4,2
BRA,GEOVANOB,https://perfil.mercadolivre.com.br/GEOVANOB,17,1,1557,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,187,1,4,182,"Brasília, Distrito Federal.",4,2
BRA,RMALAS42,https://perfil.mercadolivre.com.br/RMALAS42,3,2,3481,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,337,14,11,312,"São Paulo, São Paulo.",3,2
BRA,Deal Extreme Loja oficial,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,1,1,15474,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,1818,136,122,1560,China.,4,2
BRA,MIRON TTE,https://perfil.mercadolivre.com.br/MIRON+TTE,17,1,1023,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,112,0,0,112,"Taubaté, São Paulo.",4,2
BRA,VIFA COM,https://perfil.mercadolivre.com.br/VIFA+COM,1,1,4746,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,587,5,7,575,"Itajaí, Santa Catarina.",4,2
BRA,OLIVEIRA.SHOP.,https://perfil.mercadolivre.com.br/OLIVEIRA.SHOP.,4,1,3959,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,483,22,28,433,"São Paulo, São Paulo.",4,2
BRA,ITALYIMPORTATI2,https://perfil.mercadolivre.com.br/ITALYIMPORTATI2,2,1,977,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,116,2,4,110,"São Paulo, São Paulo.",4,2
BRA,IBINS SHOP,https://perfil.mercadolivre.com.br/IBINS+SHOP,4,1,2621,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,226,5,7,214,"Uruaçu, Goiás.",4,2
BRA,SEED6756534,https://perfil.mercadolivre.com.br/SEED6756534,1,2,190,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,6,0,0,6,"São Paulo, São Paulo.",1,2
BRA,REDE_BH_ELETRO,https://perfil.mercadolivre.com.br/REDE_BH_ELETRO,4,1,1578,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,185,5,3,177,"Belo Horizonte, Minas Gerais.",4,2
BRA,JULIANALUDMILASOLERALIMEIRA,https://perfil.mercadolivre.com.br/JULIANALUDMILASOLERALIMEIRA,6,1,768,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,128,1,6,121,"Americana, São Paulo.",4,2
BRA,SSMIXSHOP,https://perfil.mercadolivre.com.br/SSMIXSHOP,17,1,539,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,86,2,2,82,"Salvador, Bahia.",4,2
BRA,ENCOMENDAMAIS-SP,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,1,1,2230,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,238,6,6,226,"Vinhedo, São Paulo.",4,2
BRA,KIBOX ELETRONICOS,https://perfil.mercadolivre.com.br/KIBOX+ELETRONICOS,5,1,1630,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,148,4,4,140,"São Paulo, São Paulo.",4,2
BRA,CITY ROCK,https://perfil.mercadolivre.com.br/CITY+ROCK,1,1,2211,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,258,11,6,241,"Barueri, São Paulo.",4,2
BRA,JSA VENDAS,https://perfil.mercadolivre.com.br/JSA+VENDAS,2,1,2870,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,263,8,7,248,"São Paulo, São Paulo.",4,2
BRA,EXPRESSO ALE,https://perfil.mercadolivre.com.br/EXPRESSO+ALE,1,1,4637,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,518,26,25,467,"São Paulo, São Paulo.",4,2
BRA,OFERTAS ROGERLIMEIRA,https://perfil.mercadolivre.com.br/OFERTAS+ROGERLIMEIRA,13,1,2741,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,359,5,7,347,"Americana, São Paulo.",4,2
BRA,MONDIAL Loja oficial,https://perfil.mercadolivre.com.br/MONDIAL+ELETRODOM%C3%89STICOS?brandId=1671,1,1,4839,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,1805,17,66,1722,"Araçariguama, São Paulo.",4,2
BRA,EMPORIOMASTER,https://perfil.mercadolivre.com.br/EMPORIOMASTER,4,1,391,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,36,1,1,34,"Santa Rosa, Rio Grande do Sul.",4,2
BRA,VEGASMIX,https://perfil.mercadolivre.com.br/VEGASMIX,9,1,4708,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,511,17,12,482,"Limeira, São Paulo.",4,2
BRA,FRATELLI BH,https://perfil.mercadolivre.com.br/FRATELLI+BH,9,1,1225,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,139,5,6,128,"Belo Horizonte, Minas Gerais.",4,2
BRA,MARTINS BELEZA,https://perfil.mercadolivre.com.br/MARTINS+BELEZA,4,1,3108,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,262,12,6,244,"São Paulo, São Paulo.",4,2
BRA,IMPACTOVENDASS,https://perfil.mercadolivre.com.br/IMPACTOVENDASS,3,1,3686,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,374,19,10,345,"São Paulo, São Paulo.",4,2
BRA,CECO3735927,https://perfil.mercadolivre.com.br/CECO3735927,1,1,643,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,109,1,2,106,"São João da Boa Vista, São Paulo.",4,2
BRA,ENCOMENDAMAIS,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS,7,1,2662,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,256,5,2,249,"Brasília, Distrito Federal.",4,2
BRA,FEUAEFRWA,https://perfil.mercadolivre.com.br/FEUAEFRWA,1,2,228,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,12,1,0,11,"São Paulo, São Paulo.",1,2
BRA,IPIRANGA IMPORTS,https://perfil.mercadolivre.com.br/IPIRANGA+IMPORTS,6,1,1107,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,91,0,2,89,"São Paulo, São Paulo.",4,2
BRA,IMPERIOEXPRESS10,https://perfil.mercadolivre.com.br/IMPERIOEXPRESS10,3,1,6770,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,623,29,23,571,"São Paulo, São Paulo.",4,2
BRA,NEYIMPORTTS NAILS,https://perfil.mercadolivre.com.br/NEYIMPORTTS+NAILS,8,1,34439,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1800,105,63,1632,"Rio de Janeiro, Rio de Janeiro.",4,2
BRA,SA.SHOPPING,https://perfil.mercadolivre.com.br/SA.SHOPPING,2,1,239,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,23,0,1,22,"Bebedouro, São Paulo.",4,2
BRA,BAZUSPACE,https://perfil.mercadolivre.com.br/BAZUSPACE,4,2,1887,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,169,5,3,161,"São Paulo, São Paulo.",4,2
BRA,VALTECH DAVID,https://perfil.mercadolivre.com.br/VALTECH+DAVID,8,1,911,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,115,2,2,111,"Londrina, Paraná.",4,2
BRA,VENOM STORE,https://perfil.mercadolivre.com.br/VENOM+STORE,6,2,404,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,34,0,2,32,"Carapicuíba, São Paulo.",4,2
BRA,Olist Loja oficial,https://perfil.mercadolivre.com.br/OLIST?brandId=866,3,1,293039,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,98544,3230,4951,90363,"São Paulo, São Paulo.",4,2
BRA,MIX BRASILSHOP,https://perfil.mercadolivre.com.br/MIX+BRASILSHOP,5,1,2263,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,251,4,7,240,"São Paulo, São Paulo.",4,2
BRA,TEMTUDOHOUSE,https://perfil.mercadolivre.com.br/TEMTUDOHOUSE,4,2,349,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,3,0,0,3,"Rio de Janeiro, Rio de Janeiro.",4,2
BRA,FLUIR OFICIAL,https://perfil.mercadolivre.com.br/FLUIR+OFICIAL,3,2,2011,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,208,8,3,197,"São Paulo, São Paulo.",3,2
BRA,POWER.FONTES,https://perfil.mercadolivre.com.br/POWER.FONTES,7,1,695,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,94,4,1,89,"São Paulo, São Paulo.",4,2
BRA,JRM ELETRONICOS,https://perfil.mercadolivre.com.br/JRM+ELETRONICOS,1,1,14508,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1409,50,39,1320,"São Bernardo do Campo, São Paulo.",4,2
BRA,LIGO SHOP,https://perfil.mercadolivre.com.br/LIGO+SHOP,3,1,1022,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,129,0,1,128,"Maringá, Paraná.",4,2
BRA,FIOROT_SHOP,https://perfil.mercadolivre.com.br/FIOROT_SHOP,2,1,1026,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,158,3,1,154,"Rio de Janeiro, Rio de Janeiro.",4,2
BRA,MANSURMARCIO,https://perfil.mercadolivre.com.br/MANSURMARCIO,13,1,692,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,90,1,0,89,"Rio de Janeiro, Rio de Janeiro.",4,2
BRA,MGP IMPORTS,https://perfil.mercadolivre.com.br/MGP+IMPORTS,5,1,1565,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,158,8,7,143,"Contagem, Minas Gerais.",4,2
BRA,Polishop Loja oficial,https://perfil.mercadolivre.com.br/POLISHOP+OFICIAL?brandId=26,5,1,8924,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1169,65,50,1054,"Jundiaí, São Paulo.",4,2
BRA,ABCD ELETRONICOS,https://perfil.mercadolivre.com.br/ABCD+ELETRONICOS,3,2,1680,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,103,4,2,97,"São Bernardo do Campo, São Paulo.",3,2
BRA,MMM PRESENTES,https://perfil.mercadolivre.com.br/MMM+PRESENTES,5,1,982,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,60,2,4,54,"São Paulo, São Paulo.",4,2
BRA,STARLIFE COMERCIO,https://perfil.mercadolivre.com.br/STARLIFE+COMERCIO,6,1,3478,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,306,21,16,269,"São Paulo, São Paulo.",4,2
BRA,MAGAZINE_PEREZ,https://perfil.mercadolivre.com.br/MAGAZINE_PEREZ,4,2,313,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,27,2,2,23,"São Paulo, São Paulo.",4,2
BRA,LOJATUDOONLNE,https://perfil.mercadolivre.com.br/LOJATUDOONLNE,6,1,3808,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,687,11,24,652,"Presidente Prudente, São Paulo.",4,2
BRA,R1SHOP,https://perfil.mercadolivre.com.br/R1SHOP,8,1,2522,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,288,11,7,270,"São Paulo, São Paulo.",4,2
