search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,1731,189,12 meses,39.42,NA,Envío gratis,NA,NA,4.5,66,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM#position=1&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,49,9,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,265,284,1128,37,12 meses,26.27,NA,Envío gratis,NA,NA,4.2,69,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM#position=2&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,39,14,10,2,3,#591638162,Taurus,Minos,Minos,Planos,1,Láminas,Recargable,45,45 m
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,249,NA,498,173,18 meses,13.89,NA,Envío a todo el país,NA,NA,5,7,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM#position=3&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,7,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA
4, Máquina Philips Norelco Rasuradora Terminadora Barba Nariz Y Oídos Con Envío Gratuito Full ,599,NA,1673,108,18 meses,33.28,NA,Envío gratis,NA,NA,4.8,103,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-rasuradora-terminadora-barba-nariz-y-oidos-con-envio-gratuito-full-_JM#position=4&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,87,13,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,584,173,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,20,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM#position=5&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,11,5,4,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
6, Rasuradora Electrica Remington Cortadora Cabello Vello 9pzas ,549,790,972,34,12 meses,54.24,NA,Envío gratis,NA,NA,4.5,48,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,https://articulo.mercadolibre.com.mx/MLM-612753157-rasuradora-electrica-remington-cortadora-cabello-vello-9pzas-_JM#position=6&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,34,10,0,2,2,#612753157,Remington,REMINGTON,PG6020B (110) F,"Cortador para detalles, Peine con 8 ajustes, 3 peines para barba, Cortador curvo, Cortador de vellos nariz y orejas, Mini afeitadora, Base de Almacenaje",4,Láminas,Eléctrica,50 MINUTOS,4 h
7, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,780,NA,143,22,12 meses,77.06,NA,Envío gratis,NA,NA,4.8,13,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM#position=7&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,10,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h
8, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,584,173,18 meses,13.58,NA,Envío a todo el país,NA,NA,4.4,20,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=jEKFG0N7lYiopQdFyzyDUV6Zh8XXq47GJHcWzyltSESGMyR9S%2F8i8PGKosMsxFHVpLxiJ8HkXEMPnSTLLfKOrygIKRJlBYbQTzipEGHlMgRolYmqAVQH4PdBL6ShCcJ%2B06iREMq3GKLGZSe0E%2BpO76oNKxRqa2i6YOzuwMxvVUoE%2B0J0lBko5c4J8YXnQltQlMBxjfImwRe6sUBh1TZPLdYng0mMlEd0Iu7WvCZFf%2BY0twGgayYaCpJWGorC25yvyg1rog6FOvN%2B70U1tWMpODtYdKrhIVPnlappoiXMzSXM9epOdgfjYHp8u4svins4gXY2hc6c0tPGIlWQPF4vDv4LPbNVf9iwZa2og1mIyMlMQ9ndSVDODDnxiU%2B7DL4iBDV77lj7hwh%2B%2FyNf5zHJJ24rliU%2BE2NE07DYp%2BJzjyshQSOtoUEtCdDD7PGVkx7tvkkNwvE5xVDXTjjmmgzpN74mZX6qg8mJA8N2V1QY0YItVTFqmUSjxGnkIoNZz8Lk1dOgNIoqC30WPyv4tzErzXxL6A7v3l%2BYR5ERz22bETPO%2Fur5KmzAvWhWVFK%2FGL9kM6MBD1BDdldkNjqVanzBM4JUI8uiJePDn1wqAf%2F6VSg2wfIr3ahJ%2BX%2BTRehdM2g5gPr3r1Rru61q3oEATBq3GOOGeWpIEZn51jqKAgQ3drYQ6QDoi3tQgK1g7Zo5dC%2BOEzDlVrvJwbRO7yZTlSkxnW2R%2BYFWlNzsldAh2hNeLoEU68tHC3jeJ9lqmTzvmCJsL86MY%2FNV7ssnFmXu2%2BCpdsYR7ZWcorb2ZLZHSf8QZrrsRV44YfrPGrwq1dAuNcS3bJj8pbA65tiT%2FUver3M1OJ1az0alXdtVPeX9aT4yYVENyqHswhIMdn9PAnWvMI7PTIAmy%2BlRZUjVGqOQt7DbxNqDfnekCHCYQtIKZoVozFXbs%2FAxgTyA36oXVO%2FjZ16I9tD%2FTChqnJbSQqbTijkWmjArh8eXmzfSIdVfG28L2riC4yC2Oct%2Brqah8ToL04sDQnjq26Cb0LWILnwX%2BEFcJ5RZd16eEx4cpiSjU%2FK9B3Hts4II%2BlmD6hwtg6Lbo6etLesCsx05yhQG%2BDoQhTnhyd4nU2I3i2GkdiJ0dIeemr6T77k%2BLEqpViC37tjIrQyDvNYVv3yWxb3FwnNLTJh0u%2FZK4dCvPhz6Z03cSPZ0UqLlNyYZw4h4bGj2Hai6dCjo2ONSQVEWgS4RKrBvHbfUY0ENbRf36%2BfmuAiXUr1Fagdps5Ui7aF2NX8pW%2FvwTxddMXRYIlOJzhk0jPFgqSrDo%2FMlQyC0Jh6OGc%2BiRNnhzq072Jr571%2FF2XE41pj2BJGOnSMzDWtZ96N%2BeEF82F35UARw3NtFk1wozg%2FXq%2By9%2BuTrOhYiPBueLM0P5RuGWoPbQ%2BaMzHLA1D0iFWSct51PGDHVLyf%2BzCGxf5GzDcGCWwD8OMOuUlirYBejQqmMtWS29oo59h4LT3CFFdu1w9HRttu4vD%2BQMCo4bEaBcR0J03J0eSloexOoGQQGdP8B%2B55zLqXmfL6Wjot50446QCnO6ci1LvzpVtLlIHgnlR%2F0LCnyDtAXuiUiN9M5m8lXEooIPse8yxbJNiWrPqDoolTOeCaljQwbQNCMj3xAymwhiRhHi8j7zf5O8UOTDaPEfvrrn2qMa3MbH4N9Errf%2FPaX29%2FnDsOmJsxMxVya7i8Z%2FYSvzf9tt1PYGT7%2B7VK%2B0WmanBWxfk1rN34NmcpACHveIQvZDbdfEm0mJq8UgiuvlaUSHaKpFSBIq2femtl%2BDGraVm05XurT%2FRxsNJ6Eg3Ze%2BslgqYfqM7S4z2dZE0cHuh0%2FujMfguOFyz6zps6ejvLxWeaB4UnmWZ%2B8kPOVsU1N76dikEb55cnPqTFSWvEu6FpikGjz2xCmuc%2FmtR9unao6vBnmbHjqIy06qLYSijqF1%2FCvTQeTOtpWwlz4aT9Kh%2F7t7FHaD2N0ua8snUBHYQ%3D%3D,11,5,4,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
9, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,987,NA,107,7,12 meses,97.51,NA,Envío gratis,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM#position=9&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,1,0,0,0,0,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h
10, Rasuradora Cortadora Barba Bigote Remington Maquina ,549,NA,455,5,18 meses,30.50,NA,Envío gratis,NA,NA,4.7,91,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-658376737-rasuradora-cortadora-barba-bigote-remington-maquina-_JM#position=10&type=item&tracking_id=76fb7159-159a-4678-9cd9-fdde19a870d4,67,17,5,1,0,#658376737,Remington,Remington,PG6025 (110) F,Giratorios,5,Láminas,Eléctrica,65 MINUTOS,4 h
