search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Tiempo de carga,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,3199,3799,"
			
			
				
				1203
				vendidos
			
		",(256 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,137,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM#position=1&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,98,31,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,Eléctrica,Planos,120,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,2999,NA,"
			
			
				
				1962
				vendidos
			
		",(98 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,299,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM#position=2&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,221,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2569
				vendidos
			
		",(96 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,207,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM#position=3&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,151,51,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,220v,Planos,80,NA,NA,NA
4, Corta Pelo Y Barba Afeitadora Gama Inalambrica Y Electrica - Garantia Oficial - Incluye Accesorios ,1669,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3969
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,444,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-inalambrica-y-electrica-garantia-oficial-incluye-accesorios-_JM#position=4&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,279,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA,NA
5, Afeitadora Recortador De Barba Phillips One Blade ,1399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				755
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,71,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM#position=5&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,55,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,NA,NA,30 minutos,NA,NA,NA
6, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				440
				vendidos
			
		",(20 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,25,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM#position=6&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,18,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,220v,Planos,40M,NA,NA,NA
7, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,2399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				750
				vendidos
			
		",(83 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,49,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM#position=7&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,37,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,220v,Planos,60 M,NA,NA,NA
8, Maquina Afeitadora Profesional Foil Fx02 Babyliss Shaver ,8299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BEAUTYFULL27,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FRedgqRk%2BrpatHeKjdYHbJ4rc1sW8ZJZwKkS0LhSG1V3EC9i6jE%2BSa5czK1Zpsrvn2inEMXDV8Qh941%2B5DfeIisqBcGlJ7kJwJr%2BJ3p4cG2rETHDqODiCuv08jWbKLB%2BBfxGXkl8Gs9PAnZJNdyXhvlWXMtPhOieivPYEwE2AOGVU8Io20uBmbXgPp8ZL3qdqZGT01qIJ9I%2Bn3%2Fe%2BWHH1oFfZ3EYWLFVui9uw%2BQG%2Fq0gPppGzs23kGOYN9NyyRRVanu%2FWb%2B54ehDtHEP9aG9mcWpy5njwF%2FKE%2FWPMXHNg%2BA3XyYNumVvR2tAh4axxvSeHzpBI0oJK1nbsb287Slx1u5ykGD74xFk42mfU3xvC3WwhL8fNpwJC0lLuksuK%2FuoenbVIGJko%2Fcn0Ar6s0yiHAqmWKCaoOmj9y8nqi0Yd2gkvgatGFY2EzVLW8vWbaJG8TQt69pja6qd57h%2BCUOZ2IEaHUKfeS0RK5rk0OkuInJp2rCrAQhojSqJ8MsCg0%2BYTZpQRjX9OmhjTYCCCXpjd79jX8gvteBnsZscoscfKMGKXn6mQVSM3n1fcswKdjiwraU48P4VBFmceLFawRkssWKk0hUxF%2FLFL2tXBT3fjnTyhbGR2Bz4VY83%2FfshlTfkDFSJLkkidfLFjkuRcIClkz%2BIMCj%2FgKIpw73PXmcNhz3cfrUG3SLEMjfZXqLlVXkgqQ9gppHOoqnU6G2rQ5hexj2O60M5fKcnmc1ffyzAp4FQAdfJ8N%2FNZIWwI9ttDvhQy1mMoBkipqwIkRNISHOWaN29U%2Blx5LS6IU0CwYaKM8fUqkeuuTfPc7SnTo%2F%2F2j9j9PxbJRxs0F4USfZTNaBgqQgve%2BWaj8ktQXyeM5vIiPN6vZxWapuae3Ld9ol1WJpV9p54aX7hRlFXHjPQzJdv%2BIuSwfEFA6p%2FCSn4qZL509OhnuoIDbHe%2BqLyUnm09GuiV2ycBwlgINXCjx1UK9Br8%2F0HkK3RPHYTDIXt%2FQ3CYTU4AU%2FAaTJ72LM0wRpp3rXED9VTcINr5uz7gnT44tvmrLxbOJv2GF7OQu8%2BFzKH8WfOdg3wFM0xJxxnlVEdDmSN%2BagCQmC%2BharVZDdLYPxvCbsd7et4ZpwSdL4ITKcQOZ3MiTvFJUlXCKIsha%2Fp986K%2FVqQaFXSu4sHHX9wQR9LAyML99pFwqYjThBlBxSywLep988X%2Ben1Nq6Cdj3n95LjeEyw2mR94kVGXX%2FvJ8o6vcSv4xjv%2BLJcxoDsjHU5Tx2fy1NP3WEXwGjScyXrV6x%2FlXyYk70kFZQwLtSg3OD%2FyxuS8Q6WuS1nrPRRed3R97TjKrUCjqs4WDW2vcu9%2BA2W7TeGdpzqQnttGe4fUSf25iyo49rqPXBGgqnkExKEvQXUwhJMJajhYyNHJXA8IeYZrA1vGy6you7xFClLCDX4M7YI%2BAA8cXcF6KTW6AdjglrtDfHvEoarGuoMlXs2hL65LjjdqRZUfPyOFaWULbmMikKKIAUCcUQE67S8fijPUc8wir9hkJkDd%2F93hbO4gWw%2FPei7TT0M%2FcGC9q%2FFxBiKDGWS36EwVl2vc4R7TWcqVhz9ccKKHx3hT%2BeysSLbEX1Gx7l1lmuIv6iPbirdAZ76XCZY21fTft9n1AHSmR%2B%2Bl%2F%2B0q9qJ%2BETKPOPLTvAwPziPlox%2FDFF21D9yjcygKTJ1M3BYp0g7wnaen5ShpC6ird8%2FN0xqdh2kv5JUPyqzB9J69FQKW0XUp6bLO1wq2jPu9N7jtF7JMnrxgPbJRxoxgb%2B3LrBnmevZCEPskbiWzdM5YqCeEIvzOXSxA60TapCSnPJza9kFjg1QBGqxlroYbHOOPfY9DfUBw1nH%2F96Tiq0xKXUVc8isItPlXWlMblI3BUU60VfakauFSS6%2BCw%3D%3D,NA,NA,NA,NA,NA,#760077955,BaByliss,Foil 02 FX,Foil 02 FX,NA,Cargable,2 Cuchillas,NA,NA,NA,NA
9, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3499,3890,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(42 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,39,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM#position=9&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,27,9,3,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA,NA,NA
10, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,2699,NA,"
			
			
				
				343
				vendidos
			
		",(98 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,15,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM#position=10&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,11,4,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,100-240v,Planos,NA,NA,NA,NA
