seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,años,7264,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4529,8,352,4169,"Lima, Lima.",NA,NA
VMC SOLUCIONES,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,9,años,3817,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1978,15,104,1859,"Lima, Lima.",NA,NA
IMPORTACIONES FLYTEC,http://perfil.mercadolibre.com.pe/IMPORTACIONES+FLYTEC,3,años,2153,NA,NA,NA,1166,26,71,1069,"Lima, Lima.",NA,NA
VMC NETWORKS,http://perfil.mercadolibre.com.pe/VMC+NETWORKS,2,años,519,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,264,1,10,253,"Lima, Lima.",NA,NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,año,216,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,121,0,2,119,"Lima, Lima.",NA,NA
GALY IMPORT,http://perfil.mercadolibre.com.pe/GALY+IMPORT,2,años,3817,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1121,28,42,1051,"Lima, Lima.",NA,NA
DECOMPRAS50.COM,http://perfil.mercadolibre.com.pe/DECOMPRAS50.COM,1,año,104,NA,NA,NA,55,2,3,50,"Lima, Lima.",NA,NA
VENTASONLINEFREDY.COM,http://perfil.mercadolibre.com.pe/VENTASONLINEFREDY.COM,7,años,871,NA,NA,NA,589,5,54,530,"Lima, Lima.",NA,NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,años,161,NA,NA,NA,96,0,6,90,"Lima, Lima.",NA,NA
IMPORTACIONES LAKSHMI,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,2,años,659,NA,NA,NA,360,16,38,306,"Lima, Lima.",NA,NA
