search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Edad,Género,Peso,Tipo
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.990,NA,"
			
			
				
				29
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM,NA,NA,NA,NA,NA,#466453148,"M,L,XXL",,LS2,EVO,FF324 METRO,Rebatible,Doble,Adultos,Unisex,NA,NA
2, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.990,NA,"
			
			
				
				41
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM,NA,NA,NA,NA,NA,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,Doble,Adultos,Unisex,0.165 g,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				284
				vendidos
			
		",(246 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.498
			
		
		 sin interés
		
	

	
		","
				$ 7.498
			",NA,Envío gratis a todo el país,NA,NA,4.6,20,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM,15,3,1,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,NA,NA,1450 g,NA
4, Casco Moto Armad 710 Jet Negro Mate Certificado Ecer2205 ,45.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(33 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.665
			
		
		 sin interés
		
	

	
		","
				$ 7.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-440632933-casco-moto-armad-710-jet-negro-mate-certificado-ecer2205-_JM,NA,NA,NA,NA,NA,#440632933,"S,M,L,XL",,ARMAD,NA,710,Abierto,NA,NA,NA,NA,NA
5, Casco Moto 4rs 128 Black Edition Multiproposito Norma Dot ,47.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				77
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441881572-casco-moto-4rs-128-black-edition-multiproposito-norma-dot-_JM,3,0,0,0,0,#441881572,NA,S,4RS,NA,128,Integral,NA,NA,NA,1.38 g,NA
6, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,89.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645,NA,NA,NA,NA,NA,#478913019,Negro,"S,L,XL",O'Neal,Challenger,Crank,Integral,NA,NA,NA,NA,NA
7, Casco Moto Abierto 4rs 537 Con Visor Certificado Dot Scooter ,14.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				93
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,4.6,12,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-442752257-casco-moto-abierto-4rs-537-con-visor-certificado-dot-scooter-_JM,8,3,1,0,0,#442752257,NA,XL,4RS,NA,537 STAR,Abierto,NA,NA,NA,940 g,NA
8, Casco Moto Ls2 Ff352 Negro Matte ,52.990,NA,"
			
			
				
				142
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.416
			
		
		 sin interés
		
	

	
		","
				$ 4.416
			",NA,Envío gratis a todo el país,NA,NA,3.8,4,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM,1,1,2,0,0,#461026560,"XS,S,M,L,XL,XXL",,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,Simple,Adultos,Unisex,1350 g,NA
9, Casco Moto Tipo Depredador Certificado Dot Con Luz ,199.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 33.332
			
		
		 sin interés
		
	

	
		","
				$ 33.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439930838-casco-moto-tipo-depredador-certificado-dot-con-luz-_JM,5,1,0,0,0,#439930838,NA,M,NA,NA,Depredador,Integral,NA,NA,NA,1890 g,NA
10, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.990,49.990,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,NA,NA,940 g,NA
