search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
1, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,110,9,18 meses,72.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,53,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=36493162676,36,10,6,0,1,#669501641,Negro mate,L,KOV,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
2, Casco Moto Accesorio Kukulk Kov Dot Abatible Varios Colores ,"1,249",NA,241,6,18 meses,69.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,81,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,63,14,2,1,1,#564429987,NA,"CH,EGG,EG",Kov Parts,Kukulk,Rebatible,Legacy,Doble,ABS,Adultos,NA,NA,NA,NA
3, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,111,7,18 meses,268.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,15,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498479,15,0,0,0,0,#654427065,"S,XL,XXL",,Scorpion Exo,Covert,MODULAR,Covert,Simple,Policarbonato,Adultos,EPS,Unisex,NA,NA
4, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,1381,2892,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,NA,NA,NA,NA,NA,#552218947,NA,"M,L,XL",INNOVANDO,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA,Unisex,NA,NA
5, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,249,NA,236,9,18 meses,13.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=31056556397,3,1,1,0,0,#657032837,NA,Unitalla,OEM,Recto,Integral,LUCES,NA,NA,Adultos,NA,Unisex,NA,NA
6, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,569",NA,162,3,18 meses,87.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,7,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,6,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM,TALLA S 55-56 CM",HRO,3400 DV,Rebatible,Abatible,Doble,ABS,Adultos,Poliestireno,Unisex,NA,NA
7, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,131,14,18 meses,88.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,2,0,0,0,0,#650438989,NA,"L,XL",Faseed,Graficos,Rebatible,Mask,Simple,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
8, Auricular Bluetooth 4.2 Para Casco Con Micrófono ,347,NA,78,297,18 meses,19.28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,2,https://perfil.mercadolibre.com.mx/JSMANSHOP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=O3I1c5F4%2BuDW%2Bf7N%2BLG9EhRss2CVf3pSOZUYlT5JGKgVaNNjfhUiedlCZfj1FEWxqdHhXsdVaSEm4ajTQIvrhBz7liTh4gjX7W%2BvsH%2BYqfueDLRaCfNc6x4YVJK1BfOX9Al46VkPgwaYGRjFX3%2Fmqd4WA4npC7I33RsJ3VWawmbrdJYTkHzdEa9ke6Y3dum2%2FCSx9%2F5CWYD%2Fax5G0NyOQiXxjkCIacTVFf4VkyF%2FThGDmapkvJHEyCui2LAymPcKg%2FRsYhs0eL8l%2FbQFuhGU1yZoLwhJRQpWRl0TmZ5MBQBweUJT5hyncUM9IyelKJLDuXUGZjnW8Emx9yUVk4ywOIaqyng7sRoUtdNDIM8mkwGnMQcQ3MKWxRLhnN0Mj5UvzuN008gRsVmx22D6lFZV0ifnn59NvKKDirj%2Fa5zIhGhCxfifwjDu%2Fvnwdm3fItL%2FPWyZtBx%2FwW289BSi9VGUCvqE7p03Ja05VOQggQRSGNWwqhzhxuroYz56ibFqrNOuog5jnFUxqFrnoDxMFHb39OuFtWOiWljygnGC34aWcMgLreeSPghUQekdqY9RE7WhSrxNcFLawW71LduTxAuVPLklLEALoYdA2XCuIX%2BvELkdIZQESV9GY3nJIYiBKKVbBjXvs5OJpkIQLGjYB99eFNUWRPJLMLb7YV6uB1KIbhdC9fw0PLx%2BjAuQKRYPCgsQ8ZjGdggOajDykJyMXB33kMS8DZViOAPYccFHqcyQu0%2FB0MBIsS%2Fivw2XNv7sbr8j6N3MxtLGd3AY%2BL3t2a06hzwrIh%2FZ71xdFSAtcGZxCzhGS0lfY5M2laZI%2F44TBi%2Ff%2Bs%2For9zGRSm1baOCowb4ffbWuMOy6nVJ1pOEb3LfDoxONimmq0iS7qKPlCHr2zhnu%2FggOYMlXBxGi8gMZDZ%2FqlCtFbguRJwIYy0uc3gU2mtJeFBhNlaSeX7XQOoJqG%2BalZEFQuOAp6QFzH0NHYKQ64vygeZHLIQ%2FVxRCF7594gN%2B0H7nQ9NAhxaPV3Zlr%2Btcka2d8S6rPPO9J0UAjM3S%2F%2BBBZoeFuD4K%2BLob%2B3o0sSceT66NQPFd26R5Oov%2BEXg5hzljeghf2g%2B95YawcPh7pISBXdreHBwUdsdL0CMFvVD%2Fw6uH%2FeMbfn5F9tBvULvb1KMooJwzqpzSyThXO28aX8NP1FW097rZsbpa8WCC%2FJPNeidCZCfZjYxP6J3P%2FdvJdMJGhXXi7YCZXoWQ22nVQGH2x8UICQRaXC1whpGhIO1elzB1CEJ6NkXzf0RM4PWDfgZlV7HygI3xXncjeuNupAxhF%2BfIhPmcldHrPSldNWO%2FEgDWSg3V2eAeqXaNKcOhWXgvvWXL243YqlcYxsXiD4N%2BDSVbPu%2Bw9tJv6mJif8hLFpH2gcZglOMZFJVTavMq77nB%2B3BKQtK1cPEaIYa9zjnTAZ3zNHmzitn32heR1WzHtYUnweldDmOl3pZhq4SgVM%2BzpHK2EGw%2BVGx%2FhjIjgV%2BNZjxvmxlXwQEdwSL5uuPPeMBlW9buU7CcnmrJc0e0VMjzutiCEvVq2%2BqoFUlmd7JFVaQYa3wclqkgbYdlXPQHLjwBXOX05ZOIqfpcV7JzVIW%2FqkDxKq%2FVaQ%3D%3D,1,1,0,0,0,#667988493,Negro,17cm,JS-T1,JSMan-W6,NA,NA,NA,NA,NA,NA,NA,NA,NA
9, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,"5,869",NA,94,10,18 meses,326.06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,40,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,38,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,M,L,XL,XXL,XXXL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,652,12,18 meses,30.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,92,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,62,18,10,0,2,#610879940,NA,"M,L,XL",Promoto,A107,Integral,CERRADO,Simple,ABS,Adultos,Poliestireno,Unisex,basic,NA
