search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,3325,818,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1685,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1213,328,93,23,28,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,3551,1809,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,1562,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1154,275,100,15,18,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA
3, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,120,NA,1889,10,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,66,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=37766877263,38,11,13,1,3,#1133429702,"Cinza-claro,Amarelo,Azul,Azul-escuro,Cinza-claro,Laranja,Rosa,Verde","58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA
4, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,NA,800,27,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,74,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,46,18,6,3,1,#960763001,Preto,"56,58",Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g
5, Capacete Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,599,12,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2081,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=39733343550,1380,394,178,62,67,#1162758324,"Amarelo,Azul,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
6, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,1483,283,10x,6.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1572,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1039,335,143,32,23,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA
7, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,122,NA,868,72,12x,10.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,206,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,163,31,7,5,0,#824544027,"Branco e rosa,Preto e Azul,Preto e Rosa","56,58,60",EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA
8, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,129,NA,219,166,12x,10.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1572,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=oX9vOARBvCqhMKdJA3xKWx4ZOhn%2FzRX3s1z709pCQtJ4v1i3Ik4KSesfZhIXxHAd0DQAhZxrt2qRCLfzBHif5ZcNtkUCxRhGs%2FEx0GevFZdWPxwjKRaNtdHtEP8IQFM1nXxS9R5mBBolycNR9UTg0e6MlSXB4RzUdBJKABYW%2BEV2F%2FzVmA1U2AvgQJPdUdXjkZp5yzhgjCmVOe1pVhPtN2YUYSjrJiAKCjYFDJgHgOqkz2pyZ0aE%2BfnH4%2BYAKZhqxFvE0a%2FQAuF7NlAgMTs751bm3f5HTxGrd8xWaWinFCEhRBjz%2BejFNwk6DTJMGiKo8EEMCLbksunxJbFmQPwtSTPlCTjgcFNCh%2Fzlzj%2BM0fjXv0UozKPqWMKa2eh4nt6InMhaF%2BLiAOYwTyrX%2Fv%2BGkCDgDTEcgg%2BgAEyP%2FHpUi3VMpQ6wiLVYXnSnIppV000dvnfscq0FyzHgK76qV8IB%2BgP%2FvG4%2FWrdUYtNa2jEza4R%2BaCkNHSjac%2F6nzgLHrFi7eTfX3D35x5ZKHyWr%2FnG%2BjmD1uoqgBAfyQ%2BBYgtg131R%2FyTR6ApaYkHq9huyCgkstzNF483iX0XgmZyvm1bm9La4P25F13yAzEZbqOWbjCi6RXarEnjXCgiWBl2kaBql2qqL6LC5MX%2FRgzvlG5jFphPueXteMl6QbJDFj0FsBqaSJrYbN%2B3xEfZ7HCkRYaPMno9ConKayVLmZIu4zjfFxpvJqsZpSvo7dXRirv%2BhE5oSXjPRRGpwdSifUMPgT4eQwL9rRSuRMhKj%2Bq2Mvry%2BJ1s7JBCEBhnp9v4qt1eh6GVfGTRH7Sq40i%2FeSU7dmT%2BYs6Gaa%2F98QTTU8osjzTD8vFBeAWbNhg3fxITiYQr3dolbujfgeOTYtIWPGBYZFhJ64n0lNaOzTSiyFCJ%2BWS6%2BBYh5z3k2x%2BuggXkHJj6eqyjVz3OkUXJSwMXCmCwUePpgXu6RHfTVeagTxWEQFz8pizEVSQKhYtMZ7mWRj7sQ7lbT4KwhzfG2gIoSbauKZ8aQoHny8wBIPLysz3cXkKlTp190rnpUsaQUsfa6%2FqtUiRCUrQkprYQ2ls1THZ57w7l1R3bXpyRb7H2MKe4CD%2BPO%2BpdPCVha8qTFoOcQkg6pPm6GYZXBftbq1xPdVc%2BJW9Pdpt5ExVxS%2BTXb5xAdbIhwcRQYO0gkZ7iSDaeoBvp6R80qQWv%2FXEDFOeB7kWKFTKamwW%2F8GlM3EESHsy2rCa9dXFzOODfrs8rTvqeYuscEH44Gi2LwoyIx7NayxFuVvPcfWz%2BiMeIeSzMAzcN1uD7YuF%2Bweh9UhDztstyXg4VlcsIpXznGrCp32YvEQIFpJNIDy1iyjROsTpD9NABOBmzfg28g%2BrEBJ%2B1eBM84ogNH1atIk%2FiPIh8EIJkkjVBZzfu1V7Zf1a%2BefMrSPmiSvjBxsKoieXe%2BSNn35wRkzGKqEAe9D8P%2F5JAwJsm3%2BO2KJptaE9F1%2BdJX6BR0aQV4RLEMp1keeMUR8vnfua%2F4TuyyF%2Ff%2BSZhrIDd3fLfpqEPUzXNlCKe0LoX%2F%2F4%2FGtQQYoUT7AAM2kprGhFQqZyU0MiRG031LoW%2FVdvQsTjJIGuTMCDEWcK94RxNpPsbvGyZVv7ZCWiP%2BCTi6qncH18GYMNxuToPVKEfrrxEK654bFa4t3pCsEiGwa0gsgQNx7Ridk,1039,335,143,32,23,#1122944031,"Verde,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,NA,NA,NA,NA,NA,NA
9, Capacete Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,583,35,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2081,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122510,1380,394,178,62,67,#1162746915,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
10, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,2742,58,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1547,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,960,334,148,56,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Branco Flor,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
11, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,75,NA,1894,16,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,43,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,29,5,6,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g
12, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,583,1504,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2081,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1380,394,178,62,67,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA
13, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,132,NA,1097,1296,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2081,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1380,394,178,62,67,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,NA,1200 g
14, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,114,NA,175,178,12x,9.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1572,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=9MKUiKJVgNJfY08iCXF5zcIXkHJsQs6Zk%2FR%2BDRcClRg741%2BJ0khyj3Uo50GFuIIpR0xGxss%2FE%2FDuRrEDXxcnffZEnUUr%2Fl%2FshxJ%2FE%2FY%2BFfgkrldGcACucuPbc1MbmEWSwD9QJs9H8CjeBvvWco1Vg4HluVRL%2Bin3QaidfrO20ST8kgz9sg17tDWWnp91Z1FdH8sR1HA7yKLy%2FNgiGuo6nMSrse5ieY0vxA5MSUYLDDgUEXy0KHbbvYTDFETTj4zKtX5NUtRyso3U57F3hzHv5g1rIloFPRjZiVm%2FV7tIC%2B2vaKaADB1WupHOJyIWDlmx7efOoBxdwtuBThe4psvv6FE%2BZUgpgsrfOea0%2BOlw3sTYw0F8h%2B3UMCwg1LeAuHq0anRkaugusHgvzprHYdyV0YkyHveZ8m%2BL6Fpi2Ndllrk8Fun7g4GMfP6q8LCc9LCZT0wSqNMIoaTf%2BPThQ%2BfIQGzHW1K6fpxGW8xDd25r5ivR6Gxal48NcUtOeo%2FGPJa3YJ%2FyCMazUHJEEKIFXQ7feg9zUxKXcCQL6T7wSU2MK0TTPBYnFHntU1zZehzF0xUd%2FGtdWUcSGZiVVKLKZ7KIF%2Bi9qFiUggQtG3uczeM3YBy30PjPzShZbDnQyx1xMYNCCeWRJzeFCit4dOxz%2F9dE8%2Bjzs%2BeczJTi5mEHUnXa7HVIs42n1n5QG8lFTulKIfDHpE6oL6VZtxsvESNmwpFZHMRJtTgDeYEu%2F4Ee5i4eC9cQME4Wn3UTeHbbwK3t1tJBofxB5A8hqdD%2Fi6cgclu5nIPReUC1T%2F6E6foLVpJzC4I%2FhfsxHfW%2BdzWVtzcyN5a9tEjZF80WYSPAfu1IVQihfTx0AEdWWubtR3fZNay0ZIUyZE43p%2F8LcckuSGqVQRJeObdiY2N5lm%2BB3%2B6GeJ4TNne8unmE8TcvBnckSnRBeWhLzY%2B7ZJPoXyUYLyqBbUV0f6I0KdD489TkYenOgVvHt%2FnvR07Y0JWI0X%2BsVRNU3Rq6cZh8vSiUPO%2FV9ytxtKD%2B87DC%2BmGCFbJZ1BcC6207Zd4bzYF%2BIkR4y4XpQmvkzAwIm%2F%2BgXziVB4249%2Fp0gUNDzhvMdKQrJ5hswvceOu0aZ9jTAhyvpBd%2ByO%2FYsoSCNXn%2Fq4DAqMlO1%2Brom62i1CAE7yHGDQCpTDTeyJ0wIVbtmfLUHlFwmPN0W9759ZhO7C0W%2FzFFMaE6UfgdGJq7gwwW40V%2B2pket%2BGnRhT78oN9%2FT%2BW53ZqdaLOvZmA%2FsVyDjXHAOCYfdqNcR52juXST1gtgO6TISYuH4X9Qy8XLtHtV27pN1%2F1aU4KUP8xfIC5cAxOmEPR6b7t3CgTET2iH4dyD5q6Xdy3rIOWlMVpG1qBxndryZzmK%2B9Wy61%2B6x1pEPFaoGM%2FCT4t%2FNrc5RemEF2vpuP9xqpKhkGR45%2BKscKpF1xtGubq4S4t%2FGIpO%2FYmnsi4TAf2dy4mo0LSKk6yAGJa%2FLHRiOVonLRFTloGHb%2BJMoK6ePda%2BTIZ5oSwmDRsTFV1KGPfIW9LfW7SztC5GTdTJC%2FjNEt%2BA0wPTVz5NSwQMi4S3Y0Oc0yZYe%2FL%2BK4doFZysabzy72g6xYo5IXHKNQsRookFtLc8GFJMAwH2wp0%2BDxcPzEhM9XtbtCc0QJFmFt0ah0wkfVUJtyPELgUFAtp1t1gDa3jOsOCRIeMnQ%3D%3D,1039,335,143,32,23,#1122939289,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,Berço Antialérgico,ABS,Adultos,Unissex,NA
15, Capacete Moto Pro Tork R8 Fechado ,104,NA,4698,1632,12x,8.67,NA,Envio para todo o país,NA,NA,4.4,2081,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-781215610-capacete-moto-pro-tork-r8-fechado-_JM?searchVariation=17279219016,1380,394,178,62,67,#781215610,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,ABS,NA,NA,NA
16, Capacete Moto Protork R8 Fechado Viseira Espelhada Loi ,120,NA,143,13,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,4,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162752461-capacete-moto-protork-r8-fechado-viseira-espelhada-loi-_JM?searchVariation=31714359831,2,1,1,0,0,#1162752461,Prata,"58,60",Pro Tork,R8,R8,Integral,NA,injetado em polímero abs de alto impacto virgem,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",Adultos,Unissex,1.27 kg
