seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
LOWEN GRUPO,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,3,3 años vendiendo en Mercado Libre,1750,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,239,Mala (4),Regular (8),Buena (227),"León, Guanajuato.",1750 ventas en los últimos 4 meses
MOTOCITY STORE,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,11,11 años vendiendo en Mercado Libre,2579,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,323,Mala (10),Regular (7),Buena (306),"León, Guanajuato.",2579 ventas en los últimos 4 meses
INNOVANDO_OFERTAS,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,5,5 años vendiendo en Mercado Libre,3323,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,333,Mala (30),Regular (18),Buena (285),"Tlalnepantla de Baz, Estado De México.",3323 ventas en los últimos 4 meses
MEXMART_ML,https://perfil.mercadolibre.com.mx/MEXMART_ML,14,14 años vendiendo en Mercado Libre,3154,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,264,Mala (5),Regular (10),Buena (249),"Nezahualcoyotl, Estado De México.",3154 ventas en los últimos 4 meses
NINJAMOTOSHOP,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,3,3 años vendiendo en Mercado Libre,579,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,94,Mala (2),Regular (3),Buena (89),"Cuauhtémoc, Distrito Federal.",579 ventas en los últimos 4 meses
JSMANSHOP,https://perfil.mercadolibre.com.mx/JSMANSHOP,5,5 meses vendiendo en Mercado Libre,4527,NA,Brinda buena atención,Entrega sus productos a tiempo,494,Mala (44),Regular (19),Buena (431),"Cuauhtémoc, Distrito Federal.",4527 ventas en los últimos 4 meses
ACCESORIOSEXCLUSIVOSMX,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,6,6 años vendiendo en Mercado Libre,4099,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,510,Mala (33),Regular (18),Buena (459),"Cuauhtémoc, Distrito Federal.",4099 ventas en los últimos 4 meses
RIDERONE1,https://perfil.mercadolibre.com.mx/RIDERONE1,3,3 años vendiendo en Mercado Libre,1416,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,271,Mala (5),Regular (3),Buena (263),"Miguel Hidalgo, Distrito Federal.",1416 ventas en los últimos 4 meses
GUERREROBIKER,https://perfil.mercadolibre.com.mx/GUERREROBIKER,14,14 años vendiendo en Mercado Libre,1218,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,178,Mala (1),Regular (3),Buena (174),"Tlalnepantla, Estado De México.",1218 ventas en los últimos 4 meses
VALERIARIOU,https://perfil.mercadolibre.com.mx/VALERIARIOU,2,2 años vendiendo en Mercado Libre,8626,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,883,Mala (40),Regular (21),Buena (822),"Nezahualcoyotl, Estado De México.",8626 ventas en los últimos 4 meses
SKULLGUARD_MOTO,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,11,11 años vendiendo en Mercado Libre,615,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,96,Mala (0),Regular (1),Buena (95),"Tlalnepantla de Baz, Estado De México.",615 ventas en los últimos 4 meses
BAJAJ POLANCO,https://perfil.mercadolibre.com.mx/BAJAJ+POLANCO,5,5 meses vendiendo en Mercado Libre,63,NA,Tuvo problemas en sus ventas,Entrega sus productos con demora,9,Mala (0),Regular (0),Buena (9),"Miguel Hidalgo, Distrito Federal.",63 ventas en los últimos 4 meses
SHOP IGARTUA,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,1,1 año vendiendo en Mercado Libre,1417,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,194,Mala (7),Regular (7),Buena (180),"Guadalajara, Jalisco.",1417 ventas en los últimos 4 meses
JK MOTORS,https://perfil.mercadolibre.com.mx/JK+MOTORS,4,4 años vendiendo en Mercado Libre,2164,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,309,Mala (7),Regular (6),Buena (296),"San Matías Tlalancaleca, Puebla.",2164 ventas en los últimos 4 meses
SELLATODO,https://perfil.mercadolibre.com.mx/SELLATODO,8,8 años vendiendo en Mercado Libre,4832,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,425,Mala (25),Regular (12),Buena (388),"Tlalpan, Distrito Federal.",4832 ventas en los últimos 4 meses
REMATESCENTRO,https://perfil.mercadolibre.com.mx/REMATESCENTRO,14,14 años vendiendo en Mercado Libre,2430,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,221,Mala (8),Regular (7),Buena (206),"Gustavo A. Madero, Distrito Federal.",2430 ventas en los últimos 4 meses
GRUPO AEP,https://perfil.mercadolibre.com.mx/GRUPO+AEP,9,9 años vendiendo en Mercado Libre,526,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,67,Mala (0),Regular (1),Buena (66),"Iztacalco, Distrito Federal.",526 ventas en los últimos 4 meses
ZAMUDIO8AA,https://perfil.mercadolibre.com.mx/ZAMUDIO8AA,10,10 años vendiendo en Mercado Libre,737,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,99,Mala (2),Regular (1),Buena (96),"Coyoacán, Distrito Federal.",737 ventas en los últimos 4 meses
MOTO-HELMETS,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,10,10 años vendiendo en Mercado Libre,2282,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,419,Mala (6),Regular (5),Buena (408),"Zapopan, Jalisco.",2282 ventas en los últimos 4 meses
ARTICULOSDEPORITVOSRT,https://perfil.mercadolibre.com.mx/ARTICULOSDEPORITVOSRT,2,2 años vendiendo en Mercado Libre,1062,NA,Brinda buena atención,Entrega sus productos a tiempo,134,Mala (4),Regular (6),Buena (124),"Nezahualcoyotl, Estado De México.",1062 ventas en los últimos 4 meses
XIIRD,https://perfil.mercadolibre.com.mx/XIIRD,8,8 meses vendiendo en Mercado Libre,626,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,78,Mala (6),Regular (2),Buena (70),"Cuauhtémoc, Distrito Federal.",626 ventas en los últimos 4 meses
RESIDEN MILITARIA,https://perfil.mercadolibre.com.mx/RESIDEN+MILITARIA,2,2 años vendiendo en Mercado Libre,2748,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,421,Mala (10),Regular (22),Buena (389),"Puebla, Puebla.",2748 ventas en los últimos 4 meses
