search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,"
			
			
				
				3561
				vendidos
			
		",(751 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1249
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1707,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1231,329,95,23,28,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,"
			
			
				
				3644
				vendidos
			
		",(1770 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,4.6,1578,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1166,277,100,15,19,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				2178
				vendidos
			
		",(41 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2103,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1397,396,180,62,68,#1071430308,,"56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg
4, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				1913
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,70,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517008,40,12,13,1,4,#1133429702,Verde,58,Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA
5, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,NA,"
			
				Novo
			
			
				
					 - 
				
				808
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1290
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,79,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,51,18,6,3,1,#960763001,Preto,56,Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g
6, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,58,NA,"
			
				Novo
			
			
				
					 - 
				
				1539
				vendidos
			
		",(599 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 670
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1583,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1047,337,144,32,23,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA
7, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,122,NA,"
			
			
				
				879
				vendidos
			
		",(61 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1025
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,207,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,164,31,7,5,0,#824544027,"Branco e rosa,Preto e Azul","56,58",EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA
8, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,75,NA,"
			
				Novo
			
			
				
					 - 
				
				1900
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 717
		
		 sem juros
		
	

	
		",17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,44,https://perfil.mercadolivre.com.br/VEGASMIX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=qfvks92yf7y3ioiI2vQNTdNQo2TmaH8SQjZ%2B1aMoT4hDvioNleJnZ6kBptlKFMTkB9ta7qZs%2F%2FEYJTgwyiUybcLJOtQN4reJkGDmKqLJDO%2Fzo%2Bwk3EkjGg2rVKDVxPx4BDqZRwNSzg3jA%2Bh5s7jwu5A%2FntEmthX3Ffra5kUTHGPB5Xy%2FNXb8xbD2xSQw0DmmTauOLOxiTyiczakbAjlFnNN0v8wZumF6yO48QfiI8867BFws%2FuraYkpQYazhzlwa2YUA8BDPYIBvNUT3L3PtKx%2B1lpdy21tfnRP270e%2FB58qC7bfaJNgX06eFu9ABgY7ImvTKXrsxJXesi5ezFnawP3KWbyODYhhY1WBUkYwooO6oIawXUzVYqgbwBS%2FYkrTAESFl2MGtaUsrW0nPzIVS5cJCV7k9AwpJGtxfyTiBA9waTawQOulDkzG4knv%2B87lfRqStrkenBdHPTRFlWK2rEv5T8o%2FpHItbWoGgY3w9I1HVXCguh3C0LVE49KFWp8wIUa5oSjGTci1T2GteJTTTeHhOBxTsaQdAF1zfgpb3%2BhHWmzV8c2W2v%2BqMQAtmnf2AvJSKRMCifFbQhsLB4I0qvTUHhV9TjwdalHjjM%2FfAUeG9Qo528910ECp%2FrKn7aPpEiPbHFrffjbl6pRCLYmLj0SJqxyNqkxfhG3hvL7F3wh4yqKr9W5KJ9PUhlnB5S9fRTkcL5c1xbhLu12qNnI%2Bg%2Bra7ye1LAg7vWBVV79%2FmdKHYSncJR0Zj%2BGWGjwqDDFBYYwygQf7qgk%2FuDig%2FRai%2BD0I%2FzpbSDx4Xg53OOvOKEGtJSfk6H25ezp7AJbDV%2BYQkYBctUR98e2f1BocTjLpULB0eGLO%2FXCVMv5i7Fe7NLxk%2BFh89eJQK6kQREfor3wI1o6hgUHmgkRL44%2FMJgduYrr0PZwhVycc%2BpwU2UdYpAuIXn%2FoyxxiYl1EjTsI1p6N9h7M%2FWEvEjjXjLlt0h4J380%2FJaEaqoJZUp2aFZBXvrnvX3UiNX4TYKdFYLLUz6uJupzqAyG7iTWvxIZV37Ek2vTfUSYRZRpARQ1hYvwgJyW5eDi6s9fpPteqVdhwY%2FWbnqAOIPhBjLrEl3vL9l8E9CGf%2BvxYew1x42UhxFRPyfqSfhQ4G%2FjIdWHFShzktixFndt6sv69LlH2oUuJR4HRcOXm9ZFhtYX7YMBEMLPJY4gMCaOFVTB3tyYwzNOCWwZy2xyNl6HzZF118FaLBAEX1in4W6MZui7py6C8gAAsNT%2FF5YNEVElIu7%2B5m%2Bl0C6X4y4QH9kC0y%2F6rYB%2FcnYtRJvyZGjzx%2B9v5%2BljfsMsoHqeZvZTR9DdPKfNACKHThw62ZVDMRP6%2FNBq%2Fs%2BNEHxxxubV%2BVQlFJe%2Fplq%2FccMa2f82kqwrjCxSjtQeiFoKqACx6GeZxJXb%2FsblEHVDJiyRM%2Fu2hrmUhaXNsJMQq%2BpNVPjSCFe43OmQHctmnHaYOKxks4j8Vb8pwT%2FBtYLibc2YMU5BMpWY9d6kXJ0kKT0o%2FLEigDJnJKeYujZUj1iNNh04WXHsFUeg63Kcpk8VYgZnce%2B1nDO1kfPgbbsHhrdV%2FQVgJk24vpT0jiTrkYNHhWWRt%2FsXrrD9EKJLoHWSwVer4MB4MgZM%2BA9G5MPTKc9mdP%2BtDCeLeWCxnx2eDu9Y4V5stUL6KSfxNpRNDxBDGmuRY7ju9V6jc4nHpBl%2Brb%2B7lF9%2Bvg64JIfZCpZi8AEI%2BoRkwM2hoJP3QKyy4LR1CUj6Yg8DDs829lmKyIFCh5OpfIbuopBmDqBitTRAZygTrK5EVECAgAWsq4YBCPWIZCz2iT6xYJK7YsVzBvdgs33Gmv%2B13GVhcOmPVkjECXy%2BHzc0URTQPcXQtvBqwE15zFdUt008zwWxDz3ZtxaQZ%2Fg%3D%3D,30,5,6,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g
9, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				617
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2103,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1397,396,180,62,68,#1162746915,Azul,"56,58",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
10, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				634
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2103,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=39733343550,1397,396,180,62,68,#1162758324,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
