search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
1, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.900,279.900,"
			
				Nuevo
			
			
				
					 - 
				
				155
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.553
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,13,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,11,2,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M,S-M,S-L,S-XL,S-S",ich,503,Integral,1000 g,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.900,249.900,"
			
				Nuevo
			
			
				
					 - 
				
				1168
				vendidos
			
		",(931 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,105,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,81,17,6,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,1000 g,NA,NA
3, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				464
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,20,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40977991088,17,1,0,0,2,#461184205,Negro,"S,M,L,XL",ICH,503,Integral,1000 g,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.900,159.900,"
			
				Nuevo
			
			
				
					 - 
				
				466
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.053
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,46,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=21094453672,34,9,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
5, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.900,169.900,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(62 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.192
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,NA,NA,NA,NA,NA,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,1000 g,NA,NA
6, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				587
				vendidos
			
		",(364 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,65,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,47,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
7, Casco Ich Abatible Doble Visor Certificado Placas ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				161
				vendidos
			
		",(380 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,15,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,10,4,0,1,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
8, Casco Kontrol Certificado Alamo Tipo Mt Icon Shaft Agv Ich ,139.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		",(85 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.875
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802204-casco-kontrol-certificado-alamo-tipo-mt-icon-shaft-agv-ich-_JM?searchVariation=35428045017,NA,NA,NA,NA,NA,#509802204,Negro mate,"TALLA L,M",KONTROL,Álamo,Integral,NA,NA,NA
9, Casco Moto Ich Certificado Dot Guantes Chaleco Gratis ,139.900,179.900,"
			
				Nuevo
			
			
				
					 - 
				
				149
				vendidos
			
		",(104 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,10,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451860693-casco-moto-ich-certificado-dot-guantes-chaleco-gratis-_JM?searchVariation=21096322764,8,1,1,0,0,#451860693,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
10, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.990,340.000,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 7.778
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,14,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,13,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA
