search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Línea,Modelo alfanumérico,Usos recomendados,Peso
1, Casco Moto Hawk Zx7 Mx Cross Negro Mate Tienda Oficial Full ,5995,6595,NA,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-negro-mate-tienda-oficial-full-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
2, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,1773,NA,275,2,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,306,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668377,204,64,32,4,1,#777255941,Negro mate,S,Hawk,RS1,Integral,Cuero sintético,ABS,Adultos,Unisex,Simple,NA,NA,NA,NA
3, Casco Moto Integral Vertigo Dominium. Full. En Gravedadx ,2399,2699,798,64,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,204,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,126,53,18,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),S (56 cm),M - 58 cm",Vértigo,DOMINIUM,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
4, Casco Moto Integral Vertigo Max. Full. En Gravedadx ,799,949,685,159,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,44,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,32,9,3,0,0,#683109534,Negro,"L (60 cm),S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1405,1967,655,1379,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,286,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,176,66,31,11,2,#744827612,Negro,"S,M,L,XL",Halcon,H57,Integral,Resina termoplástica,Polipropileno,Adultos,Unisex,Doble,Integral,NA,NA,NA
6, Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx ,2754,NA,1384,28,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,204,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,126,53,18,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),XL (62 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,HK7,Integral,Set Poliester,ABS,Adultos,Unisex,Simple,Vértigo,NA,NA,NA
7, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos ,1405,NA,2248,18542,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,286,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402200,176,66,31,11,2,#616668706,,"S,M,L,XL",Halcon,H57,Integral,NA,Policarbonato,Adultos,Unisex,Simple,Integral,H57,NA,NA
8, Casco Moto Hawk Zx7 Mx Cross Negro Mate Tienda Oficial Full ,5995,6595,NA,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=z2ZaSYdrG9S4s3qG4e7adfouSJXwz03sD%2BuTyjjdb8LU%2FHwhOoROSaCI2grRVdLlSS5p14Sobu8jNTGtA34q%2BCVfMXLoDM92MQvRaML1H2v0IIZZ4koFRC%2FMY%2BhhUhxDIerQQrCP9EPUC7gwcSikGkdGcEJRQ6yfgAC76MTBo2gV95n6UYrrzbj22IZSWr%2BLMgGDD6lsD2s%2B75C%2BdgHPLsPn8G4XRvu9TJ1IUqg73MtL0Rib66AghgPKkq5gz3GyaTXWy%2Fgg%2BeENhHER4gqqBzZGoQd1mNbV9OwCZlkoAHQPrEZ%2FsnZj2xiID093UAp2m5xGLijAkzjUilUaWm6yphzPHTlP14NrTCKPbOFsXv4Jn1mWcbnu8TGuspGEkLGWPxmgkS3mPyMAZtoT6XlX9xSDaKC7AulTfo%2FjBvJ0vLeRAxdQN2TskqRFhaHmaIVK3Bi8F5a8HwiRwuOhXfjpHwMdv3tunEtqOUc1wdJb0ezQifv%2F4tRSsYtElamKN9eOlrWOBgA3ki44m0l3a8Gv%2FE6XPDb1rZsWl908QsclQHwh9O%2BmAdTu6k2Fe2X5%2F%2FkFfafwFDpCFSa0jd6V1HqGxURbn09Me0XJs%2BZ57pmW2PA23GxWu2pMH7%2F37qi88F15EvebqD50VrWys%2B6tYjUwgID14Wsy15V6KD4R9zmpugpiNjke0RDy8SrcSRkBHOr1mjS3CjbSrF6m7s3QnYQO%2FhN2fpGfi247looYJkkTwsVjY1b9R7BKNz8b5BK1bDQvTLFtnrRbgOK6dXQeLaWYdsHuKWg0dlLxbTIhJSoigZgqtI5Ey1FWIvdDDU5u%2FbItcfPe1A5itKasroWeWemftHPu8P2FomSoegbMLSqpGC%2B%2BKuaXjanuXuUoaoNT3ocAk%2FniKOxfd7%2FqY0RVdrl91HmB6%2B8%2FgRu8y79VP435aUmw5cp4KzX6LwWVZIVDonYakk2IxhZVMhKlsdU3%2BHq5ZsKzieHT1ol4jLr%2Fh6qQbsgBIIHfptbVWWZJmK8v%2F6Slxku%2FAIg3b73l0GGv6967%2FC4D9IRjJWmxMFU8b22%2F8O7bP2AX8BwmwKLeo79TI%2FulkGDak0Ye8s1U%2B%2BJ%2BO4PmWECag8JjHGUTcUVYJjnFbi%2FOZPTasSM2FC4%2BlJBLVjI1GLUg99ZzQecxsiaq%2BhnTimw99xKv83pa%2FI2jQ0Ugk48sY24k%2BvBpmfWXkJx46UN2Gz1m6a4%2BOtfXvHOxITRMVVIcLVYh8xiA%2FV5h3843ILCvh4iglNlZy%2Bqa7jT0S2kunuKqGkksjTkAhtLh5sFTUXE2o4JvsiMZ0m8Rv1phGDfzfkMfcI8e%2B8OQkl1wC52hc1YpqljUM0cia4oQeS87UWRjVP9DJC1KoX9aZB3pRLHJjUBmq16zqLnvxMbXjea%2FAI92A1bJINKBhUjsdhQ8LsHyoJR%2FuWLtT66%2BrdqhOUXzQDe7aEj344ZBqtXOCeh7keAQR1rbk9ZtzVhkEIHb7BY%2FuaKfVuf04cNulBrOWW%2F3kNTpV57jbNJCnPaDZB6xT62ggKvlknPyTVAa8Y%2B0PO%2BDZ1Qf37rmmx1QLvP4NvyyfS%2Fbkc%2FRWojqSvNPtssWTzt8%2FP4gLp2nG%2ByAsrH9lT%2Fi%2B4fJiXEhDVEINVlE7Zq1diUR%2BQAq6k4J6CtObF6F%2BfRtaZyRCeqyK%2BhYPoPZK%2BLn737bO%2BLNkeZHoWqCNuTBg4k2%2Frpa5ZuOuERAR1Havn5rE%2FSttUikB3apXfF5m0GsXZazSqt7KQ9p435TSHIaLa7BKkboVd4uH%2FW1D6%2FcelcyA8YAWsYnaIiiu0QbptKaHmgN%2FZRpkLq%2FAcXSaezINyoY6xcEf0oXeaz1AxXLl3tPfsDO3A9p6JpR,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
9, Casco Moto Integral Doble Visor Vega Rs1 ,2840,2990,172,12,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
10, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,2930,3999,322,121,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,888,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,564,235,56,16,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Cuero sintético,ABS,Adultos,Unisex,Doble,Rebatible,RS5,Urbana,NA
