search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
1, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				144
				vendidos
			
		",(107 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,60,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=36493162676,41,12,6,0,1,#669501641,NA,"S,M,L,XL,XXL",KOV,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
2, Casco Moto Accesorio Kukulk Kov Dot Abatible Varios Colores ,"1,249",NA,"
			
				Nuevo
			
			
				
					 - 
				
				242
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,82,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,64,14,2,1,1,#564429987,NA,"CH,EGG,EG",Kov Parts,Kukulk,Rebatible,Legacy,Doble,ABS,Adultos,NA,NA,NA,NA
3, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,"
			
				Nuevo
			
			
				
					 - 
				
				120
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 26883
		
		 sin intereses
		
	

	
		",83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,17,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498475,17,0,0,0,0,#654427065,NA,S,Scorpion Exo,Covert,MODULAR,Covert,Simple,Policarbonato,Adultos,EPS,Unisex,NA,NA
4, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1408
				vendidos
			
		",(2870 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,98,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,67,22,4,2,3,#552218947,NA,"M,L,XL",INNOVANDO,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA,Unisex,NA,NA
5, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,569",NA,"
			
				Nuevo
			
			
				
					 - 
				
				170
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8717
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,8,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,7,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM,TALLA S 55-56 CM",HRO,3400 DV,Rebatible,Abatible,Doble,ABS,Adultos,Poliestireno,Unisex,NA,NA
6, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,"
			
				Nuevo
			
			
				
					 - 
				
				135
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8883
		
		 sin intereses
		
	

	
		",83,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,NA,NA,NA,NA,NA,#650438989,NA,"L,XL",Faseed,Graficos,Rebatible,Mask,Simple,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
7," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				689
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3056
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,93,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,62,18,11,0,2,#610879940,"Negro,Azul,Negro,Negro mate,Plata,Rojo,Tribal,motogp","S,M,L,XL",Promoto,A107,Integral,CERRADO,Simple,ABS,Adultos,Poliestireno,Unisex,basic,NA
8, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,189",NA,"
			
				Nuevo
			
			
				
					 - 
				
				127
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6606
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,124,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=2CY38prbUk4OGgydAuDyMxWPFbA1qsk0pdgrRM0IhIQhyQN8I9zzo2xan6IbFEIkrWH1gE998U4V3fY28tzvbPVUE1iKgnEHIfX3iFNZZFla8xY%2BH6onYENeGcVTlUPxz7r%2BxU3SFz5eNOMXN639X%2BdWj4Eh8MWIju1uROc6H1WPpySfVigOPUZJLXhv9mI7bUUd2M6MTv5Dhb0rcJaoeReKs8oa97egwQQOy3TNFnhJNvmpo0ixClpRTDvtmb5dnmAP7p2iORoX7JTmtYWfDdPC6wbGS5JzQCNa35UfMNquqyKp61yrNVp6Z%2FkJL%2BRQ2SKCsF2vohdTlhri%2BpilQhdR1gytfXro9zEfZDouhsHqVn4hOoh7S6dBO4osH4zHQUshafztcQGexmSI8nt%2FzOu4tyL0empKUf0rXthvl2U5m746KacUKEkFnYbkeb41qhVZ1aSUbpHIxB1Km%2F8dl%2F5xDh2lBLBPrALTmMd3Lu1lTzNmgV6SdQJw0jjxXlLW7rClpHgfbI3Wv7Efqv7FeqAXf5gfbOm8IoufGqg7yXNcCcbUpQG7MLcYIOMMJJN5RAqt%2BUTnvUJD%2FW%2BPm7QotJvbIYXxvKdp8ZbFG7kTUu%2B1WPZuO7%2F2OTQmQC4vObrbqX3o96aiyd4MJNDizwjevaS7%2BG4bVwRltlF92P5wIIKcvTTFQ1gyM20lzXC2McvbSpqG%2Feb2XeyiBXl%2BqC5JGTfk%2FV26zJc%2BpsXYRllFFWEGG%2FtobLJXFtDqFacLtjkkfuNwFBfMBQEpvo%2FrkoQ33xJEM%2B0hEsKXfE5gEoZiJcXMqc2qcL6hj46qHVH6wxGS88dQxwFqgJOScooKFyStLTz6bG08Kb9snWH%2F0wBgccxIPRqcX9wA2SRF5YpYtLIpUFp8hXZem8TyFLVuOEIK%2FdVF8GUFo3HHZ8hL%2BmqbbWle71fYn5w7RDObFU1Q9yiiaXnawJYMhe5AXlO7hGOoY2gmW4ErxQhOzr7R2XhO6%2BLn%2BLVBuFNSxoMyrKhGAdHmzd%2FqGoA8Y0bm1S2YEW4ges5KYZdPT4zQrsNK%2BvVyObRokd49bK1AEfNDRDSu2AG4eCZU6LjOyfRq0KrLveB5KlJyz3vH2nvJePCTnkcrsYoqeVKb9NGe8FdXXQUqOp0aEjasMHXGPmDwPhzHrljY0PPuONcFz4637Pc%2BEJCTgW9rormuFIzvweQcXm5P0rNd0Erqr8%2BAODPoxmK8yMXINeXEi5b2HfgFmAw%2F5bFP21V4VYq%2BBYk7%2FLubj8uCbdwOGIyOHncFf0wcqdm%2F0G68IYqOK%2FJBih%2B746NDg5Pc5Fmw40VeYO8J3%2FrQmmjoJYpuM3OCwJGqCnQLXbz2TSMJlp%2B4FOTKCX9iERuRKSXNPAn0OtoWPJQmE%2FfXoEY1jRo8sPR%2FFNFJ8n5NY%2F7r07y5w9eVJa2nfUG3pfK6RGjTYrqY91AuFUsCP1hzqsGdToUWOjN%2FhKOVsJVD4Eky83I%2FSyK8HyOl5eIrw%2BLptkUH7hGmXF2xduxsoxF0I0Sfb0qIV0N4%2BM%2B8ltHBTQ90Q6D5R0j8PJ3cfqzKeLhFHxWmiKiw6zR4KiCQSNgIJXHfMll%2F8a6nv705aSSN3MBHj5Nm8ykeGX1iy9dDkBzqYwn6TkKS2%2F0Y6jmXnxvLZvaiSMXYR557KwDmxfwYFmyDmcISydbaUqhPoX1MGAoByBbf%2FssL5tjUF%2BAIXOlISfzZ1ujH8MciDpg0vDYRrtYPhCeLe8wFEF28%2BWw46w28ThEoL5fUQITFuWvzuPHPdyad6SH2AUKVNKE%3D,96,20,5,1,2,#660781205,NA,"L,XL",RODA,Revenge,Rebatible,MODULAR (ABATIBLE),NA,NA,NA,NA,NA,NA,NA
9, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,"1,550",NA,"
			
				Nuevo
			
			
				
					 - 
				
				80
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8611
		
		 sin intereses
		
	

	
		",11,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724710,7,0,0,1,0,#687886875,NA,"S (55 - 56 cm),M (57 - 58 cm),XL (61 - 62 cm),L (59 - 60 cm)",Faseed,FS-726X,Modular,NA,Simple,NA,Adultos,NA,Unisex,NA,NA
10, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,279,349,"
			
				Nuevo
			
			
				
					 - 
				
				273
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1551
		
		 sin intereses
		
	

	
		",51,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=31056556403,3,1,1,0,0,#657032837,NA,Unitalla,OEM,Recto,Integral,LUCES,NA,NA,Adultos,NA,Unisex,NA,NA
