seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
ESE QUIERO,http://perfil.mercadolibre.com.pe/ESE+QUIERO,4,4 años vendiendo en Mercado Libre,2494,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1184,Negativa (22),Neutral (124),Positiva (1038),"Lima, Lima.",NA
MERCOMAX SAC,http://perfil.mercadolibre.com.pe/MERCOMAX+SAC,4,4 años vendiendo en Mercado Libre,347,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,168,Negativa (1),Neutral (9),Positiva (158),"Lima, Lima.",NA
FULLMOTOSPERU,http://perfil.mercadolibre.com.pe/FULLMOTOSPERU,9,9 meses vendiendo en Mercado Libre,63,NA,NA,NA,44,Negativa (1),Neutral (2),Positiva (41),"Lima, Lima.",NA
TECH-COOL,http://perfil.mercadolibre.com.pe/TECH-COOL,10,10 meses vendiendo en Mercado Libre,62,NA,NA,NA,43,Negativa (3),Neutral (2),Positiva (38),"Lima, Lima.",NA
ZOYUO,http://perfil.mercadolibre.com.pe/ZOYUO,9,9 años vendiendo en Mercado Libre,3951,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1663,Negativa (14),Neutral (70),Positiva (1579),"Lima, Lima.",NA
PKIMPORTS TIENDAVIRTUAL,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,2,2 años vendiendo en Mercado Libre,424,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,203,Negativa (6),Neutral (47),Positiva (150),"Lima, Lima.",NA
NEODEPORTE PERU,http://perfil.mercadolibre.com.pe/NEODEPORTE+PERU,3,3 años vendiendo en Mercado Libre,1409,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1092,Negativa (2),Neutral (12),Positiva (1078),"Lima, Lima.",NA
IMPORTGMR,http://perfil.mercadolibre.com.pe/IMPORTGMR,9,9 meses vendiendo en Mercado Libre,15,NA,NA,NA,15,Negativa (1),Neutral (2),Positiva (12),"Lima, Lima.",NA
MOTORACINGPERU,http://perfil.mercadolibre.com.pe/MOTORACINGPERU,1,1 año vendiendo en Mercado Libre,215,NA,NA,NA,118,Negativa (0),Neutral (3),Positiva (115),"Lima, Lima.",NA
CADI.PE,http://perfil.mercadolibre.com.pe/CADI.PE,12,12 años vendiendo en Mercado Libre,18325,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7825,Negativa (4),Neutral (211),Positiva (7610),"Lima, Lima.",NA
URDY3938582,http://perfil.mercadolibre.com.pe/URDY3938582,7,7 meses vendiendo en Mercado Libre,17,NA,NA,NA,13,Negativa (0),Neutral (2),Positiva (11),"Lima, Lima.",NA
WWW.SECTORAUTOMOTOR.COM,http://perfil.mercadolibre.com.pe/WWW.SECTORAUTOMOTOR.COM,3,3 años vendiendo en Mercado Libre,643,NA,NA,NA,359,Negativa (1),Neutral (3),Positiva (355),"Lima, Lima.",NA
PEGASOPERU1,http://perfil.mercadolibre.com.pe/PEGASOPERU1,NA,NA,NA,NA,NA,NA,245,Negativa (18),Neutral (47),Positiva (180),"Lima, Lima.",NA
BUENASRUTASPERU1,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,6,6 meses vendiendo en Mercado Libre,30,NA,NA,NA,25,Negativa (1),Neutral (0),Positiva (24),"Lima, Lima.",NA
PRODUCTOSRS,http://perfil.mercadolibre.com.pe/PRODUCTOSRS,5,5 años vendiendo en Mercado Libre,325,NA,NA,NA,89,Negativa (2),Neutral (4),Positiva (83),"Lima, Lima.",NA
THONY_C,http://perfil.mercadolibre.com.pe/THONY_C,NA,NA,NA,NA,NA,NA,45,Negativa (4),Neutral (4),Positiva (37),"Lima, Lima.",NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,13 años vendiendo en Mercado Libre,134,NA,NA,NA,81,Negativa (0),Neutral (8),Positiva (73),"Lima, Lima.",NA
DIABLORACINGPARTS,http://perfil.mercadolibre.com.pe/DIABLORACINGPARTS,1,1 año vendiendo en Mercado Libre,18,NA,NA,NA,16,Negativa (0),Neutral (0),Positiva (16),"Lima, Lima.",NA
JOZJOZE,http://perfil.mercadolibre.com.pe/JOZJOZE,3,3 años vendiendo en Mercado Libre,27,NA,NA,NA,11,Negativa (0),Neutral (2),Positiva (9),"Callao, Callao.",NA
KECHVR.COM,http://perfil.mercadolibre.com.pe/KECHVR.COM,5,5 años vendiendo en Mercado Libre,578,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,317,Negativa (2),Neutral (9),Positiva (306),"Lima, Lima.",NA
DAVIDDVDARROVALIVE.IT,http://perfil.mercadolibre.com.pe/DAVIDDVDARROVALIVE.IT,3,3 años vendiendo en Mercado Libre,52,NA,NA,NA,30,Negativa (0),Neutral (1),Positiva (29),"Lima, Lima.",NA
EGMA5771778,http://perfil.mercadolibre.com.pe/EGMA5771778,NA,NA,NA,NA,NA,NA,9,Negativa (2),Neutral (0),Positiva (7),"Lima, Lima.",NA
9447CARD31041,http://perfil.mercadolibre.com.pe/9447CARD31041,5,5 años vendiendo en Mercado Libre,13,NA,NA,NA,9,Negativa (0),Neutral (0),Positiva (9),"Lima, Lima.",NA
MERCADOPERU,http://perfil.mercadolibre.com.pe/MERCADOPERU,13,13 años vendiendo en Mercado Libre,985,NA,NA,NA,3334,Negativa (12),Neutral (732),Positiva (2590),"Lima, Lima.",NA
CAJO5781133,http://perfil.mercadolibre.com.pe/CAJO5781133,NA,NA,NA,NA,NA,NA,1,Negativa (0),Neutral (0),Positiva (1),"Lima, Lima.",NA
JONATHANJONATHAN76,http://perfil.mercadolibre.com.pe/JONATHANJONATHAN76,NA,NA,NA,NA,NA,NA,23,Negativa (3),Neutral (2),Positiva (18),"Lima, Lima.",NA
VERONICAALCAZARNARVAEZ,http://perfil.mercadolibre.com.pe/VERONICAALCAZARNARVAEZ,NA,NA,NA,NA,NA,NA,8,Negativa (1),Neutral (1),Positiva (6),"Lima, Lima.",NA
KAISALAUTOMOTRIZ,http://perfil.mercadolibre.com.pe/KAISALAUTOMOTRIZ,1,1 año vendiendo en Mercado Libre,23,NA,NA,NA,5,Negativa (0),Neutral (0),Positiva (5),"Lima, Lima.",NA
QUINTANILLAMARIA,http://perfil.mercadolibre.com.pe/QUINTANILLAMARIA,7,7 años vendiendo en Mercado Libre,345,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,269,Negativa (10),Neutral (34),Positiva (225),"Lima, Lima.",NA
*TRUJILLO.VENTAS*,http://perfil.mercadolibre.com.pe/*TRUJILLO.VENTAS*,8,8 años vendiendo en Mercado Libre,610,NA,NA,NA,445,Negativa (0),Neutral (19),Positiva (426),"Trujillo, La Libertad.",NA
IMPORTACIONES LAKSHMI,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,2,2 años vendiendo en Mercado Libre,634,NA,NA,NA,342,Negativa (14),Neutral (38),Positiva (290),"Lima, Lima.",NA
DIABLORACING,http://perfil.mercadolibre.com.pe/DIABLORACING,3,3 años vendiendo en Mercado Libre,182,NA,NA,NA,130,Negativa (0),Neutral (5),Positiva (125),"Lima, Lima.",NA
MOTOSHOCK ZONE,http://perfil.mercadolibre.com.pe/MOTOSHOCK+ZONE,6,6 años vendiendo en Mercado Libre,139,NA,NA,NA,36,Negativa (1),Neutral (6),Positiva (29),"Lima, Lima.",NA
PERUPROYECTOS,http://perfil.mercadolibre.com.pe/PERUPROYECTOS,5,5 años vendiendo en Mercado Libre,249,NA,NA,NA,162,Negativa (4),Neutral (20),Positiva (138),"Lima, Lima.",NA
ONEDEALER,http://perfil.mercadolibre.com.pe/ONEDEALER,8,8 años vendiendo en Mercado Libre,53,NA,NA,NA,52,Negativa (1),Neutral (8),Positiva (43),"Lima, Lima.",NA
SEMA617314,http://perfil.mercadolibre.com.pe/SEMA617314,NA,NA,NA,NA,NA,NA,35,Negativa (1),Neutral (3),Positiva (31),"Lima, Lima.",NA
HERCRU_PERU,http://perfil.mercadolibre.com.pe/HERCRU_PERU,10,10 años vendiendo en Mercado Libre,62,NA,NA,NA,34,Negativa (0),Neutral (3),Positiva (31),"Lima, Lima.",NA
ADVANCEMOTO,http://perfil.mercadolibre.com.pe/ADVANCEMOTO,13,13 años vendiendo en Mercado Libre,60,NA,NA,NA,37,Negativa (0),Neutral (6),Positiva (31),"Lima, Lima.",NA
CAAN6094005,http://perfil.mercadolibre.com.pe/CAAN6094005,2,2 años vendiendo en Mercado Libre,104,NA,NA,NA,61,Negativa (1),Neutral (3),Positiva (57),"Lima, Lima.",NA
GANDHYND,http://perfil.mercadolibre.com.pe/GANDHYND,12,12 años vendiendo en Mercado Libre,120,NA,NA,NA,68,Negativa (1),Neutral (17),Positiva (50),"Trujillo, La Libertad.",NA
ROBERTELIMANRIQUEBRINGAS,http://perfil.mercadolibre.com.pe/ROBERTELIMANRIQUEBRINGAS,3,3 años vendiendo en Mercado Libre,15,NA,NA,NA,4,Negativa (1),Neutral (1),Positiva (2),"Lima, Lima.",NA
DR.ORTIZ28,http://perfil.mercadolibre.com.pe/DR.ORTIZ28,NA,NA,NA,NA,NA,NA,27,Negativa (0),Neutral (8),Positiva (19),"Lima, Lima.",NA
