search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,"
			
			
				
				3736
				vendidos
			
		",(701 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1249
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1716,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1237,333,95,23,28,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,"
			
			
				
				3703
				vendidos
			
		",(1757 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,4.6,1580,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1169,277,100,15,19,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA
3, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				1925
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,71,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517002,41,12,13,1,4,#1133429702,Laranja,58,Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA
4, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,161,"
			
				Novo
			
			
				
					 - 
				
				810
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1290
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,79,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,51,18,6,3,1,#960763001,Preto,"56,58",Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,144,"
			
				Novo
			
			
				
					 - 
				
				2189
				vendidos
			
		",(40 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1403,397,183,62,69,#1071430308,,"56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg
6, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,379,449,"
			
				Novo
			
			
				
					 - 
				
				40
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,328,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=7GC9WGbiMJgF%2FE6XHZulumyReJaYG8A3CRnsYxAahcCMn6OGflL8s6yJ%2Bj7YVDOOehjZXMqxinBsXsgb0WWlyByJop%2FHErY0guKDRtC8s5TK93x0ZDKV7RsFpyYSiJll2HDWiX160GZKbPQk3Zb9GL0ZCnXk3PgfTW0FVzFwkBfeMjmh1pOZgev5k0E45f%2BxfBNPKaEMLYnxJ8Msgfj8BK%2BWTNZOVFvO5pO0up9MQRZc8RHpsels4DFp%2BkHPqd%2BfKJzr51m8b5NjeGjP85qOkxigNBjOMind6PeIu3Ap%2BK84lJQEo2DK%2Bkl4H0fD3hBOz34%2B6IM8TT4fIdUu1%2FIAwsJ6I3vr7ZwIcPxxIcy%2BtoJYJC8WhwvEDhFTgQUVYXMtpqL%2BKQ1optunJdxVogvKS%2Fo5EqPftfVK5aTYpRI5TZA63Jk7Z4DY%2FCrbghksEg9t%2F1tcngmvI45hbwOi2ZeO4IUJlmvxpyICmpwQ7mLWVqil1va%2BLoA9VeYS5NomlHL4GtpVmAGf8Kog7BH2honCOVOMDaVZB4bAg6rDrb6oSiinTVR8vo6gu39pAYJjEbbdhI8oO8%2FwOAHN%2B%2Faltx%2F%2BCqpIp20mo5qgI5kLpb4ZeWJU97kX9W0P4JdZmxYKjYg6%2BlwVXyoDaxnwQ6zVFi1NLZR8KlKFoeqe0MXwmQQAKU6kjIyEdtcWlE%2BQQ8kntybQl5HPQCGr0ZnMk9eZwaDgFaomEnTSi0VJ9FJWbSZfLch6fM4nZ9HRKUdonJwsX%2FVd3jUndRw6Zz90dtPCc2gFkiNubdUVUq3Lqx1jmmsA8oC67vwZKUEYcwJBvOfjiNe6V8KKiBJ0KzHlZlsyAOYBmBePKX7qV2UQFj%2F2VR87oNgT7gTIQLhEanjA1siNh3FjITqmVhVhqgThOaBzrECP9l%2BwoiwmojGUFM7YLGgJkq4ZEXgSNdx222PwmfBqKx5sDbCc6bRnaBtU0zdfs0D04MGmkPuiHr901S4wn%2F1y%2FNYNeo41YB8il%2FiQnSQL1zyeHlm79I%2F5WcpOcfp8ce1Uwyq%2FSgANNTtDdW01Dx5XU5DjOdQusHm5vDc2NGud5AedCGnJZG4cLJSVcnIsyAyhOG9D9YtSUd3Rqg7YWxWiynluFdx0sTZzOH%2FWQgDs0V2Lx2%2BDj1WWZ%2FchwLKU5E%2B9gHtD2CUg1bt0ORVD4wpeO%2FbqZ8MA6ixzdwuD%2BLZ7%2FOI940hsktGClW12NHJWnoZGmpnOlRuecfNxkKs3XuFQWeJXEezBaxL%2BAlQnQxaEpjgQ6NAKpIvFAVod1Fw1NwOn16dQGgf8UFoGLVzydpPrL61vserkOz7xcSAX0LQxMlwspYdLxajBhcihp6NnFtxofYo0JTHYFDaNb1LqpNGB3p%2Fe64v6Xrg%2FsXpeZEBRt7BhIAhiBFpNmRgGPMUoptasCCLqpqZGmcaqIVGDlqtoeO7vfh2IRK6XE0BPTO%2BpxinyHiJ8gduLYUBIkVLSnYMHKIhS%2B37ksZeCq%2Bxsu6WkdRHDDvCmIRTpfmBvt9wwCaUNT%2F6CSBZFmZstjSxFWtZR2%2FbvLPrW9mNLAANt%2Fh5YmmXdwWr5zL8c7XvrUmywYKnh5cvGLU%2FXwmtdcjDhpycFA3E074mBK%2BTwasVyOtrapT5%2BnnrKitrx8uGwUAqC2kQMwjqlcB9B7YxZvlksFrhe5%2FegwfQfofJqeiK22RBicoiEzzhh8xEkg5ZFKeLLBH8o4hYKAWRWBf6G%2B9dCi97h9UZ%2BBhF%2FnvMtTeuLGF0CA3C5UaDP1UUewRwV8qxjroBha1PjXFKh4neDAfnUgXsrQFA1U3q3KgLXa22kReQibnxJkADmSYPQpaGRQXwgOHxf7AXHDkfY1wgbjykZkuf5cA7wdVCJdQ%3D%3D,264,42,18,4,0,#1153520502,Preto - Fosco,"56,60,61",NORISK,FF391,FF391,Integral,Simple,NA,ABS,Adultos,Unissex,NA
7, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,133,NA,"
			
			
				
				889
				vendidos
			
		",(51 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1116
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,209,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,165,31,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA
8, Capacete Norisk Ff391 Preto Fosco Capacete Moto ,57,NA,"
			
				Novo
			
			
				
					 - 
				
				1567
				vendidos
			
		",(590 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1587,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1049,339,144,32,23,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA
9, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,144,"
			
				Novo
			
			
				
					 - 
				
				640
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1403,397,183,62,69,#1162746915,"Azul,Verde","56,58",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
10, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,"
			
			
				
				737
				vendidos
			
		",(1439 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 824
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,2115,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1403,397,183,62,69,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA
