seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
LUJOACCESORIOS,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,4,años,1167,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,217,1,2,214,"Bello, Antioquia.",meses,4
IMCOVALLE SAS,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,1,año,1063,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,225,5,3,217,"Cali, Valle Del Cauca.",meses,4
ADRIAN`S STORE,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,10,años,502,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,130,1,1,128,"Bogotá, Bogotá D.C..",meses,4
MUNDOTACIONES3,https://perfil.mercadolibre.com.co/MUNDOTACIONES3,9,meses,43,NA,Brinda buena atención,Entrega sus productos a tiempo,22,0,1,21,"Puente Aranda, Bogotá D.C..",meses,9
AFMPUNTO2,https://perfil.mercadolibre.com.co/AFMPUNTO2,2,años,595,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,165,3,7,155,"Bogotá, Bogotá D.C..",meses,4
COJE1458660,https://perfil.mercadolibre.com.co/COJE1458660,3,años,859,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,134,0,1,133,"Bogotá, Bogotá D.C..",meses,4
LUJOACCESORIOS.,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,2,años,67,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,12,1,0,11,"Bello, Antioquia.",meses,4
MYTECHCO,https://perfil.mercadolibre.com.co/MYTECHCO,12,años,172,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,55,0,1,54,"Bogotá, Bogotá D.C..",meses,4
OSSA3358167,https://perfil.mercadolibre.com.co/OSSA3358167,1,año,277,NA,Brinda buena atención,Entrega sus productos a tiempo,59,4,1,54,"Bello, Antioquia.",meses,4
POSA4722849,https://perfil.mercadolibre.com.co/POSA4722849,3,años,370,NA,Brinda buena atención,Entrega sus productos a tiempo,195,4,3,188,"Cúcuta, Norte De Santander.",años,3
