seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
RUBIBIKES,http://perfil.mercadolibre.com.uy/RUBIBIKES,12,años,2214,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1597,2,9,1586,"Buceo, Montevideo.",NA,NA
MOTO_TORRE,http://perfil.mercadolibre.com.uy/MOTO_TORRE,10,años,3273,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3393,0,245,3148,"Aguada, Montevideo.",NA,NA
CAFERACEUY,http://perfil.mercadolibre.com.uy/CAFERACEUY,6,años,655,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,475,2,31,442,"Malvin, Montevideo.",NA,NA
GKMOTOS,http://perfil.mercadolibre.com.uy/GKMOTOS,10,años,282,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,222,2,8,212,"Cerro, Montevideo.",NA,NA
URURACER,http://perfil.mercadolibre.com.uy/URURACER,9,años,919,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1177,9,204,964,"Cordón, Montevideo.",NA,NA
ALLROADURUGUAY,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,5,años,711,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,460,2,13,445,"San José de Carrasco, Canelones.",NA,NA
MOTOSHOPSRLMOTOSHOPSRL,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,2,años,7175,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,4523,2,58,4463,"Centro, Montevideo.",NA,NA
NANY MOTOS,http://perfil.mercadolibre.com.uy/NANY+MOTOS,6,años,135,NA,NA,NA,65,1,2,62,"La Teja, Montevideo.",NA,NA
INTERNACIONALRACEIMPORT,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,2,años,262,NA,NA,NA,189,2,3,184,"Rivera, Rivera.",NA,NA
WINSTONG2010,http://perfil.mercadolibre.com.uy/WINSTONG2010,9,años,333,NA,NA,NA,204,1,1,202,"Melo, Cerro Largo.",NA,NA
FISHCOMPANY URUGUAY,http://perfil.mercadolibre.com.uy/FISHCOMPANY+URUGUAY,3,años,1743,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1050,7,19,1024,"Brazo Oriental, Montevideo.",NA,NA
SEJO2377096,http://perfil.mercadolibre.com.uy/SEJO2377096,4,meses,8,NA,NA,NA,7,0,0,7,"Centro, Montevideo.",NA,NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,año,5026,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2332,31,306,1995,"Cordón, Montevideo.",NA,NA
AMERICANDREAM URUGUAY,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,7,años,262,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,142,2,0,140,"Carrasco, Montevideo.",NA,NA
POCHOMOTOSPB,http://perfil.mercadolibre.com.uy/POCHOMOTOSPB,10,años,2598,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1126,17,43,1066,"Piedras Blancas, Montevideo.",NA,NA
MADEINCHINAUY0,http://perfil.mercadolibre.com.uy/MADEINCHINAUY0,6,años,18358,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,11814,128,474,11212,"Tres Cruces, Montevideo.",NA,NA
JUGUECTILCOM,http://perfil.mercadolibre.com.uy/JUGUECTILCOM,4,años,2442,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1487,0,12,1475,"Tres Cruces, Montevideo.",NA,NA
ALARMAS URUGUAY,http://perfil.mercadolibre.com.uy/ALARMAS+URUGUAY,1,año,217,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,161,2,13,146,"Cerrito, Montevideo.",NA,NA
VIRTUAL SHOP.,http://perfil.mercadolibre.com.uy/VIRTUAL+SHOP.,4,años,154,NA,NA,NA,82,0,5,77,"Delta El Tigre, San José.",NA,NA
NAHUELARAUJO10,http://perfil.mercadolibre.com.uy/NAHUELARAUJO10,5,años,845,NA,NA,NA,566,15,25,526,"Chuy, Rocha.",NA,NA
VAIMACAMOTOS,http://perfil.mercadolibre.com.uy/VAIMACAMOTOS,6,años,1763,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,938,11,24,903,"Otras, Montevideo.",NA,NA
TYT DEMARTINI,http://perfil.mercadolibre.com.uy/TYT+DEMARTINI,3,años,16922,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10536,14,182,10340,"Manga, Montevideo.",NA,NA
ROUMAX DIRECTO,http://perfil.mercadolibre.com.uy/ROUMAX+DIRECTO,NA,NA,NA,NA,NA,NA,170,8,7,155,"Aguada, Montevideo.",NA,NA
TRILPARK SA,http://perfil.mercadolibre.com.uy/TRILPARK+SA,2,años,216,NA,NA,NA,167,1,4,162,"Tres Cruces, Montevideo.",NA,NA
FAMAELECTRODOMESTICOS,http://perfil.mercadolibre.com.uy/FAMAELECTRODOMESTICOS,5,años,10964,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7167,39,178,6950,"Paso de la Arena, Montevideo.",NA,NA
JUGUECTIL COM,http://perfil.mercadolibre.com.uy/JUGUECTIL+COM,4,años,231,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,100,0,0,100,"Maldonado, Maldonado.",NA,NA
Salvador Livio Tienda oficial,http://perfil.mercadolibre.com.uy/SALVADOR+LIVIO?brandId=210,3,años,11111,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7577,1,105,7471,"Centro, Montevideo.",NA,NA
