search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco,Línea,Tipo,Edad
1, Casco De Moto Para Niña Princesas Aprobados Por Latu ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(20 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455463403-casco-de-moto-para-nina-princesas-aprobados-por-latu-_JM,NA,NA,NA,NA,NA,#455463403,Blanco y Rosado,Mixx,Selfie,Integral,NA,NA,NA
2, Casco Rebatible Con Lentes Hawk Negro Mate ,2500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				86
				vendidos
			
		",(36 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13889
		
		 sin interés
		
	

	
		",89,NA,Entrega a acordar con el vendedor,NA,NA,4.6,14,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-451740128-casco-rebatible-con-lentes-hawk-negro-mate-_JM?searchVariation=40474244677,11,2,0,1,0,#451740128,Negro,Hawk,NA,NA,NA,NA,NA
3, Casco Hjc Moto Cs-15 Liso Negro Mate Con Visor Oscuro ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(5 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27113
		
		 sin interés
		
	

	
		",13,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-458020157-casco-hjc-moto-cs-15-liso-negro-mate-con-visor-oscuro-_JM?searchVariation=39013534296,NA,NA,NA,NA,NA,#458020157,Negro mate,HJC,CS-15,Integral,CS-15,NA,NA
4, Casco Integral Ls2 Negro Liso | Oferta! Moto Protección ,69,75,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13459
		
		 sin interés
		
	

	
		",59,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-451251909-casco-integral-ls2-negro-liso-oferta-moto-proteccion-_JM,NA,NA,NA,NA,NA,#451251909,NA,LS2,NA,Integral,NA,NA,NA
5, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(5 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM,NA,NA,NA,NA,NA,#459212375,NA,Vento,NA,NA,NA,Integral,NA
6, Casco Nash 3/4 Abierto Con Visor Y Lentes Con Protección Uv ,32,35,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6242
		
		 sin interés
		
	

	
		",42,NA,Envío gratis a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-460324842-casco-nash-34-abierto-con-visor-y-lentes-con-proteccion-uv-_JM,2,0,0,0,1,#460324842,NA,NA,NA,NA,NA,NA,NA
7, Cascos Para Motos / Mt Helmets Stinger / Acero Blanco ,86,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(82 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 16775
		
		 sin interés
		
	

	
		",75,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456282940-cascos-para-motos-mt-helmets-stinger-acero-blanco-_JM,NA,NA,NA,NA,NA,#456282940,NA,MT Helmets,Stinger,Integral,Acero,NA,Adultos
8, Casco Moto Rebatible Hjc Rpha90 Mate Black Fibra De Carbono ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.34588
		
		 sin interés
		
	

	
		",88,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460267841-casco-moto-rebatible-hjc-rpha90-mate-black-fibra-de-carbono-_JM?searchVariation=40283787148,NA,NA,NA,NA,NA,#460267841,Negro,HJC,Carbon,Integral,RPHA 11 Pro,NA,NA
9, Casco Ls2 Mx436 Pioneer Trigger. Negro/blanco ,161,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 31404
		
		 sin interés
		
	

	
		",04,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-450751215-casco-ls2-mx436-pioneer-trigger-negroblanco-_JM,NA,NA,NA,NA,NA,#450751215,NA,LS2,NA,Cross,NA,NA,NA
10, Casco Integral Maxx Varios Consulte Talle Y Color Disponible ,1230,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(6 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6833
		
		 sin interés
		
	

	
		",33,NA,Entrega a acordar con el vendedor,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-443908518-casco-integral-maxx-varios-consulte-talle-y-color-disponible-_JM,12,4,1,0,0,#443908518,NA,NA,NA,NA,NA,Integral,NA
11, Casco Moto Rebatible Givi X16 Voyager Antracita Con Lentes ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(24 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 42717
		
		 sin interés
		
	

	
		",17,NA,Envío a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-446875319-casco-moto-rebatible-givi-x16-voyager-antracita-con-lentes-_JM?searchVariation=16566253194,3,0,0,0,0,#446875319,"L,M,S,XL,XXL",GIVI,X.16,NA,NA,Rebatible,NA
12, Casco De Moto Para Niño Aprobados ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(19 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455324466-casco-de-moto-para-nino-aprobados-_JM,NA,NA,NA,NA,NA,#455324466,NA,MIXX,NA,Integral,NA,NA,Niños
13, Casco Moto Hjc Is-17 Arcus Mc-1 Con Lentes Incl. ,259,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 50519
		
		 sin interés
		
	

	
		",19,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979871-casco-moto-hjc-is-17-arcus-mc-1-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454979871,NA,HJC,Arcus,Integral,IS-17,NA,NA
14, Casco Moto Husqvarna Motorcycles Gotland ,890,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.73599
		
		 sin interés
		
	

	
		",99,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=z7snOjZfEGkztw4tTaIQVFSkiDMn2Imwa7K730%2FNeh7mfA6n4v66%2FE3tZQoCBIDQggWC1lpFLmeXOCqtOxm%2FRTuGFsdX2Q%2FBgg2mfu8PvfoN%2FSq8EQg%2FzvcA2JNLD%2FWtE86sJQIq620elVOtY6LKLCMsqFHTYH9Rl6YgNCtN1P1lRsDJxvVuqSk0wNM8%2BfaUesIJNP22utS2kErzHbs4K6pNVr9mYkmpwOJ7stR26gQBNBPTu4wiq9gDQrH00smVAups6uvjDRukk%2FxuGEdh8h7jXGih119Zl5YLHETAexQJEYzlleNcOv%2FXN3U82ipJYLjMks%2BbeyN5DmJIfCMayWZ0K1OohReQurRB27wbfN3e%2Bor4n1H6mhwXRZLaBjRv2AY2C4aUyGER8T9HmjLdgcMJ1h%2Bm0Y2u0Saz0X7%2BtbfJoa9VQgSeINelYwHmOw0hVr1h%2BcCdLzHncwTBW6PWVxlLOlCOy%2BXoU5Y3%2FKkZlxo5qBYK9z2TcLuV%2FsUO8ZVjtj671oKfU2qaLcdJbH17Y06IldHwf8K6r4X5pZFc0JG6nhxq6WqVxySyslJWS%2FvUQIcUJrfDdcNeclCz8UNiKkkNPol%2FUL57%2FblkPTymqM4akJw0TJ1elVPwQIxtBGMCiPxAd%2FCo95TPlAyYAvFJJQH5cTiTN4ngwy%2Bo%2FY0s0vVLSLfBkHSFq3I1tmiX8WlYdkS4dE3YT7v9khiPUnpGYhLXqpiayZ2Zx%2B7EOO84CIuizsMtiwiUzERDxFAEuZoiwiah%2FAkHDWwIveXwsLEHeh5fr5Hdx7o4as7gJmpm6%2Bg8%2BsOwHu6%2BbdHQr%2F01HuPszVspLWHI3QcgRGnbO2T7w%2Ff6IMlrwWBRnkXM7tfBNbyVy6N4KrdZczjlnj7n7OH9%2F9PGMl2hirijo0UfaaJgHAeuwy6Ozad55yp2jq7btxLvs9%2B3hYV0EDacTyc89PqAb788pUEMhjm02g5KWwWzsILv0%2BSZOj9m2ledHxM0BFVnUxG1vfGhSvN1QOWpfDAJQAoydbIzNYzAHfi7lN8KSruTf68AfG6rNAVkpdb9SaQ5WzZ1aj85gAYKlC7xCnwxZe6NgTYDkRTxshaRE45RdU32QQhHL7BndxWWrKOK7LNfga80aercSZqmwzGfS0IC%2FBzpUCngEaqz5ZxWbmi%2BPfLxjAdJSii3TufzD37jZMuidMrYdswswclduuUOgZWy1wTSSDqcV2P1qLnw0ywiL%2FptQLBFgBWOhdZY%2BLKbQQPQIsmhpLBCp13uFJd6kX0m7q8Z6vE5C3%2FaflyVOxQxPJBMVqNK%2BtT1JVtaaXfWtr5lKjI3IcaAuIgXLXKC%2FFLcUbSN8kU45sCP16Wk7nf6n2WCAALhNQGMuUr8DW8csR7NtcajozjHhilBmxssKVxk77ceWU7kPVnlAvNwy7Ip5BsTbazUNjedzviGI%2F7RDCqlJcFBBOmX%2B4jwSQzIECKTB3PsUEojBDwOn6%2BAJens%2FsUl%2BxcoN7uvKof1QAGT9CQe%2BoM9NjS36CQIufWpZSbeBAxyCmK6vX2eQH74d%2FHZ6I82ewKP5Kdw1HAmgcd88r%2BQZFH4aIerii%2FLW7IOItK4nBUs3stti1yEqHxKk9wcvq3Gmy7dSCv4QZ5fI4%2FMTNxorSIsjc2KJUNaiEjOZCpE7%2FdsAXsJsCCvOT4xMSsswYcmhz7UyD8SbwbSbNZudKpvakX3xrTtU49yX13oO%2B8O%2B5FhRI2yVda%2BiauLxuflviL%2BvfyZTM7gpweZDdyUAy1R2F%2F7lOQvsowRyqmpbWj5VHhLSDYiou7t8JbNuXly6F4D8JDPWbqQji4zrj6duy3hG28%3D,NA,NA,NA,NA,NA,#459369166,NA,NA,NA,NA,NA,Integral,NA
15, Cascos Para Motos / Mt Helmets Stinger / Warhead Naranja ,86,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(89 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 16775
		
		 sin interés
		
	

	
		",75,NA,Envío a todo el país,NA,NA,5.0,6,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456303557-cascos-para-motos-mt-helmets-stinger-warhead-naranja-_JM,5,0,0,0,0,#456303557,NA,MT Helmets,Stinger,Integral,Warhead,NA,Adultos
16, Casco Moto Hjc Fg-70s Apol Mc-5f Retro Bobber Vintage ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 34915
		
		 sin interés
		
	

	
		",15,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979981-casco-moto-hjc-fg-70s-apol-mc-5f-retro-bobber-vintage-_JM?searchVariation=41153414535,NA,NA,NA,NA,NA,#454979981,Negro,HJC,FG-70 APOL MC5F,Abierto,NA,NA,Adultos
17, Casco Halcon Basic - Nany Motos ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(5 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NANY+MOTOS,https://articulo.mercadolibre.com.uy/MLU-460165753-casco-halcon-basic-nany-motos-_JM?searchVariation=39434346987,NA,NA,NA,NA,NA,#460165753,Azul,Halcon,NA,Integral,NA,NA,Adultos
18, Casco Moto Evs T5 Venture Dual Sport ,295,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 57541
		
		 sin interés
		
	

	
		",41,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=i5045jJ9egSRditjC%2BcUx2fJKKmqgNT6v629do%2BxiR9US%2Bm%2BtJ%2FwHgorK2Iy3POXGMGZrZaIzgfyLpFSccCfcMkJyXSwFCMC%2FfqZkvc%2FvAD4awF2Poo%2BJa5RcDZAxIMMhRLLgxvirz%2FXPf8XUpZRLIA%2BCHt6MySRGIUkWX8gd0kkc5K4n1vDEltEJa6vEDe4i3ugz8jrFQSToSuizsG%2Breim4qpYDTfHp1fjeKKrR54G56e2XowIR2I%2BTtwV5BmLs3UhVTv8FySk8dSbvLmtAsgzswak6K077KY%2FcjjC1DzxQymZbTSnHi5FRweGzLFb2dNYy9Fg9gGt8CP19VsE0yzzlxf34lEuH0Pwh4WDrW2plnrSgyN3VM8HF8Tzv%2BVzCkXsF3p%2Bt%2F4Rqp869N3x%2FJ1teZmyup%2BWdoQ%2FYx9AAqDQZVrn6goUJQ3HGAY2HKBjOeRTSgkXjdFVl1nKFwNI6JHMA9F2COfC2YPz3mZxTPbrCGhGLFxDMJFxN4x1PfXj5q6vuN2%2BHUiC%2BO18bXtTKqxuWUhWE3Rs2Q66U%2BCFkXjUwkaGfFSpFLXtdmspIzjYReDw5dMDIy8lH1%2Bb0OcCEu%2FcsXxwXunmry3RognvHeoZMNs4TeD9Ql2lwUuRekOYR2dKcUGP4CnOcWwmyw%2FC1%2FctXg7Ny8gS%2BTPqNoDYRa0gerYc9nst81r2tDVANpxLFw8H7ktxER51AmaPIElWsaiIJz5lNsOYJ9SoqP9ts82hH7OIQke7ks26dQbsGXotzz6GM7ZqTc3HzrsKJkGO44esT4DFRvBkE887BDUVf%2F%2FESsse1IpZSKY2q2FOuTsROaR9tRKSJsGHuZyoJ3x0hAUtOIyZClPHWpSEYVh77hwvzJBbP9cIQ%2BNmvb6q9kOjFq4%2FlsSIxbASYlpmmtQQAMF3m96amw82VYguNXCPf2v9Zbp%2FirEWb6VmT%2Bqu8jHoE4vrnLbyGq31ILatsNYtHAQ9rthZeg6bGQnOnBZruPLd6h%2BhaN6okRN8J6K0UkZhMi5pCwwaNnXw5lfEV00b%2Blh%2FkeAUh0nSJYzGrtyyRapNJbGaitO650RUR%2BMb1yER8iTVijxMtXEFeMIzrMkta6fRAHZJshCLWp0feQB9%2FNChywZCGWi8i8TLo756UEKPvnFa3RdFl%2F1Uo66hXip1FQad%2BN9yTGv2UmKmMxu2xNclDup9DYPzLZKA34Dn9N2GBDFMyS%2FxtXw%2BaMwhwegOzpe43RkBkjto4Kw59Y%2BgQPg2KP1CvhGG854qx4xSyZK%2FMw3fOyv2cDfJ8hFiCpxiAXr9FFfKKLs%2F2G0jkXiZBnYHPZZQwtFriBKMqGA%2BbiWzTEPeSRefle9dEUKBc0SU305Xv15npA8aOy%2B8iTYxZN6xHimFbXWbwPnxVIfjSXQn3HQ496Zt44CGMOxLjnuYrZjwMcRYDQiLUVLiqgBpBo0ryA0t0QG2KSeivyi8ZbvathTunR4ha6Qjaig%2Be3N3dWWwfl%2BTsKxJ7g7OK98bvregugNZMOoXqUsM4g8aiNaGx6c8Rr%2Fyc%2Fqp%2FbfPsaDcJObc91eHuNUT%2BTPs%2FfHaEaOVy89rbwbVR9zIl33OsVEZJGeIF%2FYGR8Q%2B1XJs%2FWtZE6LqEFj3aTn%2FA0Lr3KxElPnH9br2ubxUCbxOehB2eN2RXviXI3x0qtqlLkUEnIOk7kyLyD%2B%2FoQZTWPxFed8qQFlKEWYevdkOczn1XwZxlqnzpamyXRjxPgyt7wClV1%2Fc%2BibhmuUxmY1kWYO8iQeF1q%2Bp7lFJM%2B3uOUQfUBjj1RfDYJI3dRH02QNjM7Rhmsc%2Ff8oqFBqXVu8ORADuqp3WzA%3D%3D,NA,NA,NA,NA,NA,#459347885,NA,NA,NA,NA,NA,Cross,NA
19, Cascos Power Maxx Azul O Rojo Mate Modelo Danger ,1500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(11 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8333
		
		 sin interés
		
	

	
		",33,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453357554-cascos-power-maxx-azul-o-rojo-mate-modelo-danger-_JM,NA,NA,NA,NA,NA,#453357554,NA,NA,NA,NA,NA,Integral,NA
20, Casco Mt Thunder 3 Con Lentes Negro Y Verde Mate ,125,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(17 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 24382
		
		 sin interés
		
	

	
		",82,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453055870-casco-mt-thunder-3-con-lentes-negro-y-verde-mate-_JM,NA,NA,NA,NA,NA,#453055870,"Negro, gris y verde mate",MT,Thunder 3,Integral,NA,NA,NA
