search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Peso,Usos recomendados,Modelo alfanumérico
1, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,1773,NA,"
			
			
				
				354
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,314,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668371,211,66,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
2, Casco Moto Rebatible mt atom Transcend E7 Azul Brillo ,7337,8370,"
			
			
				
				15
				vendidos
			
		",(38 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,10,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-751405973-casco-moto-rebatiblemtatom-transcend-e7-azul-brillo-_JM?searchVariation=39729708196,5,5,0,0,0,#751405973,Azul brillo,"M,L,XL",MT Helmets,Transcend,Rebatible,Doble,Poliestireno de múltiple densidad,Policarbonato,Adultos,Unisex,Atom,1700 g,NA,NA
3, Casco Moto Integral Vertigo Max. Full. En Gravedadx ,799,949,"
			
				Nuevo
			
			
				
					 - 
				
				747
				vendidos
			
		",(97 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,47,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,34,9,4,0,0,#683109534,Negro,"L (60 cm),S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
4, Casco Moto Integral Vertigo Dominium. Full. En Gravedadx ,2399,2699,"
			
				Nuevo
			
			
				
					 - 
				
				829
				vendidos
			
		",(49 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,209,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,131,53,18,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
5, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,2736,NA,"
			
				Nuevo
			
			
				
					 - 
				
				989
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,893,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=26631103098,565,238,57,17,16,#639034451,Blanco - Brillo,"M - 58 cm,L 60cm,S 56cm,XL 62cm",Hawk,RS5,Rebatible,Simple,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,NA,Urbana,NA
6, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos ,1405,2108,"
			
				Nuevo
			
			
				
					 - 
				
				2276
				vendidos
			
		",(18523 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402200,185,66,33,11,2,#616668706,,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,Unisex,Integral,NA,NA,H57
7, Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx ,2754,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1404
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,209,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,131,53,18,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm),XL (62 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
8, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,2999,4198,"
			
				Nuevo
			
			
				
					 - 
				
				571
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,554,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=AnpyJljSwmBRGbluKzkMHngBtwQtVCuoBJ%2BtLy%2FRbkUFevkCsQRCprtzEtZlwJZr4F%2F9OWwaSsOhaW%2Bux1GkYDiCWO%2FLAjtA2bG7KtYDedw3qoSn8Ei03AFUCnIgGcK%2FuVSVlbbPjsxoYY490tGLsCIRQgh%2B4n7nsZDhe8bUeHe0ylB4%2BRBIol%2B48g1LQjcsk3MAllTmt9UcEaDDGfm%2BQ2ty2njtVCLsyB68rbKC%2FKslKG2L4vQQsB9LSfJdGhl0S%2FLzHys8rxanz76n6YHDO2FjdI1D8Xu3kDONMKIjdT56LCJO7SC43S6k1T5ntDenDmkzHauTCd%2BD%2Bot1YmcgdEz3liuxW5fa34Pi%2B8I%2BSFVUtEWDKigslZmvoNGS%2BLXHm65d2zpjcp6Qtec1sdMPyGTVyk6uuwijR4qZHsAMWVMhvjzEl%2FecirJACbCfSSQ7BFBrKuiQePZyKjKPqTN6O06TjeQ1E22ca2eaIhwt%2Fwklzlk1LKN4UF1MWlWaMp9e784jP1zmp8WWnZjMGCvgme6MW6qHznsoXzfIWFKzDJU7suwEZwgJpJC%2B9o1sQX7r2uDor8mr3LlnbFNqD67LpzDq4UxU5hwqP6MF5OLItU6n7tfV4u2JtVxSFArnuBhmaZioHYsl6XDJ%2FjZlg%2BnlQesBRwdfjpUnhzj5MDBn7wFZAduFJ9%2BSORYyJlFCxYlNd8fS%2BttRaGxK24tFbcvM92sppjkBQ9Eu1SQMqUSYt%2F%2BclwnMpOILRlCsze3xlS2ir77g7J6riqQcefCV2y%2BMIGN4H%2BN1pIX%2Fh6ijmcvpABcMvlBXUmu6DIdX9gs88KubbeUTWz%2Fx%2BOo%2FyZj8pmcNIsDr8WyrgqdGrFnofVqpmaD0qcuNQdxGEnmqeIjeWAcwRrSGSEdB60IQOCFueh9j02A28ruVpii1jXECuJ%2Fnn5Vf9J3HpV4LiFmvvla4PE5i4m5tye7vENQTM6nkTiPxcsuzk1pYijjWthnRZ6O%2FiUW6aIHOadnXC6zOsaRkhs9Yw92wT6Z9TiiNMQ3HZGJakR2%2B3jHaOmcY%2FXsZ7%2FkHjpnnl%2FOFWbve9BH5hZd7DbhmdMVK6zhSyvuZ5OrvnwQV66VsPiA3beP3AS%2FQdLN6rW40XtyiVwCQNJQl3RTomqxCdqe9IpVFZtUu0MNpUY8kK1Bbmed6HmkF7atRU3YRxG33jwhZEwZwTSLpLEhkyxlxTgUP51JwdQi%2FmfZJ8N%2Fnf%2F2Y6m7jfmtVaqqLopUxgf6ZPDTRUNHQDxF0yva6If0znSAYC3oJCShP2DipY%2FpAhDS22VU2dyxOYrOEhqDTge%2BLkCjkHrrr6tiyAD%2FtWn5446P6noe4CjeTN%2Bkx4%2Bb0%2FzIGOIwlHLN8yNmrtITq0jzAl6LBNVT9%2BNBbA5nOBNO%2FFDPFD0g1KEwUl5og%2FD67xdCKoi%2BsDlbSaChOn97z4DTrSuCTBxKnZ8ULj3%2FQYFRMdxSE56jpYM6X05NlNwLWF42%2BBDRngNhkFhTMaxu71Mq%2FyWnkevfPra%2B9OUIx8Z3E8H7cP1%2BVi5j4DI5Y7MrtwwYsZ7ABbdic25RpsM%2FmIN0rj5oG15AT7Dj0m8jwEwhaVN6pN2XcnEW7zOktIn1nZUpMn%2BWOI%2BJA0MqQrYoFvd%2FOn3Z35RsWb8Np0sTJzYVEGlf63jPJMlElkaxieNYAssxEAMvB7pRlWflAxCLUloQvPWHR%2BQ5%2FykoU%2B6SX19bAe54YHOSu7xnaUqHPjtEPJI4o35pod%2BmxRwA%2BPP9IS2cFz7lCSgaos8Np4thkm5xIot2KMpAGT%2FH4L%2BSrL90%2Bu8XqOgI%2FQYOH7I%2FIk%2Bg5E800AEnH%2FUdlyk%2F9P7f0MjNOGkZtvHxO0UD8Nvw%3D,347,138,49,11,8,#617028559,"Azul,Negro,Rojo","M,L,XL",Okinoi,OKN-10,Rebatible,NA,NA,ABS,NA,NA,Rebatible,NA,NA,NA
9, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,1405,1967,"
			
				Nuevo
			
			
				
					 - 
				
				683
				vendidos
			
		",(1352 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,298,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,185,66,33,11,2,#744827612,Negro,"S,M,L,XL",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,NA,NA,NA
10, Casco Rebatible Okn 10 Doble Visor Cuello + Guantes Full Fas ,2999,4198,"
			
				Nuevo
			
			
				
					 - 
				
				571
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,554,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-617028559-casco-rebatible-okn-10-doble-visor-cuello-guantes-full-fas-_JM?searchVariation=35227027230,347,138,49,11,8,#617028559,"Azul,Negro,Rojo","M,L,XL",Okinoi,OKN-10,Rebatible,NA,NA,ABS,NA,NA,Rebatible,NA,NA,NA
