search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Certificado de segurança,Usos recomendados,Posição da ventilação
1, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,165,189,4389,527,12x,13.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1740,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1256,338,93,23,29,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA,NA,NA,NA,NA
2, Capacete Moto Ebf Feminino Cross Fechado Varias Cores E Tamx ,59,NA,3988,1633,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,1448,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1082,249,88,12,17,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,958,96,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1430,407,183,63,71,#1162746915,"Azul,Amarelo,Azul,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,776,23,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629237,1430,407,183,63,71,#1162758324,Prata,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
5, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,2225,48,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2154,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1430,407,183,63,71,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA,NA,NA
6, Capacete Moto Fechado Ebf Feminino Varias Cores E Tamanho ,120,NA,2054,147,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,73,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517017,42,12,13,2,4,#1133429702,"Vermelho,Amarelo,Azul,Azul-escuro,Cinza-claro,Laranja,Rosa,Verde,Vermelho","58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA,NA,NA,NA,NA
7, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,98,NA,997,1327,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2154,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1430,407,183,63,71,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8, Capacete De Moto P/ Mulher Fechado Rosa Modelo Evolution G7 ,159,NA,13,185,12x,13.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/RACE+ACTION,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mNgXZoxvLK1o2VsCVzuhTropZgFZ1i9Ctd9Yi2GJnk%2FM7aqWDbTuuwEebgfIwUr9HCLBmHnU7QYEPxUC%2FGB5Qw7fpM1oyFALtG15NVUwBmfh5umtUuBix3HcgBGqxeWIVPjUpHw6pIMMJMBXIgfTnuYbkP7efgnYUaDhzrVwCEyJ4gzR2jkgeyUc3xWBxchQUApN0gBAU7tfYOLTMZ3PChvCJhsHb08og320eEsUupVHkiA9HBZlQRJTYU8bDhBXKNS82K%2FDOM9JENA7BnlBk2cJSytsudd4M9aoc64%2Bgxw9%2BaODdGKTVoAFw2%2FlXKIwmVSMzXikMBkYE1sLsv2usWFV8G25UkP2GDK5yShWT0BuTeMHkrhPujgdFOVuiub%2BwzvGGtgbkwHe3g%2FG%2F65q1%2B4XnXjyJO90tV%2BwumdhA7Cq1ZCrOQcyfdnz1l1oNpL82P%2BUzuEvnlkfMNa1wapgwb51sNruwfWSJgpSwB8F2Tid2jy57%2BDXQFBmicl8vz6M2e5aujY50PJno9aKqAimf1ZN4at4i18W%2BxvUq2TQtIodOcT%2FWJNTLBvoauRlQRcRjbwOb7yOjGUDNEYfkmvGwla30I4PJwoZLl1b7xzVh8fP74aWBi5N8SutgXh4SSF2184HlY%2BkiUMHwS7pGLsba6DQaC7Xe6VRL5iheV8tl%2BSlvbTIzmgBbZYHGMTKZcw%2BLLi6a0GCK9D4i3mGxqTzEXRSlo1ZJwRT%2Fe3EEjHSASN9zcArj%2Fh3Z6C6OIFTyjWFLsHq7oCoQNU8Upvd9s7ww5JHri8L0u%2B94Rzyx%2BQ7rbxWYJENPFm%2FTVoP754Km2zlkRJ%2Boo5%2FLsmKki2Pk5m3KRH%2BxymtQG3lZMOZwWEISdPLiCf%2BEvlJRoqrBaHUO2DHh1%2B9zsntkBzvY0n3ql2jRqt8KZehijtIYRn%2BhaGMKaqBAbQ0XEZUzdZn63sI5g0S7JUs9UVVwD8Sju%2BqcWcegq8Wye%2BjoMegYf%2BUtjMyNe7iRnt7JB7wIGLautliq7mdzvyMCqkUYm%2F2xl3Xstfw7L50llyik%2BmInSLM1R1BMmokWLxbms%2Fghiyf4BzxoGwYMRvaLuh%2Fcj3UCNHJsXKGhOQaPaz%2FDs%2BZ8uhL%2FaLLuDZXVu9Cg8SAmGw%2F59i5I%2B%2BLxAXBUHoNyQGWg2Mq%2BrfVlIuwEzmHHVmNOU7kZtNeAJ%2Ba1OsLGvS%2FKNgafcB6ZhMtcqBZWamnTke%2BX%2Bb2wvw9mGoCaFCPMnXfrr1jygriLo23mbIZGWfxvvXKtniQmT%2B0Vcs6lTeAhIuOe6i7hTeBP2LJCbdiukLc2t6gPUdlkDfUE5ZAfah9e%2BM1nGK%2FRBKOnfZ9Og%2BONpyT9d3D2WfPN4XJ5ifrxZctIcBJcTzyRqO3Tgcna9ns6DP%2FOCcU5HESD7mFF9CmSjDgMOgeu9SC1rvgb7SR7Wl%2BYGrjoYqVe5YTTHemAK7%2BKBEUTk9TKLdZpSSOMS959327k%2FMoeG%2F3Q2H%2BQndbfY9LmjIs8cfCa%2B0c%2B3I5Wbi%2BFeaiNQtTqdyz%2FNoD2pZz8fz3%2BZ%2FquIZWSNOpI0QPYbThhld%2FZTJIq57aHJpt7SrNeHc2IdKR8b%2BdM81PKjidBdcg3V3EXV6qTaMMbIWZfWShta6XDR4aYXcnLBFUIu0lCHyj5VprUqfZg%2BXOQljqO8giZOQKL5sF%2FNDs4J02bKa7h359k4%2BI5lckaiJ9DfodAtezB%2Bd%2Fsi0Abyj4QHUtePlR8L2CEuRFMpJfTBuIQ5CBJpoHPtGC3%2Bemg0FK0iOYKw6vZDZhHYuYUw7B%2FGnJSpmDXM98AP66TWu2qK7d4yY4KVmSChckFXZc0rTAGk7RslgJNIm3owORFzvS7yH4AQ51IJ14dzQbILtSY0WIjaw8DhxBWW5mbtZx,1,0,0,0,0,#1239267389,Rosa,"56,58,60",Pro Tork,NA,Evolution G7,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
9, Capacete Moto Protork Escamoteavel Robocop V-pro Jet 3 Loi ,57,NA,1743,552,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1538,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1027,322,138,31,20,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA,Micrométrico,Inmetro,NA,NA
10, Capacete Moto Ebf Aberto Unissex Varias Cores/tamanho ,133,NA,909,33,12x,11.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,216,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,172,32,7,5,0,#824544027,"Branco e rosa,Preto e Azul","56,58",EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
11, Capacete Moto Ebf Shield Solid Diversos Tamanhos E Cores ,60,NA,2954,20951,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1572,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,973,344,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,SPORT MOTO 788,Sport Moto,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA,NA,NA,NA,NA
12, Capacete New Liberty Three Moto Aberto Pro Tork New Liberty ,57,NA,879,2509,10x,6.48,NA,Envio para todo o país,NA,NA,4.4,810,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717,487,191,90,22,20,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,NA,NA,NA,NA,NA
13, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,75,NA,1918,38,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,47,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,30,6,8,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g,NA,NA,NA,NA
