search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Tipo de visor,Peso,Modelo alfanumérico,Usos recomendados
1, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,"
			
			
				
				1
				vendido
			
		",(10 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA,NA
2, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,4297,NA,"
			
			
				
				8
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,NA,NA,NA,NA,NA,#714158396,Negro Fluo Amarillo Naranja,"L,M,XL,XXL",MT,Torn,Integral,Poliestireno,Policarbonato,Adultos,Unisex,Thunder,Simple,1450 g,NA,NA
3, Casco Moto Integral Vertigo Dominium. En Gravedadx ,2399,2699,"
			
				Nuevo
			
			
				
					 - 
				
				861
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,213,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-en-gravedadx-_JM?searchVariation=32109894632,131,53,20,3,5,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
4, Casco Moto Integral Vertigo Max. En Gravedadx ,799,949,"
			
				Nuevo
			
			
				
					 - 
				
				806
				vendidos
			
		",(40 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-en-gravedadx-_JM?searchVariation=35477314599,35,9,4,0,0,#683109534,Negro,"S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Full ,1546,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2286
				vendidos
			
		",(5 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,307,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-full-_JM?searchVariation=27050402189,193,66,34,12,2,#616668706,,"S,L,XL",Halcon,H57,Integral,NA,Policarbonato,Adultos,Unisex,Integral,Simple,NA,H57,NA
6, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,2999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1000
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,877,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=26631103098,556,236,56,14,15,#639034451,Blanco - Brillo,"M - 58 cm,S 56cm,L 60cm,XL 62cm",Hawk,RS5,Rebatible,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,Simple,NA,NA,Urbana
7, Casco Moto Integral Vertigo Hk7 Mate. En Gravedadx ,2899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1413
				vendidos
			
		",(15 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,213,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-en-gravedadx-_JM?searchVariation=25749397874,131,53,20,3,5,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm),XL (62 cm)",Vértigo,HK7,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
8, Casco Moto Integral Vertigo Hk7 Spring Next. En Gravedadx ,2899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				244
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,14,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=xPr4oKlvQuxdt%2BYaSVPfHAcxSMaZ%2FyDXMpJXDsItAukU8eNFJYxhGIhkWsq6SP6euKuSwXhXDTQmxnlp7eQha42v%2B6DZ2WqGQtXkeCLVkq8gyW0NVEzpGcC7uIiRmd1H3Ndp0kY6wjF4jkeeSO%2BSKV6pyjRVa7ZU6LYJiWEEumVLKeOIaFS48PjiGD1l3E4%2FnepZhfUcPcOZCEvt%2BdmETt%2B5atbsqrPICcFWTljA%2FuTcuP3r%2FA%2FUp0WtYR7gp61UuunDz7Re55QT%2BgyRBGQLzkKrkwSAX9B79J%2FEsXMooeWkRd8IYaIlIB8pSfvcagP3%2FdbYnRLvpuPiqz4WTZ7oxlhaXxhNifBZKmXO0ZlPHwa7bRrx9SruR3ldZOWH2gBViDXHQxos%2FC6e%2Fcd52qJQV9Wb58AKh6s%2FxsOQVuQYo7vVsA5TmeLNJ70Z3jfDgCexg8n9vYfpdIWHbm6%2FTlT%2FwOBZWhZyeWwxBWtiCUmOfnLR03wRKN7si7pjQ0oUh82pfqJGFxR6iDsJNNGuGNx1NbX85fSRcAkil%2BfgqrENqoYAhjuYOQW8A2UvdkNYL%2FKhmeVuR4wsjEQFXLZv1EBN4a3afrKvroBf1bPTEZsvkflpc2%2FD7zOxO%2FP89aLDsP4sLyOnCzk%2Fq7u8RyQY47w9n9utIlVz11rfKMe0b0jiKzpKlaQSG9zhSYMKV8hXd2Uo8ZZqt%2BP7fb908tLJaiO5U%2Fm9R2rb3s4iY4fMxCV%2FEvMXteoQ%2FB2hG4PqgRL%2Bof8YP4J69oHDu1Lqc4wFVadWhzCEF23lqC9XGHfhzk0WexpP8RLIcaw0GgQvkv3r6%2FiAUyycfBl66Yiw3%2FZwirACKdjMD4ou66VZ3Mqk1PC3SWem%2BHd7rSOBzWiRAbVnqGpoxbMPUJlFah%2Ft%2F6WuCr5wQaSXCjnIlCqvHy04X0a01D8WcevGACp2rPyyUc6rGuS5%2BzLOdZxurmEciau2BeIdrMt9n6h%2BtXt5RtL7mg6achLs4jV7re5DT1ToTGZ0hB5FNvs%2F5I5krE1zaaTrehpj7rS7tO%2Fjua%2FwqbLWZF%2BDb9Lw%2FHnWfOd9gASF5BYLmXnRUMN8NZA6%2BHv%2BIQKkBi7oAhpC51ismAWScZwEHH%2BNDT1zDI2qlDZCgcXHeyCT25fErjG8XW3YfEZFt%2Bjgy0jdAAErpWxLVxYPAWOTbfq0SxI3o109iUENzxkxbao1By4t8U57NPvmmcbvociBXJjgJupF7rAFpOHsABR4y8leKAKMjqMewQ7KmwajZB78G82mPpuSYhvGCtaE2bkwdwSJlq5HLT8U7l5CNrO4slLGzxrnHDW8feKSodyqinQ%2Be3%2FG6RP71d%2F62eIkzQmhvLL8m1Bw%2FaBX4%2BgfjyFR%2F9OaiwoMnhotkD9o2YFKMzdcgKuciAbpXr%2BKEwjC3mBSPWKrvmfAx1Lcfijw8tllrKbCxJCenhG7mUpbRwN36VAP%2FbrUboA8gcLfYNWuRadnwr7JoisPGjqh4KSseQfacyfjyCJH%2FtOJP0ddB0T1ZCtXOrJ%2BVEKMoWPCaEWsmrenAHtihBrKsepVEWqnXILcX9LHAbtHQJtT2yYPnFQ4bmcLpONVcsratsquwONQCKstbhdLbwuAm0JZJ41p1yn1nZObyxcfmMzJOm1Bk2aLkc0oMKerWbsQI5J7q5n6FaW10qAnCNw9NIuWdHNXsrqSSKP9rinmdI2Nb%2BdRPq8l8PTlHA5uQah3TMgaPVEnpffZaCJnKkZTP6VRoepm2jldY7HCgQTJjEdbP4%2FWsiEDAdRKPxjjc3A%2Fi%2Bzlq7flMnO%2BSl2nB7QGU2ID1cgBkJWOvB1Z19tpExMWoxtlVGh7uOhxp2D%2FHAYUiG6acniMGpZ0jA%3D%3D,12,2,0,0,0,#698754667,Negro,XL (62 cm),Vértigo,HK7,Integral,Set Poliester,ABS,Adultos,Unisex,Vértigo,Simple,NA,NA,NA
9, Casco Moto Abierto Vertigo Vintage Maya. En Gravedadx ,2225,NA,"
			
				Nuevo
			
			
				
					 - 
				
				788
				vendidos
			
		",(29 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,Negro,"XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA,NA
10, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				161
				vendidos
			
		",(21 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,225,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,157,48,12,3,5,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,NA,ABS,Adultos,Unisex,urbano,Simple,1390 g,821,NA
