search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Modelo alfanumérico,Peso
1, Casco Oneal 3 Series Motocross Enduro Mtb Helium Azul 2019 ,"2,950",NA,"
			
			
				
				18
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 16389
		
		 sin intereses
		
	

	
		",89,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=375,https://articulo.mercadolibre.com.mx/MLM-657927682-casco-oneal-3-series-motocross-enduro-mtb-helium-azul-2019-_JM?searchVariation=31257804272,NA,NA,NA,NA,NA,#657927682,NA,"S,M,L,XL,XXL",O'Neal,3 Series,Helium,Cross,EPS,Policarbonato,Adultos,Unisex,NA,NA,NA
2, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,7,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797,5,0,1,0,1,#669501641,Negro mate,XL,KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA
3, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8883
		
		 sin intereses
		
	

	
		",83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,NA,NA,NA,NA,NA,#650438989,NA,"L,XL",Faseed,Mask,Graficos,Rebatible,Resina termoplástica,ABS,Adultos,Unisex,Simple,NA,NA
4, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,"
			
				Nuevo
			
			
				
					 - 
				
				131
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 26883
		
		 sin intereses
		
	

	
		",83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,19,0,0,0,0,#654427065,"S,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,EPS,Policarbonato,Adultos,Unisex,Simple,NA,NA
5, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1459
				vendidos
			
		",(2832 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,103,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,71,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,Adultos,Unisex,NA,NA,NA
6, Casco Motociclista Match One Negro Kov ,"1,249",NA,"
			
				Nuevo
			
			
				
					 - 
				
				86
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,3,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-666557391-casco-motociclista-match-one-negro-kov-_JM?searchVariation=33472737670,3,0,0,0,0,#666557391,NA,"S,M,L,XL,XXL",KOV,NA,Veneno Match,Completo,NA,NA,Adultos,Unisex,Doble,NA,NA
7, Casco Moto Accesorio Kukulk Kov Dot Abatible Varios Colores ,"1,249",NA,"
			
				Nuevo
			
			
				
					 - 
				
				243
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,80,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,62,14,2,1,1,#564429987,NA,"EGG,EG",Kov Parts,Legacy,Kukulk,Rebatible,NA,ABS,Adultos,NA,Doble,NA,NA
8, Casco Abatible Roda Revenge Con Certificacion Dot ,"1,145",NA,"
			
				Nuevo
			
			
				
					 - 
				
				135
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6361
		
		 sin intereses
		
	

	
		",61,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,135,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=85c0uL3g2bHtbFJwv80mLOcFl24Lye1EtyJ3%2FD9IyT8NL1e3wYZUMpA8Zd%2B8GUfTsIqQjdyjsobnbSjH5%2B%2Fr9PENFgtLzkbSnFYVbGMl3NhWL65zJZVMPKGs2pShB6BhtsV%2FWHEcIP4fbbtBiuuUHgM3MfgVGJVsDol8%2FffwuK26u%2FLnEmWBdRhk%2Fk4QTCnAUHg0v2W3cTPmI7w2sWoOKtqwS679sgoV%2BZSQRI8PeXQcmRMV6mOX2vRl%2FeP14mznRXKO0Q%2BFqyw0oWzQwW6DBhcxeb5msTYmghlwvF8G5D%2FY8mOAtsFESjvvpXTJtZa9WIl6%2BDgnIgaCOi%2Fo6p6o08m%2F0hNjRWEPoNNA%2BZmqzo%2BePZIBFfbZCEKCKBgu8HDJ6jbS1u4OHk0DMaix%2Fgd8yhe5u1RM0vgAaqf8IKy5VRTUBV%2BAWfQ4cfSL3ZV2tl7h%2FHaaBpb0zu8mAr3FDeSKWeXbifGncNhEECTnVvUjtr7dnAFuFaC4aWYP3mXNOq61R%2FKPJFHriuJPHazSyNrxbcPgIHqu0Hlh89NLTrcN8XLJpiblMsJE%2Bdp1doUfNxdchsgZfbtQC8ZN9bq%2FD%2B3SGy0DWrWHGgnwi9yyb5h%2FVEi1yAw6nZ1kdWYb0BZtigy4U7bYzgv30eS0pPqgEEDhG6oY%2BYSmn22alKG9LL751qIbb%2FdepfzqXrKzTSzYlaTNl73guDDE3mIjf5B0tVEur8ovMR6wj3BygqHdZRqyYEQYHvoAbtBpD3lGHOqndm6K0OYwVt9z%2BUFKVyJsn%2FoYmAUOmrfKSlorj5FL6Xc0BrYEbWW40PrUqL%2FnWwToUjzc%2BEER%2BupeTiKyN4TaJuJw1Se0bsuw%2FKreaka%2BCplTr9Y5FE8yeS3MGoPwfF9gu2JhVvyll8n52uHJ3eLXsXMIdAibsXlDOS7BG3%2B5ZDM%2FdTOMMQ1kHxfQqLC8HeiptrqiTHxa4d5G7%2Btix6P%2BA1SSZlMNDRWYuCV8kn7xVZCXGClWVW8XuUXpWynotBdiYkVl8%2BvLBBv1X6oyjjBlQdMO%2FoB5p3qnuRhRL%2Fv0jx111jFr9csJ8yLTGSnJixGhpqhCGNBxhRzY7rvLYB9QrQ%2F3YEbdoSPLilAhsHwDOMI5j3GFbh2cWrYn8qhX7EgPuUHJGWaklPDQ6emfJ7KWIdpHEaWq35qNexzVvdU3VoDAGeEzUYY8FCeyappd5P7Q%2B5j4BqFvFqAcLeIcguPLEAX6jppiDqshsayrSN9pRtyuwQk4%2F257ZXOeyq7H2AFO0WybNEfANWxKbcX%2BN0Iiex8JmLUlcmZau5QpBhOKc4i162UbxVwni4POtOf3vbJiGqnoxhRQy5yDs1bXKh2vklIFJjhTrMFmD%2BF1PxemA7I%2FUFFCR86hQhX1jyxEhp4BxtXV5E6GzwhkA83TSdRRTDHqDa27r19%2BAffgyTyQhatI9PHuy2pB9r7Ix4gBDhmh5i%2FUpJKq1BAZ%2B4T99AVgZpv8F8dBqngZwVPJizfFokImGvmEtUtcaJopV5at4gl5RMebWksxKGGZzTCWWKP1fdTq3wbi90R%2BkIfHhrGOlkCslC7S6rPweufvzL1nYZH9grsJjqlaGUZKBJulafqucoHT1o9My0wbhlEk9j0PBquXObj5ODnbp2b5eNDkh2iBDCNG%2FGyx%2BsmD8AHhhIOC6fZGe6OM3ELkeS3ygD12K0b5t09505%2F9FWNqd5vlpXD46OG1Vh8TAbhuqIOwWxy84%2FA8RpBSWIQsPRhc6u%2B2QTTfM1MprgRNpoeGAdHAWEXl1qsBafiNVaob2%2FI%3D,104,21,5,1,3,#660781205,NA,"L,XL",RODA,MODULAR (ABATIBLE),Revenge,Rebatible,NA,NA,NA,NA,NA,NA,NA
9, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8611
		
		 sin intereses
		
	

	
		",11,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724710,7,0,0,1,0,#687886875,NA,"S (55 - 56 cm),M (57 - 58 cm),XL (61 - 62 cm),L (59 - 60 cm)",Faseed,NA,FS-726X,Modular,NA,NA,Adultos,Unisex,Simple,NA,NA
10," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				714
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3056
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,96,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,64,18,11,0,2,#610879940,"Negro,Azul,Negro,Negro mate,Plata,Rojo,Tribal,motogp","S,M,L,XL",Promoto,CERRADO,A107,Integral,Poliestireno,ABS,Adultos,Unisex,Simple,basic,NA
11, Casco Cerrado Nueva Colección Shaft Aztec Rider One ,"1,799",NA,"
			
				Nuevo
			
			
				
					 - 
				
				367
				vendidos
			
		",(103 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,27,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-cerrado-nueva-coleccion-shaft-aztec-rider-one-_JM?searchVariation=39433695939,25,0,0,1,0,#577998441,NA,"S,M,L,XL",Shaft,SH,Aztec,Integral,Poliestireno,Policarbonato,Adultos,Unisex,Simple,NA,1500 g
12," Casco Depredador, Envío Gratis!!! ",899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				688
				vendidos
			
		",(364 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-568733170-casco-depredador-envio-gratis-_JM?searchVariation=23088464886,27,14,6,2,4,#568733170,Negro,"negro,MEDIANO,CHICO,EXTRA GRANDE,GRANDE",JK,DEPREDADOR,Negro,Integral,Esponja,Fibra de vidrio,Adultos,Masculino,Simple,EDN,NA
