country,seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
ARG,Hawk Tienda oficial,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,11,1,1336,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,154,1,5,148,"Beccar, Buenos Aires.",4,1
ARG,MT Helmets Tienda oficial,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,1,2,494,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,202,0,2,200,"Villa Pueyrredón, Capital Federal.",4,1
ARG,GRAVEDADX,https://perfil.mercadolibre.com.ar/GRAVEDADX,2,2,1771,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,309,2,8,299,"Rosario, Santa Fe.",4,1
ARG,STIMOTOS2008,https://perfil.mercadolibre.com.ar/STIMOTOS2008,12,2,33846,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,9220,310,390,8520,"Mataderos, Capital Federal.",4,1
ARG,ANTARES-MOTOS,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,3,2,3363,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,734,13,17,704,"Escobar, Buenos Aires.",4,1
ARG,FASMOTOS00,https://perfil.mercadolibre.com.ar/FASMOTOS00,13,2,63811,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,17385,570,817,15998,"Villa Devoto, Capital Federal.",4,1
ARG,TOP-RACING,https://perfil.mercadolibre.com.ar/TOP-RACING,10,2,2129,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,652,9,17,626,"Ituzaingo, Buenos Aires.",4,1
ARG,Oneal Tienda oficial,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,1,2,1342,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,358,2,2,354,"Ezeiza, Buenos Aires.",4,1
ARG,MARELLI SPORTS!,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,10,2,1600,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,449,17,30,402,"La Matanza, Buenos Aires.",4,1
ARG,WSTANDARD GROUP,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,8,2,8331,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1702,21,28,1653,"El Palomar, Buenos Aires.",4,1
ARG,LETT STORE,https://perfil.mercadolibre.com.ar/LETT+STORE,11,1,668,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,143,0,3,140,"San Isidro/beccar, Buenos Aires.",4,1
ARG,SUZUKI QUILMES,https://perfil.mercadolibre.com.ar/SUZUKI+QUILMES,13,2,15637,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,3599,150,133,3316,"QUILMES, Buenos Aires.",4,1
ARG,CYCLES MOTO,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,4,2,2144,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,775,4,23,748,"Boedo, Capital Federal.",4,1
ARG,DEVOTOBIKES,https://perfil.mercadolibre.com.ar/DEVOTOBIKES,13,2,2128,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,716,13,19,684,"Caba, Capital Federal.",4,1
ARG,LS2 Tienda oficial,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,5,2,1264,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,368,4,8,356,"Núñez, Capital Federal.",4,1
ARG,OPENFACTORY,https://perfil.mercadolibre.com.ar/OPENFACTORY,5,2,16315,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,4035,150,137,3748,"Villa Urquiza, Capital Federal.",4,1
ARG,JM MOTOSTESEI,https://perfil.mercadolibre.com.ar/JM+MOTOSTESEI,3,2,1749,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,489,1,4,484,"Hurlingham, Buenos Aires.",4,1
ARG,MM REPUESTOS,https://perfil.mercadolibre.com.ar/MM+REPUESTOS,6,2,6090,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1451,60,57,1334,"Villa Ortuzar, Capital Federal.",4,1
ARG,MOTOS_FREEWAY,https://perfil.mercadolibre.com.ar/MOTOS_FREEWAY,1,2,1695,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,731,25,20,686,"Villa Crespo, Capital Federal.",4,1
ARG,PABLOMARELI,https://perfil.mercadolibre.com.ar/PABLOMARELI,1,1,57,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2,0,0,2,"La Matanza, Buenos Aires.",1,1
ARG,LOQUIEROYA-TIENDA,https://perfil.mercadolibre.com.ar/LOQUIEROYA-TIENDA,2,2,8773,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2754,54,86,2614,"Avellaneda, Buenos Aires.",4,1
ARG,STIAHORA12,https://perfil.mercadolibre.com.ar/STIAHORA12,1,1,1614,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,130,4,13,113,"Mataderos, Capital Federal.",1,1
ARG,CORDASCO CYCLE,https://perfil.mercadolibre.com.ar/CORDASCO+CYCLE,3,2,255,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,96,0,2,94,"Liniers, Capital Federal.",4,1
ARG,MOTO DELTA,https://perfil.mercadolibre.com.ar/MOTO+DELTA,11,2,2821,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,739,10,14,715,"Tigre, Buenos Aires.",4,1
ARG,GRAVEDADX-12,https://perfil.mercadolibre.com.ar/GRAVEDADX-12,27,3,152,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2,0,0,2,"Rosario, Santa Fe.",27,3
ARG,RPM-1240,https://perfil.mercadolibre.com.ar/RPM-1240,6,2,4972,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1845,22,41,1782,"Constitución, Capital Federal.",4,1
ARG,RIDER-PRO,https://perfil.mercadolibre.com.ar/RIDER-PRO,15,2,2438,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,685,9,15,661,"Villa Devoto, Capital Federal.",4,1
ARG,ARGENMOTOS,https://perfil.mercadolibre.com.ar/ARGENMOTOS,5,2,526,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,187,0,0,187,"Núñez, Capital Federal.",4,1
