seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
GKMOTOS,http://perfil.mercadolibre.com.uy/GKMOTOS,10,10 años vendiendo en Mercado Libre,310,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,228,Negativa (2),Neutral (8),Positiva (218),"Cerro, Montevideo.",NA
RUBIBIKES,http://perfil.mercadolibre.com.uy/RUBIBIKES,13,13 años vendiendo en Mercado Libre,2283,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1646,Negativa (3),Neutral (9),Positiva (1634),"Buceo, Montevideo.",NA
MOTO_TORRE,http://perfil.mercadolibre.com.uy/MOTO_TORRE,10,10 años vendiendo en Mercado Libre,3268,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3413,Negativa (0),Neutral (246),Positiva (3167),"Aguada, Montevideo.",NA
URURACER,http://perfil.mercadolibre.com.uy/URURACER,9,9 años vendiendo en Mercado Libre,912,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1180,Negativa (9),Neutral (205),Positiva (966),"Cordón, Montevideo.",NA
CAFERACEUY,http://perfil.mercadolibre.com.uy/CAFERACEUY,6,6 años vendiendo en Mercado Libre,659,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,478,Negativa (2),Neutral (31),Positiva (445),"Malvin, Montevideo.",NA
MOTOSHOPSRLMOTOSHOPSRL,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,2,2 años vendiendo en Mercado Libre,7311,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,4610,Negativa (2),Neutral (59),Positiva (4549),"Centro, Montevideo.",NA
NANY MOTOS,http://perfil.mercadolibre.com.uy/NANY+MOTOS,6,6 años vendiendo en Mercado Libre,154,NA,NA,NA,76,Negativa (1),Neutral (2),Positiva (73),"La Teja, Montevideo.",NA
INTERNACIONALRACEIMPORT,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,2,2 años vendiendo en Mercado Libre,271,NA,NA,NA,192,Negativa (2),Neutral (3),Positiva (187),"Rivera, Rivera.",NA
JUGUECTILCOM,http://perfil.mercadolibre.com.uy/JUGUECTILCOM,4,4 años vendiendo en Mercado Libre,2518,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1511,Negativa (1),Neutral (13),Positiva (1497),"Tres Cruces, Montevideo.",NA
ALLROADURUGUAY,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,5,5 años vendiendo en Mercado Libre,706,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,463,Negativa (2),Neutral (13),Positiva (448),"San José de Carrasco, Canelones.",NA
JUGUECTIL COM,http://perfil.mercadolibre.com.uy/JUGUECTIL+COM,4,4 años vendiendo en Mercado Libre,275,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,115,Negativa (0),Neutral (0),Positiva (115),"Maldonado, Maldonado.",NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,1 año vendiendo en Mercado Libre,5158,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2404,Negativa (30),Neutral (315),Positiva (2059),"Ciudad Vieja, Montevideo.",NA
