search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.99,NA,34,5,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM,2,0,0,0,0,#466453148,"L,XXL",,LS2,EVO,FF324 METRO,Rebatible,Unisex,NA,NA
2, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.99,NA,45,10,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM,2,0,0,0,0,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,Unisex,0.165 g,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.99,NA,289,241,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,22,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM,16,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,1450 g,NA
4, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.99,NA,95,60,6,9.665,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,"TALLA XL,TALLA M,TALLA L",4rs,NA,166,Cross,Unisex,1300 g,NA
5, Casco Moto 4rs 128 Black Edition Multiproposito Norma Dot ,47.99,NA,84,73,6,7.998,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441881572-casco-moto-4rs-128-black-edition-multiproposito-norma-dot-_JM,4,0,0,0,0,#441881572,"S,M,L,XL",,4RS,NA,128,Integral,NA,1.38 kg,NA
6, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.99,49.990,48,8,6,4.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,940 g,NA
7, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,134.99,NA,26,20,12,11.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM,NA,NA,NA,NA,NA,#461069835,"M,L,XL,XXL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,Unisex,1350 g,NA
8, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,89.99,NA,33,12,12,7.499,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645,2,0,0,0,0,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA,NA
9, Casco Moto 4rs 125 Motocross Enduro Juvenil Full Color Dot ,37.99,NA,73,58,6,6.332,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124740-casco-moto-4rs-125-motocross-enduro-juvenil-full-color-dot-_JM,5,0,0,0,0,#446124740,"XS,S,M",,4RS,NA,125,Cross,NA,980 g,NA
10, Casco Moto 4rs 128 Multiproposito Black Red Certificado Dot ,46.99,NA,93,30,6,7.832,NA,Envío gratis a todo el país,NA,NA,5,15,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441722898-casco-moto-4rs-128-multiproposito-black-red-certificado-dot-_JM,15,0,0,0,0,#441722898,"M,L,XL",,4RS,NA,128,Integral,NA,1380 g,NA
