search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
1, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.9,159.9,500,74,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,21,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40977991096,18,1,0,0,2,#461184205,Negro,"S,M,L,XL",ICH,503,Integral,1000 g,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.9,249.9,1218,881,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,107,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,81,19,6,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,1000 g,NA,NA
3, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.9,279.9,168,87,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,16,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,14,2,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M,S-M,S-L,S-XL,S-S",ich,503,Integral,1000 g,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.9,159.9,486,31,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,49,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=17025050687,36,10,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
5, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.9,169.9,108,57,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,3,0,0,0,0,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,1000 g,NA,NA
6, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,94.9,149.9,613,338,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,65,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,47,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
7, Casco Ich Abatible Doble Visor Certificado Placas ,99.9,149.9,166,375,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,16,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,11,4,0,1,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
8, Casco Kontrol Certificado Alamo Tipo Mt Icon Shaft Agv Ich ,139.5,NA,38,80,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802204-casco-kontrol-certificado-alamo-tipo-mt-icon-shaft-agv-ich-_JM?searchVariation=35428045017,2,1,0,0,0,#509802204,Negro mate,"TALLA L,M",KONTROL,Álamo,Integral,NA,NA,NA
9, 2 Cascos Abatibles Doble Visor Dot + Pasamontañas - As ,199.99,NA,30,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-508809203-2-cascos-abatibles-doble-visor-dot-pasamontanas-as-_JM?searchVariation=34939691274,0,2,0,0,0,#508809203,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA
10, Casco Moto Integral Kontrol Certificado Dot + Obsequio - As ,109.99,140,30,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-501927986-casco-moto-integral-kontrol-certificado-dot-obsequio-as-_JM,2,0,0,0,0,#501927986,Mate / Brillo,NA,KONTROL,KNT-858,Integral,NA,NA,NA
