search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Tipo de visor,Peso,Modelo alfanumérico
1, Casco Oneal 3 Series Motocross Enduro Mtb Helium Azul 2019 ,"2,950",NA,"
			
			
				
				19
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 16389
		
		 sin intereses
		
	

	
		",89,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=375,https://articulo.mercadolibre.com.mx/MLM-657927682-casco-oneal-3-series-motocross-enduro-mtb-helium-azul-2019-_JM?searchVariation=31257804272,NA,NA,NA,NA,NA,#657927682,NA,"S,M,L,XL,XXL",O'Neal,3 Series,Helium,Cross,EPS,Policarbonato,Adultos,Unisex,NA,NA,NA
2, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				174
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,7,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797,5,0,1,0,1,#669501641,NA,"S,M,L,XL,XXL",KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA
3, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,"
			
				Nuevo
			
			
				
					 - 
				
				141
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8883
		
		 sin intereses
		
	

	
		",83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,NA,NA,NA,NA,NA,#650438989,NA,"L,XL",Faseed,Mask,Graficos,Rebatible,Resina termoplástica,ABS,Adultos,Unisex,Simple,NA,NA
4, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,"
			
				Nuevo
			
			
				
					 - 
				
				132
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 26883
		
		 sin intereses
		
	

	
		",83,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,19,0,0,0,0,#654427065,"S,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,EPS,Policarbonato,Adultos,Unisex,Simple,NA,NA
5, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1466
				vendidos
			
		",(2827 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,103,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,71,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,Adultos,Unisex,NA,NA,NA
6, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8611
		
		 sin intereses
		
	

	
		",11,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724710,7,0,0,1,0,#687886875,NA,"S (55 - 56 cm),M (57 - 58 cm),L (59 - 60 cm),XL (61 - 62 cm)",Faseed,NA,FS-726X,Modular,NA,NA,Adultos,Unisex,Simple,NA,NA
7, Casco Abatible Deportivo Modular Cafe Racer Fassed Trooper ,"1,447",NA,"
			
				Nuevo
			
			
				
					 - 
				
				172
				vendidos
			
		",(26 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8039
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,12,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-689955419-casco-abatible-deportivo-modular-cafe-racer-fassed-trooper-_JM?searchVariation=38914188679,9,1,1,1,0,#689955419,NA,"M,L,XL",Faseed,NA,Trooper,Multi-Modular,Poliestireno,ABS,Adultos,Unisex,Simple,NA,NA
8, Casco Abatible Roda Revenge Con Certificacion Dot ,"1,145",NA,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 6361
		
		 sin intereses
		
	

	
		",61,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,135,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=8o6sXi%2FCqi3mqscTFFR79TPpd%2BVAryNTI1faVUh49UzX1S%2BFWb1qLMsIUB%2F7ZRPnPgHpaDXFZMQcuLmIryS%2BQAH7PlRgb5zpZfrIbOrFYmIUTEvTzGh3ftdwXE%2Br04ME6u0NvwYFXV%2F3r6TDr%2BizJGgFZLexQIDYyaspMmKDK8nSRArvFnfKDDwQvToHU3W0VJNrcJOeyZ7rg4JVuCJrAFNXkr1VBWNtu6nlviN4qc2QNEsWggGSlv4jmIbf5zJEXDZepz1g6GRpb95XFphZhQj9j%2Fb1imOcHdZ1nREz9usAXQcVq4OefohtYa%2F4o3c8DECB4jjDC9Ai%2FuE%2Fk8DfFroGPDoqATjEplVSvxfm5%2BiovPZADF7vrgmrBiv34KPNz9ESkqsXvwrn6HOER6ct9%2BIeE21%2F8VjWMGX4aQbj9EG6sQI4J9VjE1M8IvM3TVUVMh5m5ersxWF2XXmI%2Beerta3AcRfx33cAtDzMXI%2B9%2BaXxPb0KJTibRQbmAgr50Wj1rMW77jvtr4zIpUdMXZ2trkkeML5J6X8IybMz1hgeO8AiawhBlui3uEBiTumj5Vv1B4A6W5HhvMn1gM%2BdRNX57LWSNrHfNtrxkCJ2lpJWR9XHAAieKy5c%2FxJaIcxD9D0iYoogYggVjv2EyrCR97gAcZD7mH2Z3j2i4PAR4CQHY0w%2F2MBNa9Ho3uOdvUzSk%2BA0i8HEiRCQVdTdu5tCQYYXMWvGr5RE1lrBFynWiUNWIpD7FXaELPb1YH04Rsj8gH8KB85AwQLc17u0%2FNu7NakeiTNLThiphSKd%2FVvQVctuessAr8GEjdYN%2BE0MCAvaC84b7uc4a%2FDzLrlj4Q9c3d3JUxkpcfxzvpNTqg6chhMnqedxY90THxlYMOza6O9vQdeytJs8u1twK2l6HfzHJ0VXXHKVpPuonwlraDNvDdOw5wysXSvNhOpLh3ETOvnuk6Jg4KCpNDOcWYnwP%2Bx0IP%2FMt4xLDwn%2Bo3P8EwfEJUfLcdClxG2xPW%2BHZw%2B%2F30DZArYNomGV8i4sxfF4HQANjQiedJZKlY14lhDL4IO9FD9EfvLfIMe5xmQDTKzgYuWH%2FCt5OkIvSKVB5dCl0x3jnuoZQB6evx7Q%2FJ%2Bc2QvMJnIbDUnHYXiGS0SqXkTWjA1RQmZAo2MF6YqnQPtphClUmy5aE6Os5QP3mBJqo6jHbm0Z1cKOTJ%2F4FaCEsIORkSGt1Uwh%2FVGMriIYnPhKYmMBp3bC8JzZHfTnw1SQ17ng3aoOkbOn0hx2dL4N2xexN3fM3ajODfdVfS%2F6XtcW0EC6BVTeXAPa8KF5zmI3NdwGo7D%2F1MNTnBgdBqrhOoAazycjvrKfOxVQbDTSmTCsP1307ZtT%2BjFJdgXRrZpeQkUhFHEyX%2BRG%2FyDEP1YnaKhv94jgItK5XJZdr0eD1X%2F7ELcSrcsm1Flz2iYCUEuTbEfO7ffucXEakP8WeM9zGq7k%2BLNFvRY0kRU0SbufzP6XG3Z4EOZfO8Pp2MNKaR3Kj5WSRuv4JLkGIpFpP5OPcpj6W3qrBxj%2BkjvgRVrOZm%2BX%2FNv4g0lBjj4gB2GyMkBNouz%2BfnpICZON2lZZg5PC80Xh5eT%2B%2B9XBjnNq%2Bs6PfZuS3DtcG%2FVrbdjAYPomTgR4aEd1skJOKRJrD1dpSl4LmoV%2FtA0VvC1JqmcCYRho6auIjpm7SxlgEIYm7sbPkcIz5v1kc7vlX2dVesMgFUn3ObCpmb5KpXgb%2F3r1lcadNd3keOpj0pCRP%2BgwZCeZZxA52ciB5Rfdl5GVn6y40XRtdXw86NIYSug7GkhdXKFFzQ%3D%3D,105,21,5,1,3,#660781205,NA,"L,XL",RODA,MODULAR (ABATIBLE),Revenge,Rebatible,NA,NA,NA,NA,NA,NA,NA
9, Casco Cerrado Nueva Colección Shaft Rider One ,"1,799",NA,"
			
				Nuevo
			
			
				
					 - 
				
				377
				vendidos
			
		",(91 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,28,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-cerrado-nueva-coleccion-shaft-rider-one-_JM?searchVariation=39433695939,26,0,0,1,0,#577998441,NA,"M,L,XL",Shaft,SH,Aztec,Integral,Poliestireno,Policarbonato,Adultos,Unisex,Simple,1500 g,NA
10, Casco Roda Revenge Certificado Dot Incluye Mica Humo ,"1,349",NA,"
			
				Nuevo
			
			
				
					 - 
				
				421
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7494
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,135,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-620741508-casco-roda-revenge-certificado-dot-incluye-mica-humo-_JM?searchVariation=22706785484,105,21,5,1,3,#620741508,NA,"M,L,XL",RODA,Abatible,Revenge,Abatible,Resina termoplástica,Policarbonato,Adultos,Unisex,Doble,NA,NA
