search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo,Tipo de casco,Tipo de visor,Edad,Género,Modelo,Materiales del exterior,Línea
1, Casco Integral Para Moto Marca Vento Modelo Dama ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,5.0,11,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212832-casco-integral-para-moto-marca-vento-modelo-dama-_JM,11,0,0,0,0,#459212832,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
2, Casco Rebatible Con Lentes Hawk Negro Mate ,2500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				88
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13889
		
		 sin interés
		
	

	
		",89,NA,Entrega a acordar con el vendedor,NA,NA,4.6,14,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-451740128-casco-rebatible-con-lentes-hawk-negro-mate-_JM?searchVariation=40474244677,11,2,0,1,0,#451740128,Negro,S M L XL,Hawk,NA,Rebatible,Doble,Adultos,Unisex,NA,NA,NA
3, Casco Integral P/moto Vento Mod Italy Con Fucsia Ideal Dama ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-460684094-casco-integral-pmoto-vento-mod-italy-con-fucsia-ideal-dama-_JM,NA,NA,NA,NA,NA,#460684094,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
4, Casco De Moto Para Niña Princesas Aprobados Por Latu ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455463403-casco-de-moto-para-nina-princesas-aprobados-por-latu-_JM,NA,NA,NA,NA,NA,#455463403,Blanco y Rosado,52/54 cm,Mixx,NA,Integral,NA,NA,NA,Selfie,NA,NA
5, Casco Integral Ls2 Negro Liso | Oferta! Moto Protección ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 15488
		
		 sin interés
		
	

	
		",88,NA,Envío gratis a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-451251909-casco-integral-ls2-negro-liso-oferta-moto-proteccion-_JM,NA,NA,NA,NA,NA,#451251909,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
6, Casco Moto Hjc Fg-70s Apol Mc-5f Retro Bobber Vintage ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 36526
		
		 sin interés
		
	

	
		",26,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979981-casco-moto-hjc-fg-70s-apol-mc-5f-retro-bobber-vintage-_JM?searchVariation=41153414535,NA,NA,NA,NA,NA,#454979981,Negro,NA,HJC,NA,Abierto,NA,Adultos,Unisex,FG-70 APOL MC5F,KEBLAR,NA
7, Casco Hjc Moto Cs-15 Liso Negro Mate Con Visor Oscuro ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 28364
		
		 sin interés
		
	

	
		",64,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-458020157-casco-hjc-moto-cs-15-liso-negro-mate-con-visor-oscuro-_JM?searchVariation=39013534296,NA,NA,NA,NA,NA,#458020157,Negro mate,NA,HJC,NA,Integral,NA,NA,NA,CS-15,NA,CS-15
8, Casco Mt Para Moto / Mt Helmets Stinger / Varios Diseños ,86,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 17549
		
		 sin interés
		
	

	
		",49,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-456282940-casco-mt-para-moto-mt-helmets-stinger-varios-disenos-_JM,NA,NA,NA,NA,NA,#456282940,NA,NA,MT Helmets,NA,Integral,Simple,Adultos,Unisex,Stinger,Resina,Acero
9, Casco Moto Rebatible Hjc Rpha90 Mate Black Fibra De Carbono ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.40798
		
		 sin interés
		
	

	
		",98,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460267841-casco-moto-rebatible-hjc-rpha90-mate-black-fibra-de-carbono-_JM?searchVariation=40283787148,NA,NA,NA,NA,NA,#460267841,Negro,NA,HJC,NA,Integral,NA,NA,NA,Carbon,NA,RPHA 11 Pro
10, Casco Moto Rebatible Givi X16 Voyager Antracita Con Lentes ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 44688
		
		 sin interés
		
	

	
		",88,NA,Envío a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-446875319-casco-moto-rebatible-givi-x16-voyager-antracita-con-lentes-_JM?searchVariation=16566253194,3,0,0,0,0,#446875319,"L,M,S,XL,XXL",NA,GIVI,Rebatible,NA,NA,NA,NA,X.16,NA,NA
11, Cascos Power Maxx Azul O Rojo Mate Modelo Danger ,1500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8333
		
		 sin interés
		
	

	
		",33,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453357554-cascos-power-maxx-azul-o-rojo-mate-modelo-danger-_JM?searchVariation=41959681428,NA,NA,NA,NA,NA,#453357554,Azul,"S, M, L, XL",NA,NA,Integral,NA,NA,NA,NA,NA,NA
12, Casco Integral Para Moto Marca Vento Mod Italy Con Gris ,1290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7167
		
		 sin interés
		
	

	
		",67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459212375-casco-integral-para-moto-marca-vento-mod-italy-con-gris-_JM,NA,NA,NA,NA,NA,#459212375,NA,NA,Vento,Integral,NA,NA,NA,NA,NA,NA,NA
13, Casco Integral Power Maxx Dot Colores Lisos Homologado ,1264,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7022
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,4.6,17,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-443908518-casco-integral-power-maxx-dot-colores-lisos-homologado-_JM,12,4,1,0,0,#443908518,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
14, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 52850
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=UbVKlBnS5Fi1QFZX68t1z0ctkzSjCHRqbClh8Rg7S85sDilDM6EWLYLwYnWdaQEV5oAPDQBbSZMus8z%2F1eqDHfW2pNFz6zdMm%2BAwrM6du%2FkJlucy2qnFFZRfJoBJBp%2F%2FIJ8Fwqi601dn3%2BhJ1wbgg59m9mWpQ7bAdOZyGgXVPaXPdPbJP6VLBaqK%2Bq6H6yADGpgt5SpmSSODY6fCZMawShnirts6yTaVIKH4K73f8h34z%2BZlnUSDqtDha42OBHCUTARigje%2Fas233G7bLIMdXu48XXZdjzLv4%2Ftbi8ZDyG5bOWvjAS9jP15VGsjYD7Ymnld%2FjVYsxY8S6%2BYoZEj9%2FeB9l%2BoxUEw9IBNSeIflCfRT828qCC2jS%2BTz1VwM08MCyrw%2FNaCg8SamC3k5xEZ8c0Hej8J7ipRw6nAFuOq10FXe%2FWCcpt%2BtkmziG71ZQb9oASMLOtP7T10vWY6snsPFN%2BRtPetriQn%2FISns1vbH9ruH3jJtvsMOmGj7L%2Bkh%2B%2Fy8ZhYbfUaOn52fxj%2Fk0ECNKCcyHeCMCMpRZgIzsiFjf%2BR5yWCF44KfyQE5Afp23zHfEAUgzF7HyJj9%2Bc7Q96IfjGdD31o%2BUng%2BXK1riJmS8GdBnCOY8yvVwL5D47zQR7BgRhF%2FmS6TgRG9fuaZKcnuKESCsqLGinNvCb6mkft59ImQYnRpVgMa7Cuoka%2BeT3ga%2FGxv8RLyrSdqga7F3imi75rGfIkhtMrxBUCBs3lP3%2BC6nZlc%2BZDgT3K05KcI%2BPDXcGepAISHi8Gzj0tVV3Ir6qd48o%2FjMRHN2WF16iXAyudWOilYzA5gAzQb2BdrJpw8OjAtqi3SSkSKpdRTh4IplyS5SWUrqhvsIvICBf%2BcslqZulJxo33mIbRUfGEesap8I%2F9pkR57aRn29Sy6IqPVuWiwBnMymUgtgqdT%2FP1b8jl7K7gTlS%2FDhZrIEsM%2FVKoncvVzs4g6juTuuedLtJJ6O1D9y93MiSD3ivXN0iPEd7j0ZC3ujZW%2BHJ3e0qLamVnFNfJncUrf%2F6yP2vzHldNY7tSNQI5VKlGTxq9W8UYHHXYM6hA5uHumzEowxPGCBxkja74QrFtFT%2BSIJm5iSj3oPcfE8aQSEPwFcZygNyShQJ3Jvw8V1D14mPGNSvhJa2EDbOxqP%2BZMJEHFzxBk4sU%2FFMun4%2FFGuHgr1KCIO8SGKV3AO5brD3dv7S03Mz9dNdAr%2FJYxilFeOUG92jt%2FeZhSvACJJzlJ5Ba%2BZQJ4Zu2ciyk3X7ksU9U28R%2FQH2MtpW018xQ8mfdQ%2F2d6APD%2FPacXX9LPsS2%2BiKtzXzKegRntwjOPICFAN%2FKu3mpkTpp5z8cXs6g4tzXx9XP%2F2vr2FB1U3feWDIXAKsWOEtM%2Bp8VeSr5R3IRTkEeePnLtonHZywE4VEaCeUzipbaT0BNc7b71rUm3Hcb1Kp4jNi9yTNdysBPtKbNWA99Ychq0cB4BufYApypXuHLoYXT%2FpojM5YvZVj9RIf4GcErsTtWgCUcMQoZENooT8AuTltzbaB2V5EjjNyxA2iJ3R3mRhzXu924JQuzc5Ddn5pCijcQaNBwmTiOTrZ9zH%2FPC2b8kfqSViQy7N9EV7tC4n%2FGxf76fb%2Be3iyROKJHbCUOzj2FQQKAKBC0c8FlAqO8%2Bq1DrzyGdH1WHPm8v4KNgoLZ7Za1S7REl0U%2FQ0E0wFiHg0mvS4urPZ9dAmEOgTDqQDjRMkJSPVoJyz%2BZY7KRTEfmTDUyXY4yq7resqN2N0OQo30Jl5mBX%2Fwldwoa8bIpYD5e0hQ13h%2FE0ZnDcebBJvt5fU0XNVmaXZppQN1Sc%2BjmhPp8t34wmIf75XVoNLWAkQv8ZTjJQ,NA,NA,NA,NA,NA,#454978455,NA,NA,HJC,NA,Integral,Doble,Adultos,Femenino,LOKTAR,Policarbonato,IS-17
15, Casco De Moto Para Niño Aprobados ,1100,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-455324466-casco-de-moto-para-nino-aprobados-_JM,NA,NA,NA,NA,NA,#455324466,NA,NA,MIXX,NA,Integral,NA,Niños,Unisex,NA,NA,NA
16, Casco Moto Hjc Is-17 Arcus Mc-1 Con Lentes Incl. ,259,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 52850
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979871-casco-moto-hjc-is-17-arcus-mc-1-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454979871,NA,NA,HJC,NA,Integral,NA,NA,NA,Arcus,NA,IS-17
