search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Usos recomendados,Línea,Modelo alfanumérico,Peso
1, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,2333,NA,383,27,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,325,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668377,217,67,33,5,2,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,Urbano,NA,NA,NA
2, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,4678,NA,10,6,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,1,0,0,0,0,#714158396,Negro Fluo Amarillo Naranja,"L,M,XL,XXL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Casco Moto Integral Vertigo Dominium. En Gravedadx ,2399,2699,881,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,219,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-en-gravedadx-_JM?searchVariation=32109894632,136,55,20,3,5,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,NA,Vértigo,NA,NA
4, Casco Moto Integral Vertigo Max. En Gravedadx ,799,949,837,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,50,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-en-gravedadx-_JM?searchVariation=36506481010,35,9,6,0,0,#683109534,Negro,XL (62 cm),Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,NA,Vértigo,NA,NA
5, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Full ,1546,NA,2292,8,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,308,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-full-_JM?searchVariation=32288304731,194,67,32,12,3,#616668706,,"S,L,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,Unisex,NA,Integral,H57,NA
6, Casco Moto Integral Vertigo Hk7 Mate. En Gravedadx ,3149,NA,1417,14,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,219,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-en-gravedadx-_JM?searchVariation=25749397824,136,55,20,3,5,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XL (62 cm),S (56 cm),L (60 cm),M - 58 cm,XS (54 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,NA,Vértigo,NA,NA
7, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,2365,NA,698,3620,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,103,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=41519443921,66,21,14,1,1,#745949532,,"S,M,L,XL",Halcon,MX Road,Cross,NA,NA,Polipropileno,Adultos,Unisex,NA,Cross,NA,NA
8, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,NA,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=lYj7nQrXRVL4dqc3uL7IecuAgietXLjv9NIoaUN4YMJeShEZTUok4EdCaDLjiIHwikfp4DrnaAyNsIY5wmxCbhkM%2FNBIfEd8%2BrUGPKHIXF7OZQcuiM%2FTUX%2Btr48z3FAzs5A5yY4tczNdoqvPbiVngpljfdv4BaTN1oNLuC8KDYBFiAcka6m00uoSpMswAvNYvnGs6JSbxEaGhdGVpw4JDuRCVGouzpMWNfw2mJ3yu02JXM1ppcYC4s7dhL%2Fb9AXSjQaj5c8Q2eWTRJSXCLDZrjb9dr608OEm6npE%2F6pe6kXNE8WFRC9kF8fDdj6moVmhpqj8N%2FHPDLmjvW5DYEwVqwAKEZZlH9iKV77w11XxDL0Z4WR1hY1Bd2m2EJOUHCBPlz2uF9q2%2FlqOnEjGNJ1Pd%2F2ZsbXHbsnLh8kRen8KEtugZoX8NLoSB3%2FnDs6D31Zl7H5WiNvC1CLYOlfOxtP2FPSdY%2FNpYGPmQbDFG2%2FD1EVRL8VvElxtXhJhPK%2B67CKWsObOUv1JARCaJ6Mi4Ci41MQdABZvujBUE8QTbj5PLT23IwoZCYSsMiN%2BKfwozS%2B%2BQVMdWN2xVOVXlIzT0wHXefF7J266TyK1PGGxe42IhC0j2R7Ls1icN3IMAOxfR%2Fo3FW9zulMPk1F80pWGXul4%2BghSawC2h8nYH4TeemxK4kKP49gU%2FQVKj9EwtO1BIScKn5OErvf%2FYr1nO9bHeDN%2BQNiWFuj3lGNfprrMaGyZFRr4Zs2WDhkaG2KaL%2FJ6FHDLhKSuKwdD8Mb6V6X3ZlFjVi6RfFq1ze0jrwxK8FDnwg7scjGsS9Fts88KHVCBJdPPXFH2OiFvzh7iM%2FUfXJ7x2cCYkZQvMwzNrLtfAg%2BXEu0h2KDJc6IsTdmFVZ6VWKgh6LPM%2FA4KxoptwUSmn1nE0sMXjSPY4%2BKq3ydLkQjKY9BqC3AeWZPbX96CQxoaLL%2FZLiKdsvjrs9RMWAuTvI57EuwlQQX1yohIvpALQiIRjAEwRcmhf2lSbjySaLAJJPugAmWYlRLpf%2BmCRm1VEgR0KLeYLzj7ncXQ65nf63U9jgvXLVfbGv1lqNGEOykdGHU481NYPQmo0tMtS9Ls0lNOFqEkON9Zh%2FaWKI7%2BfPEnfZ6t%2Bb1qAen8id7lG%2FFZJWmfatXuy05hhB%2FU5HpdJNe3y6rEW%2F5cPClcPKcrC39eY3S%2Bd7i3EmDeMofxntqUybv50IOpLgi13kqQWYqI7Ys7ak1NJ2ro%2BouE7dVFCEOo3j5kDPbeGlm4FOWRqCQYHbhfxAIJVQVZW9PWR2tS0cS2OqTHnhUMfXTYISxzn6TaBl6Mnu5rEQROqPreyvPydw4uv%2BnGPO8xKS82JqQPn5jXnNpWNjgMrAXNpVxxcvD3112T4oSqffQoFnZHpXtS2mQFhrvv2vKmfTj2bZqlM7pfB%2BoE5lCIRdxVa6ozhbYZGHkB%2BGTWM7qf6DCHHAfacOvffgKRRV8qNvJYNwjf%2FYaQX4FRi7%2BjZ9D0N45fcWcJB8kqdMXZnXBuAZBXaYZ02AaFASpOkTw%2FGFTB%2FpKb007E72mneipQN3MV0YofoeNZxWItpJy56taL%2FYGPHkn%2B%2BO3PwZAj0qF8tj0N2IEH0qC7dZlVzsw55c6LjlIXWQcnZK816bWrl8DQGVxi3W9NFDNX5E8vH9crkoAEkGSDU%2F1Q2zH4AvpbSjO6HYIw9SvvCIqJ7VNJwTcpt%2FMZfufxqB8QkmLRJfbAPhW8Alct4UKtxFZll3Ue64f1SbozL641oJ4YBfoFZOAIHVFEfEdY0idLDUvRuUgEQQ7kXkvgj0RNa0lTVLHINW5WxKfuKEoMWRDZ%2FH0uZFIgKPyaFKaHtjLpCvm41dGQJqzn,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
9, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,NA,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
10, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,3440,4500,362,106,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,1049,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,639,281,83,30,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,Urbana,Rebatible,RS5,NA
