search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Usos recomendados
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,164,189,"
			
			
				
				4666
				vendidos
			
		",(2683 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1374
		
		 sem juros
		
	

	
		",74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1821,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456541671#position=1&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1314,352,99,25,31,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA,NA,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,"
			
			
				
				4199
				vendidos
			
		",(1520 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,4.6,1478,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969#position=2&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1106,254,88,12,18,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA
3, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				1229
				vendidos
			
		",(95 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2233,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=39868558664#position=3&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1488,418,186,69,72,#1162746915,"Prateado,Amarelo,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,NA,NA,NA
4, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				892
				vendidos
			
		",(52 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2233,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=39733343550#position=4&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1488,418,186,69,72,#1162758324,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA
5, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				2302
				vendidos
			
		",(34 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2233,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651#position=5&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1488,418,186,69,72,#1071430308,"Amarelo,Azul,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg,NA,NA
6, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,"
			
			
				
				1255
				vendidos
			
		",(1203 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 824
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,2233,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051#position=6&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1488,418,186,69,72,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA
7, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,"
			
				Novo
			
			
				
					 - 
				
				1866
				vendidos
			
		",(497 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 658
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1557,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615#position=7&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,1042,323,140,31,21,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA,Micrométrico,NA
8, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				219
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,21,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=HY6ViAYkpCfnSGKYIWMQ%2BJl7rtYKLdY%2FgoaWD1WIYgeoyUfjan3uUs%2FngWf1WMNeUjE1yI%2FhoRUk5aHlm%2F9WXjgxfi%2FrEPbVbyOO6hY1KLHauOR6O5yoPdz%2Bdp55QTbgKFYhqvIHzw9zysDMql5ZGIDDRoeT1KZy%2BZ2GMiXlXHA5GBe4hmaSZF9PKEFKAd8o0UN7u4yCQZST4tPoAbHZD0jHozHCbjgUf%2Fa0Vj4I%2BQDYlu7HxChzD6roiA6o9AZS84G4sQvwxaERreROw61FG7SM%2B2dnlEc815tpthvsWFQnI8MgXcnMAhktnSnlDa%2Fy64WvjjNQSX5G9ymYzKgFwqKQToecS2F6ylv92JDfS%2FIJBA0AKPrvJu6T2KH1DwqjuJVovGIYWfmiUPPNKFq1qzGiMMHNmuuH5onddlqWPIOEm%2BF%2FUh4PJAHN9AcDVeYM8d0X%2B8kHyfKbFXb4G3Xu%2F9hXKsV4Hkmo7r2di0BE18memT7LPoGXI59PAuaJRoWqTaVw2Yy9TfQgy1zjvQW0tlpP0XIAH4h%2FNwwBeh5i51VH2cC7grbiWeC9LpxJob7nvRLjzMaNM1ASxdx0DObx5O0OFKsAptaMfa4ub5BXcko9L29t8DjAjbEONrz7ALnizh%2FJITWcSkqBJwM4obgh512quXk34z3WzbCWzPEOqIwSUH%2BkMpGLa3Sp0YVUOMc5YJYJf4FxF%2B6XqDxXhx7Gi5HOBQ86zrR9AawDOqTFavgvCH%2Fa%2BiGo5UkhGfPfMU9hXLsi0u0jBlYd2yDj8faYnq3lapj4o0Mt%2F9PZhY1Bd8igROX8wCKkkJDlmFvgYsB9yEjhhYRUM0LekB4nQvjPWtJURnE4BRa8P0YyUMfLg55q0iFqy8iNuGiio0GbSlAgoKY4oC%2FvYt6ikzQiDLbLsTybodYp1T5uH7H%2FqB87Uxe3z5Z%2B4l04k7CwBTXLlhOUK41pS%2BWbIltwi3M7RgJcI0th1PCRtrCa3den9moUqnF2n5ZVkFknfarrir7QHSCF3fN0QquN20jpyIPz2OEeZH7rxFiOgU0y4bJRhxsLWozcoo18szGcDjxXlx8kOZsGnqpnLcILXNQWPkCJzrW2nEnFJuEI9GSlN4PIaNUhX63tQOtptVEDiC9HPZ%2B%2BW8FU8vo6vE4dTleCfGCv3ORrJaNl%2F1ax6xM6tBuzdNK62w5UP6q75W4B2ShC5IJ%2FLHbsnxNgg6kMmUY4Ltuvy72Y0UR1DC7sbZO6WMZHRuN0%2BRAmA2hSTlDGgzo2fHJoJa4OQv1Ta7mz0HrElG9rveDAcJVEgYMZLGoVZu7QnkojJWzLcgNxNlJZl2NBeqG%2BiDgxrX5sa8e0j9OaNoOifo5S05khjbTREnIdW6KeMPMak%2BmKfifMCCFD0kMUaIAJGHU6YXguNR1tjw2RsebjXf2vvel%2Brzds3Kvj8iNEb78%2BnwnQMxiA3zlEeVuNt7bYNBvF9D0nWCQ05iCHl5UBrwH2pbwm3q%2BDsPu9Rqf99KZTqi99hSVlvDUnruh%2BIE1lELDZgvsKFhtgL9bkvqaQDWoKCHNiK6jjTboe3gRsL8usNMmNFUdJLEouMBqb9DnZQsIRXSV4eaV0wD9vGIwvYYRW%2F8ZJ6PyGcy1i2jX6hV1zqOI4N52rg8kdAsh2T1IYSnIzFpzwM51S6JlZXIRrYEF1TAfXzJ6AHCRvSVcZyehMkzAm63M9%2B6sT3iDVcdIUn%2BVkR2Cb0Hdp8KlrJ7840YJJWrRTMBDHN8eZMcBLzTJASI6Auhsq0LjsIDUkVdc7XzEVtMDbcln3PWKBKjl8l8CqpHLhOA5AFvS4IODoVm9vqKz%2Bo5pGjAlBYcWm7E%2BfPglTtKAm4VL7mUwG%2FYfgBvTb69l5Ff7koeK6nXih8MWe%2FaF23IrP8GWnw3J99666RtvaCfwMQgVLzVQvYrfIoK2Vjkz83kfsTBvbvr%2B8HrQvrL66gEH5RSedXZk11JjxUTIYIR8wbAAhBkuX%2BcWpgw%3D%3D,18,2,1,0,0,#702919658,Preto - Skull Fosco,"56,58,60,62",Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,1430 g,Micrométrico,NA
9, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				3076
				vendidos
			
		",(20899 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1581,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283#position=9&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,979,347,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,SPORT MOTO 788,Sport Moto,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA,NA,NA
10, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,57,NA,"
			
			
				
				1020
				vendidos
			
		",(2483 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 648
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,NA,NA,4.4,822,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717#position=10&type=item&tracking_id=240bbc99-39c2-406d-be8f-e7bc5f1c5f26,495,193,90,24,20,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA
