search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo,Color
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.990,NA,"
			
			
				
				34
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM#position=1&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,NA,NA,NA,NA,NA,#466453148,"L,XXL",,LS2,EVO,FF324 METRO,Rebatible,NA,NA
2, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.990,NA,"
			
			
				
				45
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM#position=2&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,NA,NA,NA,NA,NA,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,NA,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				292
				vendidos
			
		",(238 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.498
			
		
		 sin interés
		
	

	
		","
				$ 7.498
			",NA,Envío gratis a todo el país,NA,NA,4.6,23,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM#position=3&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,17,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,NA
4, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.665
			
		
		 sin interés
		
	

	
		","
				$ 9.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM#position=4&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,"TALLA XL,TALLA M,TALLA L",4rs,NA,166,Cross,NA,NA
5, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,74.990,89.990,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.249
			
		
		 sin interés
		
	

	
		","
				$ 6.249
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645#position=5&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,NA,NA,NA,NA,NA,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA
6, Casco Moto 4rs 128 Black Edition Multiproposito Norma Dot ,47.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				87
				vendidos
			
		",(70 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441881572-casco-moto-4rs-128-black-edition-multiproposito-norma-dot-_JM#position=6&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,4,0,0,0,0,#441881572,"S,M,L,XL",,4RS,NA,128,Integral,NA,NA
7, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.990,49.990,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM#position=7&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,NA
8, Casco Moto Ls2 Ff352 Negro Matte ,52.990,NA,"
			
			
				
				156
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.416
			
		
		 sin interés
		
	

	
		","
				$ 4.416
			",NA,Envío gratis a todo el país,NA,NA,3.6,5,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM#position=8&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,1,1,3,0,0,#461026560,"XS,S,M,L,XL,XXL",,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,NA,NA
9, Casco Moto 4rs 125 Motocross Enduro Juvenil Full Color Dot ,37.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				74
				vendidos
			
		",(57 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.332
			
		
		 sin interés
		
	

	
		","
				$ 6.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124740-casco-moto-4rs-125-motocross-enduro-juvenil-full-color-dot-_JM#position=9&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,5,0,0,0,0,#446124740,"XS,S,M",,4RS,NA,125,Cross,NA,NA
10, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,134.990,NA,"
			
			
				
				28
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 11.249
			
		
		 sin interés
		
	

	
		","
				$ 11.249
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM#position=10&type=item&tracking_id=743bafcb-629a-4ed1-ba08-674d6314c848,NA,NA,NA,NA,NA,#461069835,"M,L,XL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,NA,NA
