search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo,Color
1, Casco Moto Ls2 Ff324 Abatible Metro Evo Blanco ,129.99,NA,34,5,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466453148-casco-moto-ls2-ff324-abatible-metro-evo-blanco-_JM#position=1&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,2,0,0,0,0,#466453148,"L,XXL",,LS2,EVO,FF324 METRO,Rebatible,NA,NA
2, Casco Moto Ls2 Ff324 Abatible Metro Evo Amarillo ,129.99,NA,45,10,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-464711147-casco-moto-ls2-ff324-abatible-metro-evo-amarillo-_JM#position=2&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,2,0,0,0,0,#464711147,Amarillo,"M,L,XL,XXL",LS2,NA,FF324 METRO EVO,Rebatible,NA,NA
3, Casco Moto 4rs 168 Sun Visor Certificado Dot Abatible Flipup ,44.99,NA,293,237,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.6,23,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-438976101-casco-moto-4rs-168-sun-visor-certificado-dot-abatible-flipup-_JM#position=3&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,17,3,2,1,0,#438976101,Negro opaco,"XS,S,M,L,XL",4RS,NA,168,Rebatible,NA,NA
4, Casco Moto 4rs Mx Enduro 166 + Antiparras On Motocross ,57.99,NA,95,60,6,9.665,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-439510792-casco-moto-4rs-mx-enduro-166-antiparras-on-motocross-_JM#position=4&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,7,0,0,0,0,#439510792,VERDE / ANTIPARRA VERDE,"TALLA XL,TALLA M,TALLA L",4rs,NA,166,Cross,NA,NA
5, Casco Moto Oneal Challenger Crank N +lente Interior+pinlock ,74.99,89.990,36,9,12,6.249,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://articulo.mercadolibre.cl/MLC-478913019-casco-moto-oneal-challenger-crank-n-lente-interiorpinlock-_JM?searchVariation=33417105645#position=5&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,2,0,0,0,0,#478913019,Negro,"S,L",O'Neal,Challenger,Crank,Integral,NA,NA
6, Casco Moto 4rs 128 Black Edition Multiproposito Norma Dot ,47.99,NA,87,70,6,7.998,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-441881572-casco-moto-4rs-128-black-edition-multiproposito-norma-dot-_JM#position=6&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,4,0,0,0,0,#441881572,"S,M,L,XL",,4RS,NA,128,Integral,NA,NA
7, Casco Moto Ls2 Ff352 Negro Matte ,52.99,NA,157,26,12,4.416,NA,Envío gratis a todo el país,NA,NA,3.8,6,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461026560-casco-moto-ls2-ff352-negro-matte-_JM#position=7&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,2,1,3,0,0,#461026560,"XS,S,M,L,XL,XXL",,LS2,NEGRO MATTE,FF352 ROOKIE,Integral,NA,NA
8, Pack 2x Casco Moto Abierto 4rs 537 Verano Certificado Dot ,29.99,49.990,50,6,6,4.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-473556472-pack-2x-casco-moto-abierto-4rs-537-verano-certificado-dot-_JM#position=8&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,NA,NA,NA,NA,NA,#473556472,NA,NA,4RS,NA,537,Rebatible,NA,NA
9, Casco Moto 4rs 125 Motocross Enduro Juvenil Full Color Dot ,37.99,NA,74,57,6,6.332,NA,Envío gratis a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124740-casco-moto-4rs-125-motocross-enduro-juvenil-full-color-dot-_JM#position=9&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,5,0,0,0,0,#446124740,"XS,S,M",,4RS,NA,125,Cross,NA,NA
10, Casco Moto Ls2 Ff352 Touring Negro Blanco Rojo ,52.99,NA,36,15,12,4.416,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-466354444-casco-moto-ls2-ff352-touring-negro-blanco-rojo-_JM#position=10&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,1,0,0,0,0,#466354444,"S,M,L,XL",,LS2,Touring,FF352 ROOKIE,Integral,NA,NA
11, Casco Moto Ls2 Mx436 Pioneer Element Negro Titanio Matte ,134.99,NA,28,18,12,11.249,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461069835-casco-moto-ls2-mx436-pioneer-element-negro-titanio-matte-_JM#position=11&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,NA,NA,NA,NA,NA,#461069835,"M,L,XL",,LS2,ELEMENT,MX436 PIONEER,MULTIPROPOSITO,NA,NA
12, Casco Moto 4rs 09b Gear Rojo Integral Con Sun Visor Dot ,38.99,NA,31,58,6,6.498,NA,Envío gratis a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-445142214-casco-moto-4rs-09b-gear-rojo-integral-con-sun-visor-dot-_JM#position=12&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,4,0,0,0,0,#445142214,"M,L,XL",,4rs,NA,09b gear red,Integral,NA,NA
13, Casco Moto Armad 813 Negro Cert Ecer + Mica Iri Azul Luz Dia ,49.99,71.990,34,234,6,8.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OXS+ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446124431-casco-moto-armad-813-negro-cert-ecer-mica-iri-azul-luz-dia-_JM#position=13&type=item&tracking_id=4d1b3b2a-a8c1-4996-891a-249d94b171bf,1,0,0,0,0,#446124431,"S + mica azul,M + mica azul,L + mica azul,XL + mica azul,XXL + mica azul",,ARMAD,NA,813,Integral,NA,NA
