search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Modelo alfanumérico
1, Casco Oneal Series 2 Slick Negro Motocross Enduro Mtb 2019 ,"2,550",NA,"
			
			
				
				46
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 14167
		
		 sin intereses
		
	

	
		",67,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,11,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=375,https://articulo.mercadolibre.com.mx/MLM-636228850-casco-oneal-series-2-slick-negro-motocross-enduro-mtb-2019-_JM?searchVariation=27681177843#position=1&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,11,0,0,0,0,#636228850,NA,"M,L,XL,XXL",O'Neal,2 Series,Slick,MOTOCROSS,Simple,EPS,Policarbonato,Adultos,NA
2, Casco Oneal 3 Series Motocross Enduro Mtb Helium Azul 2019 ,"1,299",NA,"
			
				Nuevo
			
			
				
					 - 
				
				200
				vendidos
			
		",(26 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,8,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=33988574797#position=2&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,6,0,1,0,1,#669501641,NA,"L,XL",KOV,Stealth,Stealth,Rebatible,NA,NA,NA,NA,NA
3, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,949,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1488
				vendidos
			
		",(2810 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5272
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,104,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218#position=3&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,72,22,4,2,4,#552218947,NA,"M,L,XL",INNOVANDO,NA,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA
4, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"4,839",NA,"
			
				Nuevo
			
			
				
					 - 
				
				137
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 26883
		
		 sin intereses
		
	

	
		",83,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,8,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483#position=4&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,7,1,0,0,0,#654427065,"S,M,L,XL,XXL",,Scorpion Exo,Covert,Covert,MODULAR,Simple,EPS,Policarbonato,Adultos,NA
5, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"1,550",NA,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 8611
		
		 sin intereses
		
	

	
		",11,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,8,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435578802#position=5&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,7,0,0,1,0,#687886875,NA,"L (59 - 60 cm),XL (61 - 62 cm),S (55 - 56 cm),M (57 - 58 cm)",Faseed,NA,FS-726X,Modular,Simple,NA,NA,Adultos,NA
6, Casco Roda Revenge Certificado Dot Incluye Mica Humo ,"1,399",NA,"
			
				Nuevo
			
			
				
					 - 
				
				207
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7772
		
		 sin intereses
		
	

	
		",72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,13,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-689955419-casco-abatible-deportivo-modular-cafe-racer-fassed-trooper-_JM?searchVariation=38914188683#position=6&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,10,1,1,1,0,#689955419,NA,"M,L,XL",Faseed,NA,Trooper,Multi-Modular,Simple,Poliestireno,ABS,Adultos,NA
7, Casco Abatible Deportivo Modular Cafe Racer Fassed Trooper ,"1,349",NA,"
			
				Nuevo
			
			
				
					 - 
				
				442
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7494
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,138,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-620741508-casco-roda-revenge-certificado-dot-incluye-mica-humo-_JM?searchVariation=22706785484#position=7&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,107,21,5,1,3,#620741508,NA,"M,L,XL",RODA,Abatible,Revenge,Abatible,Doble,Resina termoplástica,Policarbonato,Adultos,NA
8, Auricular Funcional Bluetooth 4.2 Para Casco Con Micrófono ,347,NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(49 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1928
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,4,https://perfil.mercadolibre.com.mx/JSMANSHOP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=%2B2F7cmGFUahMWX0J2wx6jeDqsc88M4jk%2FvBwycZovKz8hgD%2FPsmOrahjTFs9W2%2B%2BWVrHW4el%2F0pK1jAVN8PIX%2Fdu0BjHn3W1rcSw%2BNLCqjzHTvp9sXU3Rt%2FIJIegz%2FDgNWKQzES027bsUj2db8QdRVmONIgiIWIodMbb2%2FGZ0Mb%2BaI9JFrfyjVdXofyERRzszgA3C1ZdJk%2Fyy5w0WMRgqYpw7f5fXhuP082r4luGn6RXeDAdo2GztI1PRRtaffJKu5RjTp4PU12wHabKBXsTfqswYUjz4OwYDMfjo52PQ4zjsSBuzgytoBvVQ2WB%2BSd%2FmIMkTEFTWb85vsoUh6brwgTYr4XLerHqo3K%2F%2BxHWLUQlfb9h4FCmC2SYVe9TxNdQ4qa0WkBMC675qMJsJoIFat25L06uvKXEfdKqy2FgngflmK9B%2B2ut6UhkXLDV0LX7yWczFqkwe0ZzjAvDJ37wBs7X4NhfiuHz1BYthBFJoAtVToSNr3dyOuC9k7f9iML%2F%2B3hUynNw7hVPZDSITTpOvIl1D1uQvWcpZFpWx6Dk%2FPlAkrxtfG8LNC7HXhgWuWuklaMso2dqcsLn3%2Fi8dBrW2O3KI8By9GxolB%2FcwObOBWpucjXa7XvHNdFZnwV8ip4Pd3PEoWz1L3RD1CHKnW9JwiL7Rvrq4MPTmHYFOLBNxmekZUMRsGg4aZ6wKLUwCXtH6Ulfnm5eW81Qm46MuOnk5jKenMgYq7YTlhQDX%2B%2FoFvh0v8wX1S6eLkEWZSN6WqhMYMurszzWzjeZsu4vMZg0g%2B563eUQWdo5kksyV0QFht93XKCL8%2BiYfg77NtYkkdI9rG71oAwGTVG893xge%2FViDoizZtxq1hBY4k0Kz6AlvHfpbNrvl0Bfk%2BOODAIM8m%2BtG6aB%2FytV2axK90p4gtbYpSePIWiM2%2Bdq5QxqjAzHnfP0G6f85cc3qg5%2B1JtPZ37jD%2BuuV0MLBtEVTRMEzcqdhMj%2BUIbu7NI4KrcuPVDfrMl6%2F8Rst8dGQ8Ow7tONVQF37%2BeTf5oNSmIA8Tq9a2oGBxP66D9OYa09ZXm6R%2BPXqBhLerVLdSf%2Fc7wGO2iQec%2F3ZspX8LgZsUKtgJdNmT2CZCGA8yF%2FIV6AH29UeTa3vVo6WRBy7faxhMqWUJbdolFqLkj6rmpAx6cWL2%2F5KPbErpuk39GMwoHs56lOIO90S1vb7laHZhHclic4cjNlAY6ru215%2B1RqS0DKvmvydX4JoUJNMZjOUASaBnBBPHj7EEt8fIMH3E56Fzjtdj64fB4gO4wJ7iIyZ0a5eRr3I%2BGPu%2FiHmAR6f7BNtXGSDAA45UxYGKyll6%2BtwGR3x87xxyEE%2F76o7361StitBCwsDTPvRPkrbsnH%2B5Zw%2BRyMs17aPzFAJXu7W3M%2FJ6i%2BZooLkcNCMtW7DyXFRgbuuXJ%2Bji3LbBrDxQ0Je97J0%2B0X6RWOaWPWbC3jSBNHmeLh8YeAKE6DQMXmUD2iwFgY802bUAICzZYFZoSLIvIxS3%2Bk0dO5uA%2BlI1nnWdupCNyJXB2T8mjEo2aDzZ%2FyWu8yNTNzm5FJLe5pgfqNVtkg1xiX76QqxR%2FeuH%2BOIZEhWTr%2FuMft54V7PSn150VtqiiJ17kW9P4MF9OViSCMLHr1NS9%2FSZzlaYjJJkVPU3OEapeQXr5ckxrcPfoiPiYktjFHShaEdjj2R95zIqGwrUeVbH0zU6aBJBmPRb%2FFJ44M8VOYuk84ampbiTxlbBJGyA%2FnJd0hetvaGT6FcNNapAWB6%2FEEUyRuFoetr6f2%2BZCQ25mt1SL73a73srBiHYRjCpOM5PvS7Lt7LkmokohM0dVs8kvQRUjCFi6lZ1lIzGIRnXrO8uw6k70sHfNeGKVCxfc6agmUu3n4%2BRXKVdG%2FF19aIWxF2vssJ2kw7TYCiDw8h8wdBx6Q0LG8SA%3D%3D,3,1,0,0,0,#667988493,Negro,17cm,JS-T1,NA,JSMan-W6,NA,NA,NA,NA,NA,NA
9, Casco Para Motociclista Kov Match One Negro Aerodinámico Lente Interno Certificación Auténtica De Seguridad ,"1,799",NA,"
			
				Nuevo
			
			
				
					 - 
				
				388
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 9994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,30,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-cerrado-nueva-coleccion-shaft-rider-one-_JM?searchVariation=39433695939#position=9&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,27,0,0,2,0,#577998441,NA,"M,L,XL",Shaft,SH,Aztec,Integral,Simple,Poliestireno,Policarbonato,Adultos,NA
10, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				735
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3056
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,98,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987#position=10&type=item&tracking_id=2b3b7967-5ef3-4e44-b235-28b06eeac4b5,66,18,11,0,2,#610879940,NA,"M,L,XL",Promoto,CERRADO,A107,Integral,Simple,Poliestireno,ABS,Adultos,basic
