search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
1, Casco Moto Hgv Certificado Integral+ Bolso ,159,NA,8,292,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-435205463-casco-moto-hgv-certificado-integral-bolso-_JM?searchVariation=41593917674#position=1&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#435205463,HGV,AGRESOR,Integral,NA
2, Casco De Moto Cross Negro Mate ,140,NA,16,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-431865227-casco-de-moto-cross-negro-mate-_JM#position=2&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#431865227,NA,NA,NA,NA
3, Casco De Moto Negro Mate Con Visor Para Moto ,55,NA,17,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-430195534-casco-de-moto-negro-mate-con-visor-para-moto-_JM#position=3&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#430195534,NA,NA,NA,NA
4, Casco De Moto Articulado Abatible Negro Mate Nuevos De Stok ,130,NA,28,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-426041940-casco-de-moto-articulado-abatible-negro-mate-nuevos-de-stok-_JM?searchVariation=40455808756#position=4&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,2,0,0,0,0,#426041940,FG+7,FG+7,Rebatible,NA
5, Casco Para Motos Articulados ,140,NA,5,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-435034835-casco-para-motos-articulados-_JM#position=5&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#435034835,NA,NA,NA,NA
6, Casco Moto Negro Hgv Certificado +bolso ,159,NA,39,298,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,1,1,http://perfil.mercadolibre.com.pe/FUNDASYCOBERTORESPERU,https://articulo.mercadolibre.com.pe/MPE-432617110-casco-moto-negro-hgv-certificado-bolso-_JM?searchVariation=41593808419#position=6&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,0,0,0,0,1,#432617110,NA,NA,NA,NA
7, Cascos Ym-329 Para Moto Y Bicicleta Certificado ,59,NA,4,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435404383-cascos-ym-329-para-moto-y-bicicleta-certificado-_JM#position=7&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#435404383,NA,NA,NA,NA
8, Intercomunicador Bluetooth Bts3 Casco De Motocicleta ,220,NA,22,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX,https://articulo.mercadolibre.com.pe/MPE-431325039-intercomunicador-bluetooth-bts3-casco-de-motocicleta-_JM#position=8&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#431325039,KONTROL,BTS3,NA,NA
9, Casco De Moto Tipo Policia Choper Con Visor ,55,NA,40,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-422140438-casco-de-moto-tipo-policia-choper-con-visor-_JM#position=9&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,1,0,0,0,0,#422140438,NA,NA,NA,NA
10, Lentes Gafas De Motocicleta Bjmoto Promo Envío Gratis! ,119,NA,7,NA,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-429018866-lentes-gafas-de-motocicleta-bjmoto-promo-envio-gratis-_JM#position=10&type=item&tracking_id=2d949bd7-f450-4268-a008-ae30c63dd02a,NA,NA,NA,NA,NA,#429018866,Bjmoto,Casual,Clásico,NA
