search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
1, Capinha Armor Para iPhone 8 Plus - Gorila Shield ,22,NA,712,113,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,12,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=33828135574,8,2,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone
2, Capinha Capa Case Silicone iPhone 6/6s 7 8 Plus C/logo Apple ,15,NA,758,16,3x,5.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,25,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029823,19,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone
3, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,22,NA,318,97,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=33827713956,3,0,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone
4, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,225,10993,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,5,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato
5, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,23,NA,326,84,4x,5.98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,6,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1012470928-capa-case-capinha-iphone-6s-6-plus-glitter-rosa-luxo-premiun-_JM?searchVariation=35321463311,4,1,1,0,0,#1012470928,Apple,Iphone,TPU,Transparente,Glitter,Silicone
6, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,33,NA,305,3495,6x,5.65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-case-silicone-iphone-66s-7-8-plus-clogo-apple-_JM?searchVariation=38604797244,3,0,0,0,0,#1248683581,Apple,7 8 Plus,Silicone,Protetora,Apple Case,Silicone e microfibra(camurça)
7, Capinha Capa Case Silicone iPhone 7 / 8 Lacrada Original ,29,NA,166,334,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,5,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,34,NA,108,3399,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AJCAPA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=VRd7To98zTAVMNAlOlP5vx50ClAqS3gobKy8pbbnYiQXVYuETNamc3l42WQDJNStRRXZziG3TXF7SBTj2D4UIlDCAw370yDo9bvkz35TV7bvOHfAagJ2B14hMNm6evhoPKPfCJbUVkXaqChZEevBx72CKF1fiAqlOmLoPMZCCb0lrJJuXhzC0%2BP%2BcDK0y119LX2UCXPm8Cx0swxrJiFesUy8VaOwURoKRG9tbILeNNue1zTBJdh84P00yUmWlAHCR%2FKTjI8ETMlkkfZmu58dVVqVFPbcEd5gyMos5SFZIkHRNvh2QfJzL2RIqgX%2Bgkdsq2TmUlY7Oso7udEkFv07qrCCl%2Bw0OmlOmPSE%2BQU81SyVtJ9sgD7FU6Glg9miKVVbq9mntruWjd0GiTKy3JgdUwF7ZYj%2BvQlw15cP7RsbFBl%2FdbH7hy0g8mGFZqK7P%2FTeNn5c6%2B0pvVF4vSEqIOnwaols1UA9Rrsj8Wux0U9Ba6cRuuj4dGQqm5KcuQeLuVY9X0E6BhMbZueH8F3JWe6lg4FGjR2oY1QYYqo53u61TBr3rtKt60OSWH6FsmK7wLXEksA4G%2BF82dYUf%2FKDxjmttxBoYs6DeAKiaTZ0kHYd8P1v%2FNSKk8wUDr7l8Sv2oVIeD%2Fu5RVXUS5WHdCFViRZJmi1znVGJOvUyfydVyy5N47kejsacOp1%2BudVagmB7XQDiD4%2FMFKz2EncA888tl8MGpJwfeYkok9uFIf1iiiuuXg1IqZstOOwV3WqPaYie3sGTTs%2BCshBRdYEnbxsobMlqqGW0iKFX6LmJiJn4nYvHozKiB3v4TDnQBbQz1GbpcZMHXPQxy%2BQ7pKiauHmH5LtdGLyqVuBbdnQ9Fk9oOIgfWHVkZOgGCHKlTCbCjvf6PmgpUcgd6n%2Fb%2F0wlsB8r2peIHJwp0s%2FcqXscLeO%2BcRb5qvAbL5k2DqiXaQhusdQs1yxjr6Ah92JudFPaO3ZSJ8XDZC3D2K2nAA5dcs5bch570JvLsvXHPmIvEr60HHrI9jw0AWzNGJTUP3gmPECkb%2BE92Qp0D%2BgM%2BI%2BGC4IyfdQpxNCMz4o5QqvIUMFVRrTSIBg5PMqlkmchUjaT5DlymBfkLXNGpiXymszRcHBbkXm0U5mxgh4qJgmP81MdkaGxNB2zKK3flWaxYYoKhmbcz38xRExyDkmTWaC9%2BZjyTZ5pqX4UF2ewQa2lDlmuWSwqAHDpnTPdz3aSh44DjCDXUdixSVbd7hDND2ewRylg1TuyeD5JD0lDjD86WsRhHGDar85epoKa%2FoUUj7Kr9NuBsZloNr0AsFPy9wAIfqMW%2BhD3YryoKh0DFG5waihF8tJNGkGFpR6g9Tln5J76IA3SxOEc%2BhhGBiENB%2BhlDWOPZi9cFz0cEo0qnUpgAVIRWvbEYR4sVUmPgGHdDSBysGbbbT5y66X4GdHF56xBGnQedy56lyx6Oro%2FgOrt,NA,NA,NA,NA,NA,#1234100623,Apple,Iphone 5_Se_6_6+_7_7+_8_8+,ADS,Capa Fina 3 em 1,Case cabido,TPU/Policarbonato
9, Capa Capinha Ultra Fina Fosca iPhone X 5s Se 6s Plus 7 8plus ,65,NA,422,86,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,10,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-684436481-capa-capinha-case-a-prova-de-agua-areia-iphone-6-7-8-x-10-_JM?searchVariation=23382066519,7,1,0,1,1,#684436481,Apple,Iphone 6 6s 7 7 Plus,Extreme.Deal,A prova de Agua,A prova de Agua,Silicone
10, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,17,NA,2180,3708,3x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,97,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,76,10,6,1,4,#686071680,Apple,Iphone 5s/se/6/6s/7/Plus/X,Marketmix1,Anti Impacto,Anti Impacto,Silicone
