seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
APPLEMALLCENTER,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,3,3 años vendiendo en Mercado Libre,1016,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,744,Negativa (1),Neutral (4),Positiva (739),"Lima, Lima.",NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,1060,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,610,Negativa (0),Neutral (3),Positiva (607),"Lima, Lima.",NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,6,6 años vendiendo en Mercado Libre,1726,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1051,Negativa (3),Neutral (34),Positiva (1014),"Lima, Lima.",NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,6 años vendiendo en Mercado Libre,2419,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1382,Negativa (5),Neutral (41),Positiva (1336),"Lima, Lima.",NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,12 años vendiendo en Mercado Libre,653,NA,NA,NA,418,Negativa (0),Neutral (3),Positiva (415),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4313,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2573,Negativa (1),Neutral (12),Positiva (2560),"Lima, Lima.",NA
HAPPYSHOPVENTAS,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,4,4 años vendiendo en Mercado Libre,1494,NA,NA,NA,608,Negativa (9),Neutral (34),Positiva (565),"Lima, Lima.",NA
SMARTPHONES_PERU,http://perfil.mercadolibre.com.pe/SMARTPHONES_PERU,3,3 años vendiendo en Mercado Libre,2912,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1326,Negativa (0),Neutral (18),Positiva (1308),"Lima, Lima.",NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,2 años vendiendo en Mercado Libre,627,NA,NA,NA,362,Negativa (0),Neutral (0),Positiva (362),"Lima, Lima.",NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,11,11 meses vendiendo en Mercado Libre,390,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,192,Negativa (0),Neutral (4),Positiva (188),"Lima, Lima.",NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,7 años vendiendo en Mercado Libre,7,NA,NA,NA,31,Negativa (1),Neutral (8),Positiva (22),"Lima, Lima.",NA
MALUPHONE,http://perfil.mercadolibre.com.pe/MALUPHONE,3,3 años vendiendo en Mercado Libre,819,NA,NA,NA,541,Negativa (1),Neutral (1),Positiva (539),"Lima, Lima.",NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,1 año vendiendo en Mercado Libre,189,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,99,Negativa (0),Neutral (1),Positiva (98),"Lima, Lima.",NA
MACMELLOWMIRAFLORES,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,7,7 años vendiendo en Mercado Libre,1350,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1564,Negativa (48),Neutral (228),Positiva (1288),"Lima, Lima.",NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,1 año vendiendo en Mercado Libre,653,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,429,Negativa (2),Neutral (7),Positiva (420),"Lima, Lima.",NA
ALBERTOPP75,http://perfil.mercadolibre.com.pe/ALBERTOPP75,10,10 años vendiendo en Mercado Libre,537,NA,NA,NA,310,Negativa (2),Neutral (9),Positiva (299),"Piura, Piura.",NA
MASPLAY PERU,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,7,7 años vendiendo en Mercado Libre,1270,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,912,Negativa (8),Neutral (88),Positiva (816),"Lima, Lima.",NA
SERGIOAMARANTOPEREA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,5,5 años vendiendo en Mercado Libre,22,NA,NA,NA,9,Negativa (0),Neutral (2),Positiva (7),"Lima, Lima.",NA
CELLBYTEZ,http://perfil.mercadolibre.com.pe/CELLBYTEZ,5,5 años vendiendo en Mercado Libre,1767,NA,NA,NA,1011,Negativa (3),Neutral (66),Positiva (942),"Lima, Lima.",NA
DASTOREPUNTOPE,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,5,5 años vendiendo en Mercado Libre,3872,NA,NA,NA,1945,Negativa (10),Neutral (126),Positiva (1809),"Lima, Lima.",NA
FLORESALVARADOLUISALONSO,http://perfil.mercadolibre.com.pe/FLORESALVARADOLUISALONSO,2,2 años vendiendo en Mercado Libre,59,NA,NA,NA,39,Negativa (0),Neutral (1),Positiva (38),"Lima, Lima.",NA
MERKA.G,http://perfil.mercadolibre.com.pe/MERKA.G,2,2 años vendiendo en Mercado Libre,654,NA,NA,NA,443,Negativa (0),Neutral (2),Positiva (441),"Lima, Lima.",NA
LAGRAN_VENTANA,http://perfil.mercadolibre.com.pe/LAGRAN_VENTANA,7,7 años vendiendo en Mercado Libre,3334,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1560,Negativa (11),Neutral (86),Positiva (1463),"Lima, Lima.",NA
PERUIMPORTA.,http://perfil.mercadolibre.com.pe/PERUIMPORTA.,12,12 años vendiendo en Mercado Libre,8757,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,6197,Negativa (0),Neutral (379),Positiva (5818),"Lima, Lima.",NA
MAOMATACASTILLO,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,6,6 años vendiendo en Mercado Libre,219,NA,NA,NA,100,Negativa (2),Neutral (6),Positiva (92),"Lima, Lima.",NA
BTPERU_VENTAS,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,13,13 años vendiendo en Mercado Libre,16827,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23049,Negativa (359),Neutral (3505),Positiva (19185),"Lima, Lima.",NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,2 años vendiendo en Mercado Libre,2087,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1114,Negativa (0),Neutral (11),Positiva (1103),"Lima, Lima.",NA
JOHNEDWARDROJASMOZOMBITE,http://perfil.mercadolibre.com.pe/JOHNEDWARDROJASMOZOMBITE,1,1 año vendiendo en Mercado Libre,113,NA,NA,NA,37,Negativa (1),Neutral (3),Positiva (33),"Lima, Lima.",NA
FREEMARKETPERU,http://perfil.mercadolibre.com.pe/FREEMARKETPERU,8,8 años vendiendo en Mercado Libre,340,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,692,Negativa (9),Neutral (163),Positiva (520),"Lima, Lima.",NA
ISTORETEC,http://perfil.mercadolibre.com.pe/ISTORETEC,3,3 años vendiendo en Mercado Libre,2579,NA,NA,NA,1573,Negativa (1),Neutral (5),Positiva (1567),"Lima, Lima.",NA
SABO520433,http://perfil.mercadolibre.com.pe/SABO520433,2,2 años vendiendo en Mercado Libre,115,NA,NA,NA,84,Negativa (0),Neutral (5),Positiva (79),"Lima, Lima.",NA
AZTILEYRODRIGUEZ,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,9,9 meses vendiendo en Mercado Libre,20,NA,NA,NA,15,Negativa (0),Neutral (0),Positiva (15),"Lima, Lima.",NA
TEVEN255,http://perfil.mercadolibre.com.pe/TEVEN255,4,4 años vendiendo en Mercado Libre,827,NA,NA,NA,505,Negativa (0),Neutral (6),Positiva (499),"Lima, Lima.",NA
MOBITECH.PE,http://perfil.mercadolibre.com.pe/MOBITECH.PE,5,5 años vendiendo en Mercado Libre,309,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,230,Negativa (4),Neutral (11),Positiva (215),"Lima, Lima.",NA
YAJOMATECH,http://perfil.mercadolibre.com.pe/YAJOMATECH,3,3 años vendiendo en Mercado Libre,307,NA,NA,NA,160,Negativa (0),Neutral (4),Positiva (156),"Lima, Lima.",NA
KECHVR.COM,http://perfil.mercadolibre.com.pe/KECHVR.COM,5,5 años vendiendo en Mercado Libre,572,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,309,Negativa (3),Neutral (7),Positiva (299),"Lima, Lima.",NA
PHONECASE,http://perfil.mercadolibre.com.pe/PHONECASE,6,6 años vendiendo en Mercado Libre,278,NA,NA,NA,296,Negativa (0),Neutral (34),Positiva (262),"Lima, Lima.",NA
ASMOBILEACCESORIES,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,3,3 años vendiendo en Mercado Libre,898,NA,NA,NA,481,Negativa (2),Neutral (17),Positiva (462),"Lima, Lima.",NA
JARRIETAA,http://perfil.mercadolibre.com.pe/JARRIETAA,7,7 años vendiendo en Mercado Libre,166,NA,NA,NA,140,Negativa (1),Neutral (5),Positiva (134),"Lima, Lima.",NA
DETALLESMYAPE,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,6,6 años vendiendo en Mercado Libre,1797,NA,NA,NA,549,Negativa (7),Neutral (42),Positiva (500),"Lima, Lima.",NA
TECHNOW 1,http://perfil.mercadolibre.com.pe/TECHNOW+1,1,1 año vendiendo en Mercado Libre,4368,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2929,Negativa (3),Neutral (104),Positiva (2822),"Lima, Lima.",NA
REVOLUTION.STAR,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,3,3 años vendiendo en Mercado Libre,387,NA,NA,NA,265,Negativa (3),Neutral (15),Positiva (247),"Lima, Lima.",NA
CASE-COVERS,http://perfil.mercadolibre.com.pe/CASE-COVERS,4,4 años vendiendo en Mercado Libre,689,NA,NA,NA,449,Negativa (0),Neutral (6),Positiva (443),"Lima, Lima.",NA
ANALULOZANO,http://perfil.mercadolibre.com.pe/ANALULOZANO,5,5 años vendiendo en Mercado Libre,471,NA,NA,NA,298,Negativa (2),Neutral (23),Positiva (273),"Lima, Lima.",NA
LINESSTORE,http://perfil.mercadolibre.com.pe/LINESSTORE,8,8 años vendiendo en Mercado Libre,502,NA,NA,NA,336,Negativa (4),Neutral (38),Positiva (294),"Trujillo, La Libertad.",NA
ENERGYZONE_MIRAFLORES,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,9,9 años vendiendo en Mercado Libre,3854,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1529,Negativa (12),Neutral (115),Positiva (1402),"Lima, Lima.",NA
DASTORE PERU,http://perfil.mercadolibre.com.pe/DASTORE+PERU,9,9 años vendiendo en Mercado Libre,112,NA,NA,NA,74,Negativa (0),Neutral (10),Positiva (64),"Lima, Lima.",NA
CRUIZ145,http://perfil.mercadolibre.com.pe/CRUIZ145,2,2 años vendiendo en Mercado Libre,328,NA,NA,NA,209,Negativa (0),Neutral (0),Positiva (209),"Lima, Lima.",NA
TECNUEVAERA,http://perfil.mercadolibre.com.pe/TECNUEVAERA,8,8 años vendiendo en Mercado Libre,3910,NA,NA,NA,2472,Negativa (17),Neutral (278),Positiva (2177),"Lima, Lima.",NA
SENDS_VICTOR2010,http://perfil.mercadolibre.com.pe/SENDS_VICTOR2010,10,10 años vendiendo en Mercado Libre,1950,NA,NA,NA,2947,Negativa (67),Neutral (683),Positiva (2197),"Lima, Lima.",NA
TECHNOCELENSUNPERU,http://perfil.mercadolibre.com.pe/TECHNOCELENSUNPERU,10,10 meses vendiendo en Mercado Libre,22,NA,NA,NA,16,Negativa (0),Neutral (2),Positiva (14),"Lima, Lima.",NA
MVH STORE,http://perfil.mercadolibre.com.pe/MVH+STORE,2,2 años vendiendo en Mercado Libre,405,NA,NA,NA,182,Negativa (4),Neutral (7),Positiva (171),"Lima, Lima.",NA
ANDRECACIANO,http://perfil.mercadolibre.com.pe/ANDRECACIANO,6,6 años vendiendo en Mercado Libre,38,NA,NA,NA,32,Negativa (1),Neutral (5),Positiva (26),"Lima, Lima.",NA
SHOPCELLPERÚ,http://perfil.mercadolibre.com.pe/SHOPCELLPER%C3%9A,4,4 años vendiendo en Mercado Libre,335,NA,NA,NA,205,Negativa (1),Neutral (19),Positiva (185),"Lima, Lima.",NA
DASTOREPERUCASE,http://perfil.mercadolibre.com.pe/DASTOREPERUCASE,6,6 años vendiendo en Mercado Libre,1031,NA,NA,NA,462,Negativa (1),Neutral (36),Positiva (425),"Lima, Lima.",NA
