search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Ringke Fusion Case Funda Rigida iPhone 7 / 8 Bumper + Mica ,219,NA,259,10,12 meses,21.64,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,35,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-ringke-fusion-case-funda-rigida-iphone-7-8-bumper-mica-_JM?searchVariation=29753835855,29,4,0,2,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
2, Funda iPhone 6s 7 8 8 Plus Leather Piel Pu + Mica 9h Aurum ,239,NA,2156,23,18 meses,13.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,151,https://perfil.mercadolibre.com.mx/AURUM+79?brandId=2277,https://articulo.mercadolibre.com.mx/MLM-568002496-funda-iphone-6s-7-8-8-plus-leather-piel-pu-mica-9h-aurum-_JM?searchVariation=39646910919,104,20,15,5,7,#568002496,Apple,"IPHONE 7/8 , 7 /8 PLUS",Apple,Leather Case,Piel Sintetica,Piel,IP
3, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2278,29,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,75,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260,68,6,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
4, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,169,NA,6316,26,18 meses,9.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,342,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-577013572-funda-lujo-cromo-3-en-1-iphone-x-8-7-6-plus-6s-5-se-_JM,231,59,31,11,10,#577013572,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / Xs / XR / XS Max,3 EN 1,Funda 3 en 1 Lujosa,Funda Protectora de Lujo,Plástico,Apple
5," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",189,NA,5064,125,18 meses,10.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,318,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-588207953-funda-360-iphone-6-6-plus-7-7-plus-8-8-plus-x-cristal-_JM?searchVariation=32729163913,230,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
6, Funda iPhone 5/5s/se 6 6s 7 8 X Y Plus Xs Max Xr + Regalo ,199,NA,3560,3093,18 meses,11.06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,259,https://perfil.mercadolibre.com.mx/BENNY2711,https://articulo.mercadolibre.com.mx/MLM-558302579-funda-iphone-55sse-6-6s-7-8-x-y-plus-xs-max-xr-regalo-_JM?searchVariation=34126119426,213,37,7,1,1,#558302579,Apple,iPhone 5 iPhone 5s iPhone SE iPhone 6 iPhone 6s iPhone 6s Plus iPhone 7 iPhone 7 Plus iPhone 8 iPhone 8 Plus iPhone X iPhone XS iPhone XS Max iPhone XR,Ultimate experience,Rugged Armor,TPU Silicona,Silicona,Apple
7, Funda Vrs Duo Guard Hard Case iPhone 7 | 8 Alto Impacto ,349,NA,10,3,18 meses,19.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/TODO+FUNDA,https://articulo.mercadolibre.com.mx/MLM-633787458-funda-vrs-duo-guard-hard-case-iphone-7-8-alto-impacto-_JM,NA,NA,NA,NA,NA,#633787458,Apple,iPhone 7 | iPhone 8,VRS Design (Verus),Duo Guard,Rugerizada,TPU/Policarbonato,VRS
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,189,NA,5064,125,18 meses,10.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,318,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ot9v21cw242qg%2BhUobWfjyrT%2BQ0SAVnih0SCWmuwQ0Z7vX46Rvy%2F797xYT7usElZaV0Haelby3uGarU7FyM4eBqpjwqPi5Of7XjtPEf4BdFr%2Bsk1Y%2FjCtbZN2MzMw1Zm3GL4LLKnDjDl1t9W79qTXHoekUcmCZE%2B3UdkEGw%2BMgZk6QL341XH67fu79i2Tbo21I%2BRJZ8Jdtoh1fbharSKw74KcaPMqh3N9KEfWXFoMCzLLK6D0Xf%2FopXpvTiB88oxNNeBSaF%2FYwjC6cTh%2F3rbOpX%2BQrrp7vWLcoWLh3RaXo6islLAVQdoqQyvDtH%2BDeXpB8ldEFzMYA6OcijMUTW4AjII0HUdgHqPFqD8lAy9gXz2Qgyt9QCqWWhzzONueEpO16bNgVcRNawxouJ1hckzBN%2BdKDg8OqYndaCoqlbwCC76mksPDIIN1yy5%2F4lLqVDvZ56vhfAJ0ZD1kQFM3kYINnTDz6C5qbFr%2BHcA%2BFBICozfa%2FOFwAx1azCqkEtomtRlX0Zb2aS1lzD2G8jQRXZvGoqSg0tdb4vulJgQGbi22l6JacA1W%2BVJoG5N9%2BwxpRMdanpvbRmp3M2F3BNfoBkh62B5igAdtNJw8XNmBAODCj9xXo76RYZiDAO1%2BTSChbHMGUZr%2F2d85Y%2Fywnwp0QA4lpJut%2B8ZGcyGyYv%2B2%2FihrcGcGccy2N%2BCphL4Wr22AcaMfEx1%2BrHa1Z1AISM1QbYyV4WEREWelpQjREBr0F25TH3ICzC9Wsnb1QXZ9zu%2BFREAWktMUM28E3Grq8Akz6u0EAxyO13Q6WzLBRh61oogoReKcPPi%2Fk8p81pvu8QAtimdvD7Q2KiyV9bN2JeqX7eeEsFLofyuOPjSaSgZxGrs%2FB1rO%2FQDazQfOdNrtL%2BYUN3Er73FCCQsVMFBxQp1qoh9qoHj5Ji8JbwEaJWMVJbIZp1Jev8tTQ2bVH4DxVbd20y53fvQDppqLs8EYS%2BdxZr%2FCN23QrU1ikOXLUcEGiaBd17h%2FkGQlUPrT5VnrLSXrEcjJtslvllbMe8Gzf2ht7FiRqpOJi8W8YQPvtizlT0htSu%2F70xbsQtq3zjp%2BcJCHzeuVL6YM2H1by%2BJHAGVNcCDe2kkoIRFjwlb%2BNHqg1NOmR6ASwzzPk%2BnEZFwP8kqfDD5aKjzHve8LT9WTgxoIGc6NecAC1MxjWrntPlvtsmAuNt4Iba7o%2BGNKogDljqlMzu7YhyYb8Ml%2FlGvPU44s6nn8QKL7DLSk274ZskkwMdwvsR%2FHXe6IinlK%2BKT%2FZebiYu2bEBIayvPQocLKRy2nbI7R%2FouTSF3utrj3yGqX4zVHlh8YIsws%2BS36%2F%2BpeJFsPSFV0gd25SaAhaR0EOxShLaDopf5WI1Y4oo74JOhV95oANVgLsNf9iAQjv%2B7BzRqx%2B7iZuU6CTpOS87rhCwMf%2F0%2BPpZBjb6C2oac4vYGCEC6rQJNGSz6tAyhGDu%2F91dGAbANmpuokinOQTYi0acxAP%2F55CYuYGwkpCKtvILlVWFeiBayRR4FdTOBBqqafr7t8hwQwkE4H0SRP%2FrxbEr51brI6TXz852eIV7CbWWJrtLsVvmejqyoqtRMkRKYFfab7F6UyTggU0r41WgIgeJtECRr1AZ6xSTGabe%2BgaCTYuaiyLsUzkDcMRZeYQSahoy1i8DaTq8rTA6FMQtvWA%2B7T1qpf2OB4iNCXUd6AeFQmqWShp7473YE5IPxAmIG%2BUUrRAUcF43nygLdSqbuVzKuRbUCg%2FzkJCWinpHY%2FKAXPqp1L394bfEwQ18w9h%2B1tppKbpBYqd361ukXK%2BF3yFdO,230,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
9, Funda 360 Lujo Espejo iPhone X 8 7 6 Plus 6s Se 5s 5 + Mica ,189,NA,2690,16,18 meses,10.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,102,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-605956130-funda-360-lujo-espejo-iphone-x-8-7-6-plus-6s-se-5s-5-mica-_JM?searchVariation=27291542347,75,12,7,4,4,#605956130,Apple,iPhone 5 / 5s / SE / 6 / 6s / 7 / 6 Plus / 6s Plus / 7 Plus / 8 / 8 Plus,360° Espejo,Funda Protector 360°,Funda Protectora,Aluminio,Apple
10, Funda 360 iPhone X 8 7 6 Plus 6s 5s Se + Cristal ,169,NA,3903,55,18 meses,9.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,220,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-580652933-funda-360-iphone-x-8-7-6-plus-6s-5s-se-cristal-_JM?searchVariation=27291722345,135,37,17,12,19,#580652933,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X,Funda 360°,Protector 360º,Funda Protectora 360°,Plástico,Apple
