seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,10,meses,1310,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,676,4,11,661,"La Comercial, Montevideo.",NA,NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,17,años,4398,NA,NA,NA,4365,0,115,4250,"Reducto, Montevideo.",NA,NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,años,7519,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6560,52,437,6071,"Brazo Oriental, Montevideo.",NA,NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,años,117312,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,114080,652,5482,107946,"Ciudad Vieja, Montevideo.",NA,NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,años,9246,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5757,86,230,5441,"Cordón, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,43272,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,40941,308,2594,38039,"Aguada, Montevideo.",NA,NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,años,11518,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7104,3,57,7044,"Centro, Montevideo.",NA,NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,año,1930,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1048,8,59,981,"Centro, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,años,78788,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,52974,98,1264,51612,"Centro, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,15913,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9214,104,396,8714,"Centro, Montevideo.",NA,NA
PRO-ACCESORIOS-Y-CELULARES,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,2,años,2565,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1543,40,113,1390,"La Comercial, Montevideo.",NA,NA
I..STORE,http://perfil.mercadolibre.com.uy/I..STORE,4,años,194,NA,NA,NA,182,7,9,166,"Mercedes, Soriano.",NA,NA
MVD_FREE_BUY,http://perfil.mercadolibre.com.uy/MVD_FREE_BUY,11,años,333,NA,NA,NA,261,0,6,255,"Aguada, Montevideo.",NA,NA
PLAZATECHURUGUAY,http://perfil.mercadolibre.com.uy/PLAZATECHURUGUAY,1,año,621,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,365,2,9,354,"Aguada, Montevideo.",NA,NA
GEEK URUGUAY,http://perfil.mercadolibre.com.uy/GEEK+URUGUAY,14,años,6032,NA,NA,NA,5238,20,251,4967,"Centro, Montevideo.",NA,NA
MEGACASEUY,http://perfil.mercadolibre.com.uy/MEGACASEUY,2,años,3967,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1752,7,41,1704,"Parque Batlle, Montevideo.",NA,NA
ALEXISDAMIAN2008,http://perfil.mercadolibre.com.uy/ALEXISDAMIAN2008,10,años,1039,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,791,0,12,779,"Tres Cruces, Montevideo.",NA,NA
INFORAMA10,http://perfil.mercadolibre.com.uy/INFORAMA10,10,años,381,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,329,4,6,319,"Otras, Montevideo.",NA,NA
BIGU572033,http://perfil.mercadolibre.com.uy/BIGU572033,NA,NA,NA,NA,NA,NA,60,5,0,55,"Parque del Plata, Canelones.",NA,NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,año,5018,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2322,31,305,1986,"Cordón, Montevideo.",NA,NA
NELAUY2011,http://perfil.mercadolibre.com.uy/NELAUY2011,8,años,551,NA,NA,NA,239,2,19,218,"Otras, Montevideo.",NA,NA
SILVERFOXELECTRONICA,http://perfil.mercadolibre.com.uy/SILVERFOXELECTRONICA,1,año,435,NA,NA,NA,296,0,1,295,"Centro, Montevideo.",NA,NA
ROCA MOBILE,http://perfil.mercadolibre.com.uy/ROCA+MOBILE,10,meses,59,NA,NA,NA,32,0,1,31,"Centro, Montevideo.",NA,NA
AKAESURUGUAY,http://perfil.mercadolibre.com.uy/AKAESURUGUAY,1,año,5077,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2607,21,84,2502,"Parque Batlle, Montevideo.",NA,NA
TECNOCELLUY,http://perfil.mercadolibre.com.uy/TECNOCELLUY,NA,NA,NA,NA,NA,NA,390,14,26,350,"Centro, Montevideo.",NA,NA
IZMA1385013,http://perfil.mercadolibre.com.uy/IZMA1385013,NA,NA,NA,NA,NA,NA,99,1,1,97,"La Comercial, Montevideo.",NA,NA
ALBERTOBETOCAL,http://perfil.mercadolibre.com.uy/ALBERTOBETOCAL,13,años,48,NA,NA,NA,43,2,2,39,"San Carlos, Maldonado.",NA,NA
HOYO-37,http://perfil.mercadolibre.com.uy/HOYO-37,12,años,80,NA,NA,NA,141,0,9,132,"Punta Carretas, Montevideo.",NA,NA
PLAZATECNOURUGUAY,http://perfil.mercadolibre.com.uy/PLAZATECNOURUGUAY,NA,NA,NA,NA,NA,NA,376,5,4,367,"Pocitos, Montevideo.",NA,NA
NEPOLLUCH,http://perfil.mercadolibre.com.uy/NEPOLLUCH,7,años,294,NA,NA,NA,329,0,0,329,"Punta Carretas, Montevideo.",NA,NA
DIMARTUY,http://perfil.mercadolibre.com.uy/DIMARTUY,3,años,1330,NA,NA,NA,896,4,24,868,"San Carlos, Maldonado.",NA,NA
CARLOSMPOM,http://perfil.mercadolibre.com.uy/CARLOSMPOM,4,años,1476,NA,NA,NA,1365,6,22,1337,"Pocitos, Montevideo.",NA,NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,años,90463,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,76315,1133,4376,70806,"Jacinto Vera, Montevideo.",NA,NA
LINARESALESANDRA,http://perfil.mercadolibre.com.uy/LINARESALESANDRA,2,años,103,NA,NA,NA,70,0,4,66,"Centro, Montevideo.",NA,NA
SOLUCIONESMOVILESCPC,http://perfil.mercadolibre.com.uy/SOLUCIONESMOVILESCPC,8,años,18359,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,21512,160,1851,19501,"Centro, Montevideo.",NA,NA
KASVERUY,http://perfil.mercadolibre.com.uy/KASVERUY,1,año,1024,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,651,0,8,643,"Centro, Montevideo.",NA,NA
ZONALAPTOP URUGUAY,http://perfil.mercadolibre.com.uy/ZONALAPTOP+URUGUAY,7,años,23552,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,16299,267,915,15117,"Puerto Buceo, Montevideo.",NA,NA
MERCADO_ GOLD_IMP,http://perfil.mercadolibre.com.uy/MERCADO_+GOLD_IMP,1,año,165,NA,NA,NA,134,1,3,130,"Pocitos, Montevideo.",NA,NA
HANSBROTER,http://perfil.mercadolibre.com.uy/HANSBROTER,15,años,1011,NA,NA,NA,3596,13,270,3313,"Centro, Montevideo.",NA,NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,5,años,12717,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8553,2,100,8451,"Tres Cruces, Montevideo.",NA,NA
CARLOSMPO,http://perfil.mercadolibre.com.uy/CARLOSMPO,2,años,473,NA,NA,NA,410,0,5,405,"Pocitos, Montevideo.",NA,NA
PREMUM_CASES_UY,http://perfil.mercadolibre.com.uy/PREMUM_CASES_UY,1,año,921,NA,NA,NA,715,0,8,707,"Pocitos, Montevideo.",NA,NA
GENIALSTORE,http://perfil.mercadolibre.com.uy/GENIALSTORE,NA,NA,NA,NA,NA,NA,2133,34,119,1980,"Pocitos, Montevideo.",NA,NA
