search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,1983,405,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,66,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,51,10,3,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,646,420,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,11,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
3, Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus ,622,659,1289,183,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,51,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-741182860-funda-metalica-magnetica-vidrio-iphone-x-xs-max-8-7-6-plus-_JM?searchVariation=36653627535,33,4,1,3,10,#741182860,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
4, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,971,1029,944,16,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,47,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,39,6,2,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
5, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,400,NA,1434,9014,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://articulo.mercadolibre.com.ar/MLA-687478565-funda-silicona-premium-iphone-8-7-8-plus-vidrio-templado-_JM,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
6, Funda iPhone 8 Plus 7 Plus Apple Original Silicona Soft ,450,NA,5104,454,12 cuotas,NA,NA,Envío a todo el país,NA,NA,4.6,198,https://perfil.mercadolibre.com.ar/CRAZYSTATION,https://articulo.mercadolibre.com.ar/MLA-655324667-funda-iphone-8-plus-7-plus-apple-original-silicona-soft-_JM,147,29,15,4,3,#655324667,Apple,8 Plus / 7 Plus,Apple,Silicone Case,Bumper,Silicona
7, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,365,334,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
8, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,400,NA,1434,9014,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=oWqCKp6msGz9lfFXS8%2F3LVimcsSP3mia4eWFp7YcxHyvPhAIS0nvDqK4SVad%2BB581YLHhyLporPPHCiHDvklkkPbiaFXvzzFJWOmP%2BMDXkXQ0BHlbHCqMGnhK9GMRzlrVy60hmBOUq0l65L60TFwkw9ZdMZIU6yETdW2ddUV915RvLnQtTo4w8MsAvyhlUJJDy0d2AyLNNtlo71fALFSjbYLe2Qn%2FUhyNyX50%2F0XQQUpfONYZoBy4oV%2BmgjPw1JKzU1N4rjn%2B6%2FgqP5aDTSerLNedUIduW8mIMIgzWsP2h9KJ5mP34r5d8clxfQCUZutjVuQ4HNHI5OizoPJagUkctAsmlKoSZEYIkhzF%2BlIXVibkDn4AIrnj%2BOz3nBQOvJ5crYRH%2FA1i%2FfSvlr4keosRyNINsZQlYqkwpWIl37KzLbcDMI52lsoJLnQ6fm8XC988p%2BkwKbph98yZuEKu0JFimRm7tHswCtmoLddAZ9F5aPKpHLORyAp0QU2EaRdGCc7Lguv53oXUb16g9mMRt%2BdvkAV0p7Ntroxy0zkXwTjL%2BhdcfZW4E4eVziegs5ktpk6drLddIrkmVEEnb03oVaQYEcRyTKPcsnEd7WcmEMc6HHlSq%2FPh0vx2%2FDY4pRMlBzdXzJhOx%2FmYT6oAuel9%2Bt2%2FYTkr0A5WqL4nTZOwN2VS%2FPjgIlUDv5zEhSihCNvj87TTb9nHL5sCdsknLvBWrxiMqRXatrBd9kzPpDQXkn8Ey5kvJRIZKt%2B%2BW7xt7OuGWK9g%2FBwPOQ9G3yjhn9SMLiz6vTqJHNN9BFhfdDekAXxDUA9weJ6HLi7qYoRntkS2615nalbVuCQzTPHaVbxSxk5xlA0P9xUUo86xQLuY1tFC6D9%2FIzkK%2Fqm4FJ19BTWDCwUrayoCeewWOXwlAsl2VuoeQRYJc2YMMgsgx2Iq0gAgttt24O5%2Bp4X8G5sWhp%2B97TOTbR8TapDFirhksfS3N%2Bp8KjIR08411o8cSwQWB7CFr10tsL0F0KxIgp0U83Rs4DTdendqLJIzD3FmTz%2BScegSB5MzbC2iHXdb9jrwo%2BLaz0GLSz9%2BNs4wy35h%2FGMrG9TdhzuB8t08u7YurwAljRHF3QlEVUmjLL6HYxEhIjM%2FprJ3SM73fyTCW9PmiWjIlW1Bdse74Sw0HxsGxK4zjI%2FKE8GUzZ9DHChBfqFPEOf%2Bigd2yZ%2BrwFgtHikdZFg9L%2BHrCTW8F949vLsH4EQE3%2BJ2oSc1jamWtAdt38Qcz66nKJ%2FTWelEc%2F6WYFyvqpJu4f5AJ23tueHiya1HWRT%2BVgOyqpq4OL0ACMKV8y2USBPTsFtY1Aa3Gf8KPdA8rLo12BvbkPHCkucJPQgbCOyR2ex0L73eOgLRvqNKIqmdjxy6lOWewJu%2BrnFUIwx7O7AQWHb8rB46cS8EC1ktXyatXkGKTIrHHPDsc8PaG%2FwWVPyU8dYtpOfJG2aCN%2Fazs%2BIGxlDf1IyGg60yI3gLs2g19rP5FDvuvvZpn3z1ikp6V%2Bm%2Baotk5UYwlUdHk3u5HkFYZ3jPmQVbeLyVjNHgY7xXyFXd2ReFQUHDmRvVrzSei%2BFhESrnAlyx0Syyjv%2FqGtwqtOIqwnyTsWq6LnlylxVxdz1EtTO4yg1yU7Qe7hOe87cjwoh,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
9, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,489,NA,382,136,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
10, Funda iPhone 8 7 Apple Original Case Silicona Soft 4 Locales ,450,NA,2051,581,12 cuotas,NA,NA,Envío a todo el país,NA,NA,4.2,63,https://perfil.mercadolibre.com.ar/CRAZYSTATION,https://articulo.mercadolibre.com.ar/MLA-636490800-funda-iphone-8-7-apple-original-case-silicona-soft-4-locales-_JM,33,18,9,0,3,#636490800,Apple,8G / 7G,Apple,Silicone Case,Bumper,Silicona
